layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,0.0,0.0,0.0,0.0,,0.0
0,plutchik_wheel,0.0,0.0,0.0,0.0,,0.0
0,go_emotions,0.0,0.0,0.0,0.0,0.0,0.0
1,ekman_basic_emotions,-0.008429689778464073,0.01831046981247634,0.0008321293275238523,-0.0060870105064611355,,0.8288390338743578
1,plutchik_wheel,0.010545789581453153,0.018362885954747613,-0.0018022939469357429,0.011853955149067669,,0.8288390338743578
1,go_emotions,0.011687292109800773,0.01218172394460373,-0.0004376214942564846,0.016053056065790147,0.0176786758402914,0.8288390338743578
2,ekman_basic_emotions,-0.0009038906254812878,0.015828544916654474,-0.0035141227982233496,0.00037516011854591026,,0.9318023536967718
2,plutchik_wheel,0.016286687701440938,0.015567250191900122,0.0012742221108193897,0.016196882522888912,,0.9318023536967718
2,go_emotions,0.022095699600500177,0.013282123694307726,0.0015942511069266434,0.02386851442664831,0.023738006662852987,0.9318023536967718
3,ekman_basic_emotions,-0.005242280397456003,0.016221323241935665,0.002083132437829453,-0.006275425828467546,,0.9789635032199118
3,plutchik_wheel,0.014082748564199873,0.013912298009196758,0.00033996559795508813,0.012013748413738297,,0.9789635032199118
3,go_emotions,0.022922264817959878,0.011653453501668184,0.002957627147761702,0.019395172839172872,0.026983597882249848,0.9789635032199118
4,ekman_basic_emotions,-0.008644641581766768,0.016623268692604797,-0.0042045495394759476,-0.008318915045756462,,0.995898575720839
4,plutchik_wheel,0.00352988202966381,0.013517778415709027,0.004366291014643983,0.0034748148176314865,,0.995898575720839
4,go_emotions,0.029734598402343704,0.01206067501056033,-0.0018715415901582135,0.027552540648623457,0.030687482145163328,0.995898575720839
5,ekman_basic_emotions,-0.01138332304618113,0.016543879074138502,0.001804620562298639,-0.011005933722661334,,0.9987012226343439
5,plutchik_wheel,0.010265549812161146,0.01131923250056494,-0.0023074451769360955,0.009532111189926267,,0.9987012226343439
5,go_emotions,0.03155174506103328,0.010398865107773643,-0.0025216993397008574,0.028446475396889048,0.032662942278036865,0.9987012226343439
