layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,0.03252217839037805,0.020850604296704656,-0.0015572598712097106,0.03218858720380339,,0.9996135348139926
0,plutchik_wheel,0.09419764574476379,0.022277854734438426,0.003775277641057018,0.09265049516950434,,0.9996135348139926
0,go_emotions,0.06176733827194981,0.015392440795020872,0.0014343951189331847,0.05916214388147546,0.046451779204858115,0.9996135348139926
1,ekman_basic_emotions,0.04452042152267908,0.017680637597217747,0.0045246439932071295,0.047424577724818964,,0.9997921486280132
1,plutchik_wheel,0.10359525887820918,0.022630195697075473,0.004031346575878014,0.10386635899509261,,0.9997921486280132
1,go_emotions,0.06976079465290033,0.014577347362562635,0.001319332084411367,0.07205424409337606,0.0618029285328302,0.9997921486280132
2,ekman_basic_emotions,0.03965853244678048,0.016251225513147283,-0.0015023784588722295,0.04237262548165979,,0.9998871392451941
2,plutchik_wheel,0.11069521179168439,0.02098838114249582,-0.0008956490756885323,0.11131329406517716,,0.9998871392451941
2,go_emotions,0.06772731889560474,0.012262613642560212,0.0007059404134957977,0.0703327868740375,0.06076329095601127,0.9998871392451941
3,ekman_basic_emotions,0.0336512694495697,0.016261836659504713,-0.0019853694351211542,0.03616379863895174,,0.9999119324380135
3,plutchik_wheel,0.10994401463763522,0.022720641863459238,0.0007732609638803509,0.11177522765459924,,0.9999119324380135
3,go_emotions,0.06778901238703605,0.01682732801298813,-0.0010246735505013622,0.07212566132851583,0.06505588464428219,0.9999119324380135
4,ekman_basic_emotions,0.03324051611072686,0.015054904278859485,8.696899470314643e-05,0.037192082821081114,,0.9999456356148806
4,plutchik_wheel,0.10949425296280917,0.0214200347725435,-0.0022622580845725955,0.11078465769323059,,0.9999456356148806
4,go_emotions,0.06490600457362912,0.013446165415939558,-0.0037965689305316237,0.07017063899661075,0.06897613811581146,0.9999456356148806
5,ekman_basic_emotions,0.03563364778926135,0.02211495956598092,-0.0005700969866258331,0.04109729838316377,,0.9999537632887366
5,plutchik_wheel,0.11027645583452983,0.023877619714353465,-0.003757340276221336,0.1132593489959063,,0.9999537632887366
5,go_emotions,0.07140633452306866,0.017329922917582667,0.0017965385507871126,0.0796106241627446,0.0800030213350817,0.9999537632887366
6,ekman_basic_emotions,0.028787040494549516,0.019536488950092436,0.0003765080429277419,0.03555605979563214,,0.9999530882026977
6,plutchik_wheel,0.09999139910639085,0.023022762579008905,-0.0020803965123469843,0.10210040298543556,,0.9999530882026977
6,go_emotions,0.06925011940717153,0.013895655752965285,-0.0028792824638782296,0.0816189337420312,0.08989539445068204,0.9999530882026977
7,ekman_basic_emotions,0.030629291430958314,0.018403634580940364,-0.0012412812652579596,0.0390047807520675,,0.9999556555621893
7,plutchik_wheel,0.10456678389034003,0.020685115537245044,-0.003101666040536064,0.10971249386860073,,0.9999556555621893
7,go_emotions,0.07083360213989208,0.015908385006736695,0.0008956051363575074,0.0858017530436324,0.09933363258031061,0.9999556555621893
8,ekman_basic_emotions,0.02620945216593272,0.018317475680918974,-0.001071649359837879,0.03802725243614049,,0.9999655825500924
8,plutchik_wheel,0.09343674264502404,0.021153270992008862,-0.0014378997455200707,0.10057467340066034,,0.9999655825500924
8,go_emotions,0.07506359434823025,0.013254034432059593,0.0010827993801408352,0.09340941005309647,0.1053399367277801,0.9999655825500924
9,ekman_basic_emotions,0.03321213910341323,0.012278872021181138,-0.0013338004297407777,0.04862064605269875,,0.9999659427174905
9,plutchik_wheel,0.10284929433842514,0.020673320644613188,0.001692232627155815,0.11041903890642497,,0.9999659427174905
9,go_emotions,0.07658242888516648,0.015421937378804637,-0.0008075094811361394,0.09714769184751923,0.11495248440001121,0.9999659427174905
10,ekman_basic_emotions,0.035345616958573245,0.013876483679611541,0.00028715266401223717,0.047688179971070006,,0.9999649472303049
10,plutchik_wheel,0.10303499174650402,0.01655526309346908,-0.0018064831358564437,0.10857485330054274,,0.9999649472303049
10,go_emotions,0.08051776986471908,0.01326922264807918,0.0007695374752310052,0.09585156187966314,0.12176519099286086,0.9999649472303049
11,ekman_basic_emotions,0.040650081132488615,0.016349556207838442,-0.0012977561282759434,0.06055674740944548,,0.9999717979663167
11,plutchik_wheel,0.10551599691032981,0.017474219478365253,-0.001098416928746324,0.11612528553714563,,0.9999717979663167
11,go_emotions,0.07908337771994302,0.013393821627360122,-3.399260488219751e-05,0.10937476289070107,0.11952907575769134,0.9999717979663167
12,ekman_basic_emotions,0.03575336211713149,0.014530105528354393,0.000581129609533554,0.04830714087403372,,0.9999713140871718
12,plutchik_wheel,0.09634401248980776,0.017341760413146085,0.0030205628836495425,0.10364406133096081,,0.9999713140871718
12,go_emotions,0.08101544517328627,0.013115174020375354,-0.003141224415157638,0.10406727736343076,0.12687259393117953,0.9999713140871718
13,ekman_basic_emotions,0.035444236698383313,0.015747466932525447,0.0025863106368186673,0.053709200733864544,,0.9999793007822645
13,plutchik_wheel,0.10637945519221924,0.016445669914234604,0.00023597136223050456,0.11608931497239887,,0.9999793007822645
13,go_emotions,0.08180380646349229,0.010170214804078188,-0.00167161461573899,0.11442640103563222,0.12043122513138808,0.9999793007822645
14,ekman_basic_emotions,0.03426640897056553,0.01576717494046231,5.295515934987255e-05,0.047583512092132026,,0.9999835351596991
14,plutchik_wheel,0.10405444485795425,0.01911947886889281,0.0005642969461933946,0.11302700967734797,,0.9999835351596991
14,go_emotions,0.08274715338946105,0.013302667396265812,-0.0007124305501615754,0.10722891828873302,0.11811219440855243,0.9999835351596991
15,ekman_basic_emotions,0.04359557000628675,0.019387745718583337,-0.0021272314451595852,0.05551021845901883,,0.9999871314179453
15,plutchik_wheel,0.11504538242683589,0.01852995201935089,-0.0027365095867345557,0.11947884941633817,,0.9999871314179453
15,go_emotions,0.08321040845616816,0.013024385646215716,0.0020194550571593015,0.1074886731650573,0.12243431316835186,0.9999871314179453
16,ekman_basic_emotions,0.04405042495526326,0.01689063630877643,0.0009118120356171224,0.06185424419835262,,0.999989166757739
16,plutchik_wheel,0.1172296354255669,0.021461973658821104,-0.0017446499555978617,0.12689262584621766,,0.999989166757739
16,go_emotions,0.0887429891555786,0.013385356591939393,0.0005124111239286657,0.11764042812174097,0.12462332955708146,0.999989166757739
17,ekman_basic_emotions,0.04521670848555758,0.016271842181631337,0.004007331235518858,0.054195499889377725,,0.9999937692942039
17,plutchik_wheel,0.12006314133209095,0.02179096136139455,0.0009323152255291632,0.12552036468368857,,0.9999937692942039
17,go_emotions,0.08679451316530479,0.013073542861498807,0.0009049197858588122,0.10443957909582434,0.11204510239585075,0.9999937692942039
18,ekman_basic_emotions,0.04245953173945102,0.015631770066605932,-0.002045051184862267,0.05669652989267059,,0.9999954972708995
18,plutchik_wheel,0.11159691141410569,0.02161044790333855,-5.2536993685281567e-05,0.11916198469388022,,0.9999954972708995
18,go_emotions,0.08141827323111775,0.01351789801258378,0.0012611367553216055,0.10296383786270674,0.1126969310856864,0.9999954972708995
19,ekman_basic_emotions,0.039172474212392235,0.016563484276289647,0.0028593885911111015,0.05278119260086472,,0.9999966263784634
19,plutchik_wheel,0.10960561878443131,0.01855664233137935,0.004292220775189021,0.11680906346288174,,0.9999966263784634
19,go_emotions,0.07788981150483656,0.012345563452402343,-0.00022545470971070978,0.09781661114316664,0.10109948819993575,0.9999966263784634
20,ekman_basic_emotions,0.04337322693155956,0.014748813391143591,0.0019310866106278227,0.05796513078363739,,0.9999977445736714
20,plutchik_wheel,0.11667163948885807,0.026014135403279556,-0.0009600010655024676,0.12394898436618629,,0.9999977445736714
20,go_emotions,0.08368318247791512,0.015777620722192038,-0.00047144585021904385,0.10351727303442827,0.1015931465360657,0.9999977445736714
21,ekman_basic_emotions,0.052735275129597525,0.019724404607446726,-0.0016773196205764253,0.06349904303681103,,0.9999982331002581
