layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.28270360329020444,0.13616722574779816,0.16963512141485845,0.03125,0.0,0.6373831775700934,0.22580645161290322,0.4669260700389105,0.6175595238095238,0.0
1,ekman_basic_emotions,0.27746906648575864,0.14133048715608865,0.15854595661464602,0.029411764705882353,0.0,0.6118980169971672,0.19767441860465115,0.4854368932038835,0.6178623718887262,0.0
2,ekman_basic_emotions,0.2953216686436934,0.13512878021874022,0.18522166625624173,0.06451612903225806,0.0,0.6343283582089553,0.23391812865497075,0.490272373540856,0.6442166910688141,0.0
3,ekman_basic_emotions,0.27714788282165087,0.14843607244094917,0.15114756064133109,0.0,0.0,0.6520547945205479,0.18518518518518517,0.458252427184466,0.644542772861357,0.0
4,ekman_basic_emotions,0.29339613382832613,0.1390555386002524,0.17926893330278526,0.037037037037037035,0.0,0.6618575293056808,0.19480519480519481,0.5087378640776699,0.6513353115727003,0.0
5,ekman_basic_emotions,0.32087764679030695,0.14623010815221454,0.2045604328586812,0.06557377049180328,0.0,0.7090909090909091,0.23076923076923078,0.5436507936507936,0.6970588235294117,0.0
6,ekman_basic_emotions,0.33969235309979773,0.14081229838039214,0.23147451289689977,0.07142857142857142,0.0,0.7239819004524887,0.27972027972027974,0.593320235756385,0.7093954843408594,0.0
7,ekman_basic_emotions,0.3502795314913866,0.14228899634152894,0.24249488961048313,0.10714285714285714,0.0,0.7289377289377289,0.3096774193548387,0.5658914728682171,0.7403072421360644,0.0
8,ekman_basic_emotions,0.35999736790982695,0.13988819654974363,0.2559076279120184,0.11320754716981132,0.0,0.7491039426523297,0.3333333333333333,0.5823293172690763,0.7420074349442379,0.0
9,ekman_basic_emotions,0.3298939343958348,0.13938496200422765,0.2213637503189237,0.07547169811320754,0.0,0.7140287769784173,0.27710843373493976,0.532258064516129,0.7103905674281503,0.0
