layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.25690544078129635,0.1258721790703068,0.14990171754472584,0.24752475247524752,0.0,0.5343092406221409,0.18374558303886926,0.27692307692307694,0.5558354324097398,0.0
1,ekman_basic_emotions,0.2628020575557736,0.13514063850080973,0.14760945506061152,0.22727272727272727,0.0,0.5454545454545454,0.22695035460992907,0.26301369863013696,0.5769230769230769,0.0
2,ekman_basic_emotions,0.269891744886018,0.1430069185973721,0.14805816877888373,0.24050632911392406,0.09090909090909091,0.546448087431694,0.16417910447761194,0.26373626373626374,0.5834633385335414,0.0
3,ekman_basic_emotions,0.277670444139505,0.13086244037968106,0.16891227646859114,0.3270440251572327,0.0,0.5412186379928315,0.2096069868995633,0.27586206896551724,0.5899613899613899,0.0
4,ekman_basic_emotions,0.29185549433692687,0.14494352227892318,0.1718155184901447,0.3522012578616352,0.0,0.5587975243147657,0.23728813559322035,0.30158730158730157,0.593114241001565,0.0
5,ekman_basic_emotions,0.2853875073813575,0.15217506418075036,0.15712258223672615,0.3157894736842105,0.0,0.549645390070922,0.23931623931623933,0.3072916666666667,0.5856697819314641,0.0
6,ekman_basic_emotions,0.288904692732635,0.13148695435730598,0.18124971083058508,0.2987012987012987,0.0,0.5744493392070484,0.24669603524229075,0.2992125984251969,0.603273577552611,0.0
7,ekman_basic_emotions,0.2840234897729953,0.14217920507430656,0.16535421563308644,0.2360248447204969,0.0,0.5790408525754884,0.2833333333333333,0.29023746701846964,0.5995279307631786,0.0
8,ekman_basic_emotions,0.33279609140407224,0.14272647487519405,0.22171408652939206,0.24675324675324675,0.3157894736842105,0.5861767279090113,0.24472573839662448,0.33424657534246577,0.6018808777429467,0.0
9,ekman_basic_emotions,0.334713420809924,0.13415589149975204,0.23163237740054973,0.2535211267605634,0.2222222222222222,0.6082383873794917,0.3,0.33879781420765026,0.6202143950995406,0.0
10,ekman_basic_emotions,0.32805988239576805,0.13879445778967678,0.2197680058123325,0.2702702702702703,0.2,0.6254416961130742,0.25316455696202533,0.3333333333333333,0.6142093200916731,0.0
11,ekman_basic_emotions,0.32482270751749853,0.1402525919290586,0.21467946731304396,0.272108843537415,0.0,0.6550522648083623,0.3157894736842105,0.37746478873239436,0.6533435818601077,0.0
12,ekman_basic_emotions,0.3610758543574509,0.143458952382009,0.2540647673344161,0.24113475177304963,0.3,0.6632302405498282,0.2794759825327511,0.3977272727272727,0.6459627329192547,0.0
13,ekman_basic_emotions,0.3594517180827312,0.13325866350794022,0.2609695015703951,0.2937062937062937,0.19047619047619047,0.6610025488530161,0.32786885245901637,0.38323353293413176,0.6598746081504702,0.0
14,ekman_basic_emotions,0.3652276082780811,0.14499411122030534,0.2575812634134059,0.272108843537415,0.24,0.6922421142369991,0.2987551867219917,0.36795252225519287,0.6855345911949685,0.0
15,ekman_basic_emotions,0.39699399478674174,0.14106683500861153,0.297959340970023,0.3235294117647059,0.36363636363636365,0.6870748299319728,0.33480176211453744,0.38323353293413176,0.6866820631254812,0.0
16,ekman_basic_emotions,0.3903354502103363,0.1443878231376556,0.2874522286190535,0.34838709677419355,0.2857142857142857,0.7111111111111111,0.29464285714285715,0.38271604938271603,0.7097767513471901,0.0
17,ekman_basic_emotions,0.4109675049564614,0.1376034755564746,0.31698183103924166,0.38620689655172413,0.35294117647058826,0.7104580812445981,0.3374485596707819,0.3701492537313433,0.7195685670261941,0.0
18,ekman_basic_emotions,0.3774550705615291,0.15035884842861394,0.2672848669263576,0.3424657534246575,0.2,0.718562874251497,0.3,0.375366568914956,0.7057902973395931,0.0
19,ekman_basic_emotions,0.40469218064062595,0.1427875658594537,0.30553058302725344,0.37142857142857144,0.2857142857142857,0.7302405498281787,0.3391304347826087,0.3909348441926346,0.7153965785381027,0.0
20,ekman_basic_emotions,0.40040736010163436,0.14079216129262448,0.30215645983815126,0.41134751773049644,0.25,0.7074235807860262,0.3392857142857143,0.3793103448275862,0.7154843630816171,0.0
21,ekman_basic_emotions,0.4245565122805757,0.13856954501264718,0.33199077837586705,0.45517241379310347,0.34782608695652173,0.7158798283261802,0.3466666666666667,0.3843843843843844,0.7219662058371735,0.0
22,ekman_basic_emotions,0.4393384223290867,0.13878103281566573,0.34899067596718414,0.46258503401360546,0.36363636363636365,0.7246127366609294,0.4155844155844156,0.38153846153846155,0.7274119448698315,0.0
23,ekman_basic_emotions,0.4249413174080684,0.14514950072833274,0.3272991206276633,0.44755244755244755,0.25,0.7296587926509186,0.39473684210526316,0.42011834319526625,0.7325227963525835,0.0
24,ekman_basic_emotions,0.42056081305699833,0.15291379999230434,0.31596195648360514,0.39705882352941174,0.24,0.7260155574762316,0.4166666666666667,0.43804034582132567,0.726144297905353,0.0
25,ekman_basic_emotions,0.43499328556857275,0.1322540148722895,0.34888005923960297,0.4225352112676056,0.2727272727272727,0.7435008665511266,0.41409691629955947,0.4553314121037464,0.7367613200306984,0.0
26,ekman_basic_emotions,0.43296481995101077,0.13061002242620204,0.3477781034106106,0.4122137404580153,0.2857142857142857,0.745674740484429,0.41350210970464135,0.4269005847953216,0.7467482785003825,0.0
27,ekman_basic_emotions,0.4451056431631523,0.14132412788768275,0.35377902785154086,0.3945578231292517,0.35294117647058826,0.7556719022687609,0.4224137931034483,0.44642857142857145,0.7437262357414449,0.0
28,ekman_basic_emotions,0.4566169555038985,0.13595745752750482,0.3711154048720942,0.42953020134228187,0.42105263157894735,0.7570422535211268,0.4051724137931034,0.4342857142857143,0.7492354740061162,0.0
29,ekman_basic_emotions,0.44914742623553,0.13383628599399164,0.36403180500742055,0.4246575342465753,0.3,0.7630662020905923,0.44635193133047213,0.44776119402985076,0.7621951219512195,0.0
30,ekman_basic_emotions,0.42382063598231845,0.1440578030920991,0.32684781040222716,0.36231884057971014,0.2222222222222222,0.7634500426985482,0.4088888888888889,0.4550898203592814,0.7547746371275783,0.0
31,ekman_basic_emotions,0.4443341193876809,0.13887204169731684,0.3547232147617663,0.39097744360902253,0.3157894736842105,0.7458803122289679,0.4260869565217391,0.47230320699708456,0.7593014426727411,0.0
32,ekman_basic_emotions,0.457937782262484,0.13666843131334847,0.3721274219566285,0.375,0.3157894736842105,0.7604166666666666,0.4851063829787234,0.49411764705882355,0.7751343054489639,0.0
33,ekman_basic_emotions,0.47381383940648447,0.14321458810402513,0.3858600376620307,0.34285714285714286,0.42105263157894735,0.7740805604203153,0.5163934426229508,0.4813753581661891,0.7809377401998463,0.0
34,ekman_basic_emotions,0.46920349571385983,0.14213698306024158,0.38125727091063744,0.35294117647058826,0.3157894736842105,0.7759372275501307,0.5294117647058824,0.5287356321839081,0.7816091954022989,0.0
35,ekman_basic_emotions,0.4846706084191609,0.1400376749851068,0.40075352536878356,0.38620689655172413,0.38095238095238093,0.7739665787159191,0.5263157894736842,0.5371428571428571,0.788109756097561,0.0
36,ekman_basic_emotions,0.506476539455101,0.13851266374332338,0.42712627362655076,0.423841059602649,0.4444444444444444,0.7794245858761988,0.5603448275862069,0.5465116279069767,0.7907692307692308,0.0
37,ekman_basic_emotions,0.49083559909939184,0.1466495795610184,0.40333491528757537,0.42105263157894735,0.3157894736842105,0.7964912280701755,0.575107296137339,0.5329512893982808,0.7944572748267898,0.0
38,ekman_basic_emotions,0.49844486187888737,0.14043573331188122,0.4165007113969582,0.4358974358974359,0.3333333333333333,0.7982532751091703,0.5847457627118644,0.5449275362318841,0.7919566898685229,0.0
