layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2642759922722479,0.14136631079188344,0.14314565457327807,0.16666666666666666,0.0,0.595968448729185,0.20883534136546184,0.30994152046783624,0.5685199686765857,0.0
1,ekman_basic_emotions,0.25879511807967226,0.13795357335505065,0.14017985689579635,0.1518987341772152,0.0,0.5880281690140845,0.22127659574468084,0.2838709677419355,0.5664913598797896,0.0
2,ekman_basic_emotions,0.27235112622308066,0.14770537651014193,0.1462472556761611,0.16774193548387098,0.0,0.6068003487358327,0.24680851063829787,0.29375,0.5913570887035633,0.0
3,ekman_basic_emotions,0.3124555613757553,0.13991133693938945,0.2006121366864321,0.24161073825503357,0.0,0.6591889559965487,0.3275862068965517,0.3248407643312102,0.6339622641509434,0.0
4,ekman_basic_emotions,0.3088725183272468,0.1385121439541576,0.1977513358749236,0.21518987341772153,0.0,0.6552609067579127,0.28837209302325584,0.36809815950920244,0.6351865955826352,0.0
5,ekman_basic_emotions,0.31329615818607437,0.13895405896586085,0.2024771163903566,0.2360248447204969,0.0,0.6601941747572816,0.2909090909090909,0.3663663663663664,0.6395786305492852,0.0
6,ekman_basic_emotions,0.3132217930598941,0.14106268639976816,0.2004326787696786,0.2,0.0,0.6632302405498282,0.3659574468085106,0.3384615384615385,0.6249033255993813,0.0
7,ekman_basic_emotions,0.34075955457745594,0.14537524064029758,0.22862000169939284,0.2077922077922078,0.13333333333333333,0.6591889559965487,0.3378995433789954,0.39882697947214074,0.6482758620689655,0.0
8,ekman_basic_emotions,0.32614932211600595,0.1327096677660303,0.22303909908889802,0.23529411764705882,0.0,0.6776145203111495,0.34418604651162793,0.375,0.6509505703422053,0.0
9,ekman_basic_emotions,0.3325794346612599,0.13989050851449156,0.22402836854407024,0.22972972972972974,0.0,0.6747826086956522,0.3886255924170616,0.37920489296636084,0.655713218820015,0.0
10,ekman_basic_emotions,0.3407956382853396,0.1473179280750196,0.22690486475637114,0.24,0.0,0.68971477960242,0.36936936936936937,0.42388059701492536,0.6626047220106626,0.0
11,ekman_basic_emotions,0.3463466560424623,0.13871567347603822,0.2410713584030924,0.26143790849673204,0.0,0.7004366812227074,0.38392857142857145,0.40588235294117647,0.6727410782080486,0.0
12,ekman_basic_emotions,0.36662271653391304,0.14712353557162675,0.25736339331324154,0.29577464788732394,0.0,0.7330472103004292,0.4292237442922374,0.40483383685800606,0.7034795763993948,0.0
13,ekman_basic_emotions,0.36203947900724465,0.14077460225474378,0.2575166857650333,0.2937062937062937,0.0,0.7322970639032815,0.4,0.41887905604719766,0.6893939393939394,0.0
14,ekman_basic_emotions,0.34617779033048107,0.14253597142259913,0.23749313338046316,0.2074074074074074,0.0,0.7151411462788708,0.4247787610619469,0.3940298507462687,0.6818873668188736,0.0
15,ekman_basic_emotions,0.3470280819473669,0.14283678536408714,0.23821752158369477,0.19696969696969696,0.0,0.7218934911242604,0.43859649122807015,0.38922155688622756,0.6825153374233128,0.0
16,ekman_basic_emotions,0.34820861883856286,0.14552226521353093,0.237204956166216,0.18309859154929578,0.0,0.7174657534246576,0.44144144144144143,0.3939393939393939,0.7015151515151515,0.0
17,ekman_basic_emotions,0.3624485368432623,0.13889477050387286,0.2596125986486009,0.18840579710144928,0.0,0.7289879931389366,0.47619047619047616,0.4233128834355828,0.7202426080363912,0.0
18,ekman_basic_emotions,0.3846696311995987,0.1303981328466167,0.29239989926117854,0.31654676258992803,0.0,0.733275412684622,0.4796380090497738,0.4378698224852071,0.7253574115876599,0.0
19,ekman_basic_emotions,0.3873810773469578,0.14383445917290202,0.2844620655238913,0.3221476510067114,0.0,0.7362068965517241,0.4774774774774775,0.4458204334365325,0.7300150829562594,0.0
20,ekman_basic_emotions,0.3841338061376672,0.1398485308609328,0.28400262516698543,0.33557046979865773,0.0,0.7092320966350302,0.4727272727272727,0.4495677233429395,0.7218390804597701,0.0
