layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.15272410098564876,0.11162389789159792,0.0462644177353565,0.09968847352024922,0.0,0.3457286432160804,0.13056379821958458,0.04830917874396135,0.40267335004177107,0.042105263157894736
1,ekman_basic_emotions,0.15747302865924048,0.13874124562564585,0.02174930929695106,0.1111111111111111,0.0,0.36081474296799226,0.14057507987220447,0.022727272727272728,0.4440944881889764,0.022988505747126436
2,ekman_basic_emotions,0.26240045838917553,0.14839643550944728,0.13386982820806753,0.24267782426778242,0.13333333333333333,0.5009140767824497,0.21428571428571427,0.14012738853503184,0.5535168195718655,0.05194805194805195
3,ekman_basic_emotions,0.2896372569383316,0.1401278382562687,0.1738740074790575,0.2723404255319149,0.21428571428571427,0.533953488372093,0.22794117647058823,0.1360544217687075,0.5895522388059702,0.05333333333333334
4,ekman_basic_emotions,0.27662254361066485,0.13563465241414405,0.16311145696700516,0.23580786026200873,0.13333333333333333,0.5227062094531975,0.2379182156133829,0.1917808219178082,0.588495575221239,0.02631578947368421
5,ekman_basic_emotions,0.31281124356439294,0.14076792701472243,0.20022916038495966,0.32599118942731276,0.2222222222222222,0.5645756457564576,0.23308270676691728,0.12949640287769784,0.6353631694790902,0.07894736842105263
6,ekman_basic_emotions,0.33153137716199177,0.14231523125365012,0.22061269221897548,0.32,0.25,0.5888787602552416,0.30434782608695654,0.15714285714285714,0.6423791821561339,0.057971014492753624
7,ekman_basic_emotions,0.3381206502454067,0.1478470536368375,0.22328573458628892,0.2807017543859649,0.2978723404255319,0.586046511627907,0.25,0.16417910447761194,0.6417033773861968,0.14634146341463414
8,ekman_basic_emotions,0.3502993409364644,0.14745303282186784,0.2379297750433656,0.2807017543859649,0.2692307692307692,0.6062271062271062,0.27906976744186046,0.18181818181818182,0.6572700296735905,0.17777777777777778
9,ekman_basic_emotions,0.35231782443134835,0.13984661395783338,0.24701549040126566,0.3090128755364807,0.2608695652173913,0.6166822867853796,0.2723735408560311,0.19310344827586207,0.6730065837600585,0.1411764705882353
10,ekman_basic_emotions,0.3608399294443466,0.13327751729139484,0.26255510465332993,0.3436123348017621,0.25,0.6610486891385767,0.2730627306273063,0.19858156028368795,0.6914660831509847,0.10810810810810811
11,ekman_basic_emotions,0.36614801128607033,0.15169112264646128,0.2528051920294035,0.32599118942731276,0.26666666666666666,0.6635514018691588,0.31297709923664124,0.17518248175182483,0.6952104499274311,0.12345679012345678
12,ekman_basic_emotions,0.35938852727158366,0.14730127866808507,0.24872471753237582,0.3508771929824561,0.16666666666666666,0.6759517177344475,0.33088235294117646,0.13740458015267176,0.6939371804236669,0.16
13,ekman_basic_emotions,0.36856871473585023,0.14211569457329054,0.26396685279132426,0.3559322033898305,0.2553191489361702,0.6591760299625468,0.33088235294117646,0.18840579710144928,0.6927044952100221,0.0975609756097561
14,ekman_basic_emotions,0.37440177132254354,0.1381712603941666,0.2741037749987538,0.3879310344827586,0.2553191489361702,0.6666666666666666,0.315018315018315,0.17518248175182483,0.6873614190687362,0.13333333333333333
15,ekman_basic_emotions,0.3752988294024783,0.1424938234932233,0.27149076273436634,0.37656903765690375,0.2553191489361702,0.7059925093632958,0.3274021352313167,0.11510791366906475,0.7201187824795843,0.12658227848101267
16,ekman_basic_emotions,0.3862672537231486,0.15155187832933445,0.2766408097311122,0.36909871244635195,0.22727272727272727,0.7030527289546716,0.34782608695652173,0.16176470588235295,0.7220163083765753,0.1728395061728395
17,ekman_basic_emotions,0.3664676435596507,0.1476255929008653,0.2567440420971405,0.379746835443038,0.1951219512195122,0.7113594040968343,0.3333333333333333,0.13846153846153847,0.7131327953044754,0.09411764705882353
18,ekman_basic_emotions,0.37295994842154745,0.1337821799702613,0.2761173493787911,0.37815126050420167,0.18181818181818182,0.7206703910614525,0.35555555555555557,0.13533834586466165,0.7187039764359352,0.12048192771084337
19,ekman_basic_emotions,0.4146829605446389,0.14402071973181632,0.3162018603160842,0.42727272727272725,0.21739130434782608,0.7439252336448599,0.40145985401459855,0.1917808219178082,0.7349042709867453,0.18604651162790697
20,ekman_basic_emotions,0.4339967467980378,0.14455918310941218,0.33834902190041877,0.4748858447488584,0.30434782608695654,0.7550644567219152,0.3851851851851852,0.20408163265306123,0.7457375833951075,0.1686746987951807
