layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.19725144041743883,0.10210064186628864,0.10597044945986112,0.16541353383458646,0.011111111111111112,0.543859649122807,0.1793103448275862,0.1116751269035533,0.28817204301075267,0.08121827411167512
1,ekman_basic_emotions,0.21846303716253704,0.12332846984927626,0.10851791582293605,0.125,0.0,0.5612153708668454,0.17204301075268819,0.12307692307692308,0.4541559554413025,0.09375
2,ekman_basic_emotions,0.38146627148526313,0.1334696802661541,0.28619493810127844,0.35537190082644626,0.07547169811320754,0.7396226415094339,0.35251798561151076,0.17834394904458598,0.7010785824345146,0.26785714285714285
3,ekman_basic_emotions,0.37243669097541743,0.12970862724310459,0.27890436620485237,0.3114754098360656,0.12903225806451613,0.7366447985004686,0.3368421052631579,0.15942028985507245,0.6743827160493827,0.25925925925925924
4,ekman_basic_emotions,0.3689829413828044,0.1378617918729282,0.2680790009434438,0.28936170212765955,0.1111111111111111,0.7255813953488373,0.36101083032490977,0.16551724137931034,0.6850152905198776,0.24528301886792453
5,ekman_basic_emotions,0.39148680962151655,0.13130677146202588,0.29950738605085964,0.3114754098360656,0.11764705882352941,0.7669172932330827,0.3593220338983051,0.21333333333333335,0.7217125382262997,0.25
6,ekman_basic_emotions,0.40312339806831765,0.13516584152499175,0.3098369252849872,0.3416666666666667,0.04,0.7799442896935933,0.3561643835616438,0.2361111111111111,0.7275518035303147,0.3404255319148936
7,ekman_basic_emotions,0.3978445586433734,0.13589486568729378,0.3031456272556808,0.3466666666666667,0.04081632653061224,0.7992599444958371,0.3460207612456747,0.2550335570469799,0.7304479878511769,0.26666666666666666
8,ekman_basic_emotions,0.4157521360886451,0.14173423005276484,0.31926929353447997,0.336283185840708,0.13043478260869565,0.8058877644894205,0.36363636363636365,0.26153846153846155,0.7235955056179775,0.28888888888888886
9,ekman_basic_emotions,0.4234771877562092,0.1423507394493905,0.32778719837796616,0.39814814814814814,0.0851063829787234,0.8212290502793296,0.38926174496644295,0.22580645161290322,0.7459379615952733,0.2988505747126437
10,ekman_basic_emotions,0.4527113065920108,0.1257357730486006,0.3740008151581237,0.4147465437788018,0.13953488372093023,0.8041044776119403,0.4383561643835616,0.2727272727272727,0.7661764705882353,0.3333333333333333
11,ekman_basic_emotions,0.4918659960669261,0.1418699501978105,0.4078589788922954,0.41818181818181815,0.19047619047619047,0.825722273998136,0.5084745762711864,0.2876712328767123,0.7821561338289963,0.43037974683544306
12,ekman_basic_emotions,0.4683475887455338,0.13599310107037055,0.3846664744076684,0.42592592592592593,0.13333333333333333,0.8179271708683473,0.4827586206896552,0.2702702702702703,0.7717472118959108,0.3764705882352941
13,ekman_basic_emotions,0.4686146899513564,0.13826718777828043,0.3833525861935952,0.41379310344827586,0.2,0.835820895522388,0.42424242424242425,0.26573426573426573,0.7597597597597597,0.38095238095238093
14,ekman_basic_emotions,0.43730053264434054,0.13704164333989613,0.34794134269298044,0.40350877192982454,0.1276595744680851,0.8218923933209648,0.41114982578397213,0.2602739726027397,0.7616191904047976,0.275
15,ekman_basic_emotions,0.45536557833765523,0.14313817112245006,0.36438477791011986,0.44036697247706424,0.25,0.8338028169014085,0.4166666666666667,0.24285714285714285,0.7816432272390822,0.2222222222222222
16,ekman_basic_emotions,0.4551697630868827,0.13972629054362004,0.36667803406731586,0.4343891402714932,0.1951219512195122,0.8203703703703704,0.4229390681003584,0.28169014084507044,0.7666174298375185,0.26506024096385544
17,ekman_basic_emotions,0.4515995241506983,0.1370849816291502,0.3644791617085763,0.4188034188034188,0.15,0.8247422680412371,0.4357142857142857,0.2602739726027397,0.7762081784386617,0.29545454545454547
18,ekman_basic_emotions,0.453223351427065,0.13705991093865996,0.36637936340668875,0.41409691629955947,0.10526315789473684,0.8271375464684015,0.4782608695652174,0.2695035460992908,0.7687776141384389,0.30952380952380953
19,ekman_basic_emotions,0.44145446991023546,0.14047236212490635,0.35017152971300697,0.415929203539823,0.17391304347826086,0.8201304753028891,0.43866171003717475,0.2222222222222222,0.7605011053795137,0.25882352941176473
