layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2806834105797046,0.13876630904484377,0.16478349956034213,0.27710843373493976,0.08,0.5770609318996416,0.175,0.3267504488330341,0.5288640595903166,0.0
1,ekman_basic_emotions,0.3033757884447871,0.12989124426571538,0.19938259790601479,0.28187919463087246,0.10526315789473684,0.6132644272179156,0.15702479338842976,0.3527272727272727,0.5265151515151515,0.08695652173913043
2,ekman_basic_emotions,0.3095177092892066,0.1443139658118551,0.19306584059665408,0.2857142857142857,0.1111111111111111,0.6106346483704974,0.22018348623853212,0.325497287522604,0.5468164794007491,0.06666666666666667
3,ekman_basic_emotions,0.31895182043336867,0.13938121638760284,0.20865289889680153,0.16296296296296298,0.19047619047619047,0.6513994910941476,0.2077922077922078,0.35571687840290384,0.5773584905660377,0.08695652173913043
4,ekman_basic_emotions,0.31385811037559186,0.1367552602413012,0.20515948951371066,0.27941176470588236,0.0,0.6575809199318569,0.2727272727272727,0.3956043956043956,0.5916824196597353,0.0
5,ekman_basic_emotions,0.3138847906191173,0.1463475206926208,0.1962593373622364,0.20588235294117646,0.09523809523809523,0.6712095400340715,0.21818181818181817,0.39186691312384475,0.6148148148148148,0.0
6,ekman_basic_emotions,0.32200331475520166,0.14695793152629763,0.20520134902854484,0.2714285714285714,0.0,0.6842105263157895,0.2679425837320574,0.4049733570159858,0.6254681647940075,0.0
7,ekman_basic_emotions,0.35130765088166893,0.1393444380344448,0.24628111664455524,0.25675675675675674,0.0,0.7202072538860104,0.2583732057416268,0.40148698884758366,0.6684831970935513,0.15384615384615385
8,ekman_basic_emotions,0.3672532093812163,0.14603445918548053,0.25904880188108703,0.2878787878787879,0.10526315789473684,0.7338983050847457,0.3257918552036199,0.4323308270676692,0.6856095325389551,0.0
9,ekman_basic_emotions,0.3756644913234644,0.13554991222788212,0.27776569462143447,0.31496062992125984,0.0,0.75,0.33175355450236965,0.4731182795698925,0.6728624535315985,0.08695652173913043
10,ekman_basic_emotions,0.4038724867163804,0.14142152374180955,0.30568080872277414,0.375,0.21052631578947367,0.7713310580204779,0.3185840707964602,0.4406779661016949,0.7109879963065558,0.0
11,ekman_basic_emotions,0.43480795480971585,0.142602160073593,0.3408053777709584,0.43356643356643354,0.2727272727272727,0.766497461928934,0.3412322274881517,0.41965973534971646,0.7099725526075022,0.1
12,ekman_basic_emotions,0.4377024029193435,0.13574878816954736,0.3493817661074138,0.3597122302158273,0.2727272727272727,0.7882845188284519,0.3827751196172249,0.4552238805970149,0.7218604651162791,0.08333333333333333
13,ekman_basic_emotions,0.4912497163423482,0.1467970814496591,0.403717131532955,0.42953020134228187,0.2857142857142857,0.8074011774600505,0.42487046632124353,0.4849624060150376,0.766269477543538,0.24
14,ekman_basic_emotions,0.445511803734532,0.14200981412654803,0.35373596878501884,0.36486486486486486,0.2,0.8061485909479078,0.4215686274509804,0.4652908067542214,0.7807097361237488,0.08
15,ekman_basic_emotions,0.46054269307046164,0.14835108498109525,0.36657312958877714,0.37583892617449666,0.21052631578947367,0.8067510548523207,0.44554455445544555,0.4847328244274809,0.757548032936871,0.14285714285714285
16,ekman_basic_emotions,0.4439265688560505,0.1422146308665667,0.3517336024211796,0.37662337662337664,0.08695652173913043,0.8271186440677966,0.422680412371134,0.4925373134328358,0.7682363804247461,0.13333333333333333
17,ekman_basic_emotions,0.4411257966270104,0.14188295982142582,0.3487203059658531,0.3561643835616438,0.2,0.8203389830508474,0.3804878048780488,0.48518518518518516,0.7587476979742173,0.08695652173913043
18,ekman_basic_emotions,0.43160573471023433,0.1338611999538476,0.3437607629868577,0.35064935064935066,0.09090909090909091,0.8180272108843537,0.36633663366336633,0.4934579439252336,0.7590027700831025,0.14285714285714285
19,ekman_basic_emotions,0.48295852313183013,0.13505318700064256,0.40222743283458523,0.3546099290780142,0.25,0.8234295415959253,0.41624365482233505,0.48148148148148145,0.7692307692307693,0.2857142857142857
20,ekman_basic_emotions,0.46171312663556874,0.13612499242311837,0.3768926422882702,0.40789473684210525,0.18181818181818182,0.8114961961115807,0.4365482233502538,0.4952741020793951,0.7610294117647058,0.13793103448275862
21,ekman_basic_emotions,0.4472498947375917,0.14225424399667075,0.3555781519247029,0.3971631205673759,0.09523809523809523,0.8153191489361702,0.4079601990049751,0.4723809523809524,0.7608695652173914,0.18181818181818182
22,ekman_basic_emotions,0.4525167641995939,0.13990695977838885,0.36346045113986525,0.4027777777777778,0.1,0.8037068239258636,0.44559585492227977,0.4701492537313433,0.7635694572217111,0.18181818181818182
23,ekman_basic_emotions,0.43645734648347867,0.13706633308212796,0.3469455705334587,0.3310344827586207,0.17391304347826086,0.8161512027491409,0.39603960396039606,0.45985401459854014,0.767097966728281,0.1111111111111111
24,ekman_basic_emotions,0.4338582083128649,0.1428027861176866,0.3395431266942242,0.36363636363636365,0.1,0.8106255355612683,0.4075829383886256,0.48161764705882354,0.7592592592592593,0.11428571428571428
25,ekman_basic_emotions,0.4703105714832107,0.1375308478070155,0.38584536366320155,0.42857142857142855,0.18181818181818182,0.8217054263565892,0.41545893719806765,0.4981684981684982,0.7750229568411386,0.17142857142857143
26,ekman_basic_emotions,0.4702118044723195,0.14060407278721077,0.3835342026277683,0.40310077519379844,0.17391304347826086,0.8324873096446701,0.4372093023255814,0.5095785440613027,0.7685269899359561,0.16666666666666666
