layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.3014785175989637,0.13142394795764945,0.19578546891944776,0.2033898305084746,0.05263157894736842,0.6948275862068966,0.21,0.3926605504587156,0.5568400770712909,0.0
1,ekman_basic_emotions,0.30251807733334596,0.14128208837239414,0.18776362618935785,0.18181818181818182,0.06896551724137931,0.6916524701873935,0.2131979695431472,0.40437158469945356,0.5576208178438662,0.0
2,ekman_basic_emotions,0.29691318234614344,0.1315218765723549,0.19043807933933257,0.13793103448275862,0.08,0.7063758389261745,0.19801980198019803,0.39186691312384475,0.5641986879100281,0.0
3,ekman_basic_emotions,0.34968063915929365,0.14122197122387609,0.24273870656949578,0.20833333333333334,0.14285714285714285,0.7544006705783739,0.26,0.4351145038167939,0.6470588235294118,0.0
4,ekman_basic_emotions,0.37754090731893175,0.13709035631131714,0.2786509025206391,0.2814814814814815,0.15384615384615385,0.7684391080617495,0.29,0.4666666666666667,0.6823529411764706,0.0
5,ekman_basic_emotions,0.38707451770960283,0.13936385066363122,0.2878227544090261,0.2695035460992908,0.2608695652173913,0.7691015952980689,0.27692307692307694,0.45724907063197023,0.6758747697974218,0.0
6,ekman_basic_emotions,0.4085606994741477,0.13594813198284336,0.3155048644439611,0.2706766917293233,0.36363636363636365,0.7787162162162162,0.28431372549019607,0.48134328358208955,0.6812386156648452,0.0
7,ekman_basic_emotions,0.37041290374193053,0.1430813824010115,0.2652895113632636,0.22556390977443608,0.125,0.7854113655640373,0.3300970873786408,0.4523364485981308,0.6744815148782687,0.0
8,ekman_basic_emotions,0.4053066097931635,0.13867436649505838,0.3095603253012618,0.23357664233576642,0.2608695652173913,0.776732249786142,0.31527093596059114,0.467680608365019,0.7060931899641577,0.07692307692307693
9,ekman_basic_emotions,0.41033215961674135,0.13694554438451326,0.3167663563445282,0.2571428571428571,0.3,0.7966386554621848,0.29743589743589743,0.5103189493433395,0.7107887579329103,0.0
10,ekman_basic_emotions,0.4165333748309993,0.13627636074801502,0.3244753313984745,0.32558139534883723,0.2857142857142857,0.8138163437236732,0.2513089005235602,0.5234657039711191,0.7158469945355191,0.0
11,ekman_basic_emotions,0.4036033228544281,0.14034570319646492,0.30623661236480504,0.2773722627737226,0.17391304347826086,0.8126603934987169,0.31746031746031744,0.5207956600361664,0.7230215827338129,0.0
12,ekman_basic_emotions,0.4263276004158794,0.1511096414278744,0.3242090762474142,0.28125,0.34782608695652173,0.8133561643835616,0.2736842105263158,0.551094890510949,0.7170818505338078,0.0
13,ekman_basic_emotions,0.4569188215436323,0.1492372137470883,0.3616538155737779,0.296875,0.5217391304347826,0.8162574089754445,0.31088082901554404,0.5333333333333333,0.7193460490463215,0.0
14,ekman_basic_emotions,0.4065124143401558,0.14778722041595893,0.3035922484646132,0.24060150375939848,0.2,0.8155668358714044,0.3350253807106599,0.5284403669724771,0.7259528130671506,0.0
15,ekman_basic_emotions,0.4010008268179985,0.14361069280004155,0.3005527180850927,0.26865671641791045,0.17391304347826086,0.807495741056218,0.27358490566037735,0.5547445255474452,0.7286108555657773,0.0
16,ekman_basic_emotions,0.4104413203436638,0.14380229334011363,0.31142226255631533,0.26153846153846155,0.16666666666666666,0.8156996587030717,0.34579439252336447,0.5541284403669725,0.7292616226071102,0.0
17,ekman_basic_emotions,0.40413942018059995,0.14242256378004672,0.30518160267153704,0.2595419847328244,0.17391304347826086,0.7934312878133103,0.33035714285714285,0.5579710144927537,0.7137614678899082,0.0
18,ekman_basic_emotions,0.40586192495486867,0.13923186868320267,0.3097582805067111,0.2898550724637681,0.21428571428571427,0.8051724137931034,0.29357798165137616,0.5108695652173914,0.7272727272727273,0.0
19,ekman_basic_emotions,0.4053130307336617,0.14085601730311129,0.3078145441936389,0.265625,0.2222222222222222,0.8037865748709122,0.319634703196347,0.5197132616487455,0.706209453197405,0.0
20,ekman_basic_emotions,0.3934038109275272,0.1401411070462944,0.294539843637889,0.2702702702702703,0.16666666666666666,0.8017167381974248,0.29493087557603687,0.5074074074074074,0.7128347183748845,0.0
21,ekman_basic_emotions,0.40436847889633426,0.1396053742254153,0.3077228712726576,0.2953020134228188,0.25,0.800339847068819,0.2818181818181818,0.5119705340699816,0.6911487758945386,0.0
22,ekman_basic_emotions,0.39485688542703457,0.1381118774083928,0.29788669931619016,0.2876712328767123,0.18181818181818182,0.8051063829787234,0.27906976744186046,0.5064220183486239,0.7039106145251397,0.0
23,ekman_basic_emotions,0.39000816951354755,0.14420814151194675,0.2872194045358894,0.3116883116883117,0.16,0.7945439045183291,0.2830188679245283,0.4954128440366973,0.6853932584269663,0.0
