layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.32710457531915244,0.14108931939262334,0.21657112913648816,0.23529411764705882,0.3448275862068966,0.4659400544959128,0.27621483375959077,0.3067669172932331,0.49907235621521334,0.16161616161616163
1,ekman_basic_emotions,0.3410332690197139,0.1451876308061299,0.2291095043445336,0.26595744680851063,0.2608695652173913,0.5163826998689384,0.30423940149625933,0.3224852071005917,0.5079962370649106,0.20930232558139536
2,ekman_basic_emotions,0.34870821733267976,0.14324529986155607,0.23981533738644528,0.32653061224489793,0.23076923076923078,0.5252263906856404,0.3013698630136986,0.3421828908554572,0.5055762081784386,0.20930232558139536
3,ekman_basic_emotions,0.3351782644273658,0.13770526449249165,0.2290087041046938,0.2777777777777778,0.2727272727272727,0.5234899328859061,0.25824175824175827,0.32941176470588235,0.5290437890974083,0.15555555555555556
4,ekman_basic_emotions,0.33734290116101356,0.147888387651143,0.2223353264575713,0.2872340425531915,0.18181818181818182,0.5321100917431193,0.3025210084033613,0.3343195266272189,0.5378304466727438,0.18556701030927836
5,ekman_basic_emotions,0.35792347266877467,0.1424269387331519,0.2512865010210103,0.328042328042328,0.21052631578947367,0.5284552845528455,0.3064066852367688,0.37790697674418605,0.5500450856627592,0.20408163265306123
6,ekman_basic_emotions,0.3296354517669436,0.1420646456977295,0.2186304657205309,0.25136612021857924,0.19047619047619047,0.5380434782608695,0.2663316582914573,0.3438914027149321,0.5506726457399103,0.16666666666666666
7,ekman_basic_emotions,0.3441273369801903,0.14292837096515873,0.23475163475146668,0.2708333333333333,0.19047619047619047,0.5538881309686221,0.32,0.35311572700296734,0.5650224215246636,0.15555555555555556
8,ekman_basic_emotions,0.338883594443318,0.13995547439108158,0.23129979219551886,0.22826086956521738,0.2,0.5447263017356475,0.30851063829787234,0.34822804314329736,0.5704162976085031,0.17204301075268819
9,ekman_basic_emotions,0.3677107163722088,0.14968947419767267,0.2564019091364509,0.24598930481283424,0.3157894736842105,0.5365205843293492,0.3076923076923077,0.3547400611620795,0.5683453237410072,0.24489795918367346
10,ekman_basic_emotions,0.3422061444308201,0.13654897486280268,0.23818046835411388,0.30303030303030304,0.1,0.5555555555555556,0.289544235924933,0.37936267071320184,0.5638686131386861,0.20408163265306123
11,ekman_basic_emotions,0.36058046419243267,0.1421381878797865,0.2546357387942984,0.28426395939086296,0.19047619047619047,0.6045272969374168,0.3143631436314363,0.3582554517133956,0.5957066189624329,0.17647058823529413
12,ekman_basic_emotions,0.39785610558884,0.14293959983106183,0.29743120287383557,0.3119266055045872,0.2727272727272727,0.6338215712383488,0.3769633507853403,0.37325038880248834,0.596523330283623,0.21978021978021978
13,ekman_basic_emotions,0.4330497887834879,0.13820034756876626,0.34213223500719475,0.34782608695652173,0.2857142857142857,0.6666666666666666,0.3989071038251366,0.42813455657492355,0.6452762923351159,0.25882352941176473
14,ekman_basic_emotions,0.4391849906414277,0.14226521594190059,0.3461673470845447,0.3961352657004831,0.26666666666666666,0.672972972972973,0.3865546218487395,0.39939024390243905,0.6702222222222223,0.2823529411764706
15,ekman_basic_emotions,0.48447755201402176,0.15316076962432298,0.3912392937236967,0.47474747474747475,0.27586206896551724,0.6984126984126984,0.46408839779005523,0.39123630672926446,0.6961913197519929,0.39080459770114945
16,ekman_basic_emotions,0.4650852028248021,0.13659645463500097,0.38045795613560324,0.40414507772020725,0.2727272727272727,0.7334235453315291,0.4418604651162791,0.43131462333825704,0.686411149825784,0.2857142857142857
17,ekman_basic_emotions,0.49253433304345356,0.15235782174328039,0.40132088754689865,0.42857142857142855,0.4166666666666667,0.7272727272727273,0.44680851063829785,0.426179604261796,0.6927175843694494,0.30952380952380953
18,ekman_basic_emotions,0.4853989442709291,0.14166715952302397,0.4004644451875955,0.4830917874396135,0.32,0.739247311827957,0.45555555555555555,0.42433234421364985,0.6932126696832579,0.2823529411764706
19,ekman_basic_emotions,0.5250962466801229,0.1376309350550743,0.44930335209762384,0.5217391304347826,0.48,0.7566844919786097,0.4659090909090909,0.434654919236417,0.7071622846781505,0.30952380952380953
20,ekman_basic_emotions,0.514460771256504,0.1449219650265465,0.4321696864092996,0.5104166666666666,0.4,0.7704697986577181,0.46647230320699706,0.48405797101449277,0.7133984028393966,0.2564102564102564
21,ekman_basic_emotions,0.5068155484091564,0.13971736905859514,0.4267181111733557,0.48484848484848486,0.32,0.762532981530343,0.49404761904761907,0.47076023391812866,0.7182222222222222,0.2972972972972973
22,ekman_basic_emotions,0.4980220757560779,0.14282361728186374,0.41438199375940277,0.4742268041237113,0.32,0.7576974564926372,0.4753623188405797,0.456973293768546,0.7161803713527851,0.2857142857142857
23,ekman_basic_emotions,0.49588439818231417,0.1450738799964401,0.4103401568598855,0.4639175257731959,0.38461538461538464,0.7547169811320755,0.4676056338028169,0.431784107946027,0.7156775907883083,0.25287356321839083
24,ekman_basic_emotions,0.5198639743530667,0.13870946267471926,0.4425388358056442,0.4948453608247423,0.45161290322580644,0.7828418230563002,0.4685714285714286,0.44716692189892804,0.7116564417177914,0.2823529411764706
25,ekman_basic_emotions,0.5206459133483492,0.1431294226020777,0.44057585906693647,0.47959183673469385,0.45161290322580644,0.7777777777777778,0.4633431085043988,0.4651851851851852,0.7107142857142857,0.2962962962962963
26,ekman_basic_emotions,0.5185448852453944,0.13482609275160493,0.4435163720022155,0.49230769230769234,0.41379310344827586,0.7777777777777778,0.46511627906976744,0.4568835098335855,0.7144120247568524,0.30952380952380953
27,ekman_basic_emotions,0.5217580463445173,0.1360977071967123,0.44641661720374737,0.4607329842931937,0.4444444444444444,0.7824933687002652,0.46647230320699706,0.44108761329305135,0.7237422771403353,0.3333333333333333
28,ekman_basic_emotions,0.5463090653423391,0.14552259003278342,0.4690427981295989,0.5128205128205128,0.5,0.781578947368421,0.5089820359281437,0.4444444444444444,0.7246891651865008,0.3516483516483517
29,ekman_basic_emotions,0.5478862962220118,0.1416102354220293,0.4733002157821966,0.5102040816326531,0.5,0.7820343461030383,0.49258160237388726,0.4523809523809524,0.730186999109528,0.367816091954023
30,ekman_basic_emotions,0.5302921952070594,0.1347742227608328,0.45712689433303466,0.4787234042553192,0.48,0.7750677506775068,0.4817073170731707,0.4476744186046512,0.7342657342657343,0.3146067415730337
31,ekman_basic_emotions,0.5280779494773785,0.14118265791530263,0.45049776314824336,0.48704663212435234,0.48,0.7750677506775068,0.47530864197530864,0.4563953488372093,0.7272727272727273,0.29545454545454547
32,ekman_basic_emotions,0.5096082887058492,0.1475432451008929,0.42473127407830635,0.4433497536945813,0.4,0.7725437415881561,0.5045045045045045,0.4540059347181009,0.724561403508772,0.2682926829268293
33,ekman_basic_emotions,0.4903508346373471,0.13008421191163355,0.41413965312366247,0.4512820512820513,0.34782608695652173,0.7762803234501348,0.48295454545454547,0.43137254901960786,0.7046450482033304,0.23809523809523808
34,ekman_basic_emotions,0.49792588338212784,0.1464509636935186,0.4117805828819496,0.46,0.35714285714285715,0.7737617135207496,0.47126436781609193,0.42748091603053434,0.7231040564373897,0.2727272727272727
35,ekman_basic_emotions,0.5043189076834084,0.14100970178222882,0.4229491376735822,0.46236559139784944,0.4,0.7648648648648648,0.44571428571428573,0.45112781954887216,0.7302977232924693,0.27586206896551724
36,ekman_basic_emotions,0.4595551977199223,0.13991530608761107,0.3716376932349767,0.39378238341968913,0.14285714285714285,0.7603748326639893,0.4114285714285714,0.4334828101644245,0.7091069849690539,0.36585365853658536
37,ekman_basic_emotions,0.47985945866344465,0.13220943600138738,0.4006151219945888,0.47619047619047616,0.2222222222222222,0.7560975609756098,0.44776119402985076,0.44411326378539495,0.7137809187279152,0.2988505747126437
38,ekman_basic_emotions,0.44928356354368343,0.14802110866323612,0.3536031912806705,0.4512820512820513,0.16,0.7415426251691475,0.44565217391304346,0.46476761619190404,0.7045252883762201,0.17721518987341772
39,ekman_basic_emotions,0.4699276103050745,0.13889294361069413,0.3844291650360369,0.46534653465346537,0.16,0.7611336032388664,0.41040462427745666,0.4590643274853801,0.7092198581560284,0.32432432432432434
