layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.24956058016817834,0.1373471270965372,0.13007949848235031,0.18604651162790697,0.05128205128205128,0.5130208333333334,0.14545454545454545,0.3813953488372093,0.46972477064220186,0.0
1,ekman_basic_emotions,0.24684264851514529,0.13974210075270652,0.12449818578376248,0.16828478964401294,0.0,0.5,0.13385826771653545,0.410958904109589,0.4870188003581021,0.027777777777777776
2,ekman_basic_emotions,0.263677424799111,0.14456692094158088,0.13924000225550762,0.19808306709265175,0.05555555555555555,0.5393548387096774,0.144,0.39502332814930013,0.48473967684021546,0.028985507246376812
3,ekman_basic_emotions,0.3032270004832189,0.1464791117920213,0.1836485677817443,0.3016393442622951,0.0625,0.5822454308093995,0.18972332015810275,0.43034055727554177,0.5561403508771929,0.0
4,ekman_basic_emotions,0.3186849908046395,0.13928590652656456,0.2084305179134514,0.310126582278481,0.1111111111111111,0.5883905013192612,0.183206106870229,0.4538087520259319,0.5551663747810858,0.028985507246376812
5,ekman_basic_emotions,0.30889853932459266,0.14314600920474532,0.19344314422345255,0.26366559485530544,0.11428571428571428,0.5669291338582677,0.19622641509433963,0.4505672609400324,0.5416301489921121,0.028985507246376812
6,ekman_basic_emotions,0.32766027786068846,0.14356989093173333,0.21495085819581006,0.3082191780821918,0.125,0.5858064516129032,0.19923371647509577,0.4751203852327448,0.5699391833188532,0.030303030303030304
7,ekman_basic_emotions,0.3306091992935706,0.1395042554811732,0.22208702951722287,0.31543624161073824,0.07407407407407407,0.6242197253433208,0.1889763779527559,0.4444444444444444,0.6025974025974026,0.06451612903225806
8,ekman_basic_emotions,0.34147129527104775,0.1455187675598037,0.22932338391055118,0.3087248322147651,0.06666666666666667,0.6350832266325224,0.26877470355731226,0.4551282051282051,0.5892547660311959,0.06666666666666667
9,ekman_basic_emotions,0.3469171618681549,0.13307877642806754,0.24666414851284837,0.2898550724637681,0.12903225806451613,0.6426735218508998,0.26765799256505574,0.46153846153846156,0.6025751072961374,0.03508771929824561
10,ekman_basic_emotions,0.37140995346082745,0.13889199325545434,0.27002183046052125,0.35507246376811596,0.125,0.640926640926641,0.2900763358778626,0.4928909952606635,0.623175965665236,0.07272727272727272
11,ekman_basic_emotions,0.383886207456321,0.13704223143370733,0.28604409742172804,0.37722419928825623,0.12903225806451613,0.6841415465268676,0.33076923076923076,0.48427672955974843,0.648972602739726,0.03278688524590164
12,ekman_basic_emotions,0.38470375539945306,0.14170325488962296,0.28311944778327247,0.3945578231292517,0.06666666666666667,0.7058823529411765,0.2992125984251969,0.5062111801242236,0.6476683937823834,0.07272727272727272
13,ekman_basic_emotions,0.38121278464512015,0.14802720078946494,0.2737007379481274,0.37630662020905925,0.07142857142857142,0.6970091027308193,0.29959514170040485,0.5038402457757296,0.648881239242685,0.07142857142857142
14,ekman_basic_emotions,0.36894355954844243,0.14420515736926612,0.26260780152439933,0.3563636363636364,0.06896551724137931,0.6683870967741935,0.2781954887218045,0.4954128440366973,0.6451048951048951,0.07017543859649122
15,ekman_basic_emotions,0.3641823502885225,0.1464384996088656,0.2551003654451125,0.3475177304964539,0.07142857142857142,0.6954314720812182,0.26666666666666666,0.482225656877898,0.6509186351706037,0.03508771929824561
16,ekman_basic_emotions,0.36493660973500835,0.14310093294931112,0.2588819212386595,0.36789297658862874,0.07407407407407407,0.712998712998713,0.28346456692913385,0.4772370486656201,0.6388888888888888,0.0
17,ekman_basic_emotions,0.39170414991623365,0.13735576431377147,0.29484737169793934,0.4041095890410959,0.15384615384615385,0.7242693773824651,0.27467811158798283,0.5,0.685025817555938,0.0
18,ekman_basic_emotions,0.4167371109883426,0.14714839701306173,0.31610272294863667,0.381294964028777,0.24,0.7329974811083123,0.26720647773279355,0.5196374622356495,0.6649122807017543,0.1111111111111111
19,ekman_basic_emotions,0.42616363995972967,0.14357407191688318,0.32996381680707476,0.4,0.2857142857142857,0.7304785894206549,0.29045643153526973,0.5015673981191222,0.7008547008547008,0.07407407407407407
20,ekman_basic_emotions,0.4133810587279096,0.14357134914716463,0.3150404990679227,0.4132841328413284,0.2857142857142857,0.7289002557544757,0.28205128205128205,0.49101796407185627,0.6926994906621392,0.0
21,ekman_basic_emotions,0.4035078171259555,0.14570249587524053,0.3017746394036822,0.39322033898305087,0.21428571428571427,0.7126436781609196,0.28448275862068967,0.4811320754716981,0.6995744680851064,0.0392156862745098
22,ekman_basic_emotions,0.41321684096675054,0.13710471697982152,0.31998335072654727,0.4068965517241379,0.16666666666666666,0.7265625,0.3025210084033613,0.4960505529225908,0.6970464135021097,0.0967741935483871
23,ekman_basic_emotions,0.4392662441257514,0.144740233198022,0.3443702397331666,0.4513888888888889,0.24,0.7249357326478149,0.34309623430962344,0.5038880248833593,0.6961702127659575,0.11538461538461539
24,ekman_basic_emotions,0.43968081337663706,0.14193057202875461,0.34700017462673227,0.43661971830985913,0.2608695652173913,0.7247119078104993,0.3620689655172414,0.4891640866873065,0.6932203389830508,0.1111111111111111
25,ekman_basic_emotions,0.4568144211727076,0.15256174669368588,0.3590263636223262,0.4689655172413793,0.35714285714285715,0.731016731016731,0.3418803418803419,0.490625,0.6989795918367347,0.10909090909090909
26,ekman_basic_emotions,0.43949195926969903,0.13335196077637376,0.3532460521892789,0.4542372881355932,0.2857142857142857,0.7333333333333333,0.3247863247863248,0.5145482388973966,0.696027633851468,0.06779661016949153
27,ekman_basic_emotions,0.43802279413466677,0.13576430011113813,0.34974081036272653,0.4397163120567376,0.2,0.7345911949685534,0.39148936170212767,0.5181818181818182,0.7094535993061578,0.07272727272727272
28,ekman_basic_emotions,0.43408756843890767,0.1439245297012318,0.33894562898339997,0.4657534246575342,0.18181818181818182,0.7345360824742269,0.39183673469387753,0.500768049155146,0.6961038961038961,0.06779661016949153
29,ekman_basic_emotions,0.44631552039678796,0.13620746559843058,0.3590075654140707,0.44368600682593856,0.19047619047619047,0.770595690747782,0.37344398340248963,0.5217391304347826,0.7088830255057168,0.11538461538461539
30,ekman_basic_emotions,0.42132224970791066,0.1438036680457463,0.3241296082508703,0.39416058394160586,0.16666666666666666,0.7537688442211056,0.36681222707423583,0.5046439628482973,0.6904761904761905,0.07272727272727272
31,ekman_basic_emotions,0.41458118536287014,0.13883516917231767,0.3202012046004336,0.43508771929824563,0.09523809523809523,0.7407407407407407,0.3474178403755869,0.516320474777448,0.6888320545609549,0.0784313725490196
32,ekman_basic_emotions,0.41072723942024175,0.13673873873680595,0.31738769359639,0.39552238805970147,0.10526315789473684,0.7462311557788944,0.37656903765690375,0.5172932330827068,0.6865926558497011,0.047619047619047616
33,ekman_basic_emotions,0.45346794805309004,0.1548658132132322,0.3533192000848463,0.45384615384615384,0.25,0.7407407407407407,0.4100418410041841,0.525679758308157,0.7088607594936709,0.0851063829787234
34,ekman_basic_emotions,0.4503724948593251,0.13689892127772985,0.3631945102486255,0.42857142857142855,0.3333333333333333,0.760705289672544,0.3652173913043478,0.48254931714719274,0.6988973706530959,0.08333333333333333
35,ekman_basic_emotions,0.48378895869352145,0.13370680650094527,0.4041150903870725,0.4855072463768116,0.35714285714285715,0.7547649301143583,0.4132231404958678,0.5278219395866455,0.7204030226700252,0.1276595744680851
36,ekman_basic_emotions,0.4848346235428062,0.13936963330010962,0.40140925025384727,0.4928571428571429,0.2857142857142857,0.7617834394904459,0.4166666666666667,0.5368916797488226,0.7366638441998307,0.16326530612244897
37,ekman_basic_emotions,0.491580879402795,0.15248966754723578,0.40010274668180335,0.48936170212765956,0.41379310344827586,0.751937984496124,0.4214876033057851,0.4968553459119497,0.7371956339210747,0.13043478260869565
38,ekman_basic_emotions,0.4916768249836835,0.14173460949466102,0.40773194324307965,0.45692883895131087,0.46153846153846156,0.7461139896373057,0.3686274509803922,0.5084745762711864,0.7113752122241087,0.18867924528301888
39,ekman_basic_emotions,0.4863851679642431,0.14029993612212588,0.40256508796919294,0.4420289855072464,0.4,0.7571059431524548,0.4,0.5242424242424243,0.7303754266211604,0.1509433962264151
40,ekman_basic_emotions,0.4389814068939299,0.14314089909852923,0.34526155757015065,0.4782608695652174,0.17391304347826086,0.7398692810457517,0.3706896551724138,0.4961948249619482,0.7306088407005839,0.08333333333333333
41,ekman_basic_emotions,0.4231717149155293,0.14496018680043485,0.32537844883973865,0.45018450184501846,0.09090909090909091,0.7258687258687259,0.379746835443038,0.487062404870624,0.7059814658803707,0.12244897959183673
42,ekman_basic_emotions,0.42059632667763447,0.14846836706593883,0.31957469233884356,0.43283582089552236,0.09523809523809523,0.7263427109974424,0.35,0.49696969696969695,0.7203389830508474,0.12244897959183673
43,ekman_basic_emotions,0.4393064907425175,0.1412606869670655,0.34707366863501365,0.40148698884758366,0.3333333333333333,0.7261146496815286,0.3504273504273504,0.5022692889561271,0.7180355630821338,0.043478260869565216
44,ekman_basic_emotions,0.45882514626821663,0.13879566200692672,0.3716069115572243,0.39416058394160586,0.35714285714285715,0.7503201024327785,0.3418803418803419,0.5227963525835866,0.7204757858963466,0.125
45,ekman_basic_emotions,0.44607797092020524,0.13701087001075582,0.35813556645064754,0.4280701754385965,0.2857142857142857,0.7535853976531942,0.3333333333333333,0.49693251533742333,0.7137989778534923,0.1111111111111111
46,ekman_basic_emotions,0.43424671549347355,0.14103624267284495,0.3413537187331561,0.41134751773049644,0.25,0.7384615384615385,0.33620689655172414,0.5163297045101088,0.6984924623115578,0.08888888888888889
47,ekman_basic_emotions,0.43265522716349997,0.1440380768657579,0.33718456685657694,0.3737024221453287,0.32,0.742483660130719,0.30434782608695654,0.49614791987673346,0.6966666666666667,0.09523809523809523
48,ekman_basic_emotions,0.41067708642581296,0.14937469177396323,0.3071885965828962,0.3902439024390244,0.09090909090909091,0.7305699481865285,0.358974358974359,0.4797507788161994,0.7018425460636516,0.12244897959183673
49,ekman_basic_emotions,0.44523815233065556,0.1396941182604745,0.35515743941256755,0.4057971014492754,0.3333333333333333,0.7337579617834394,0.34782608695652173,0.5109034267912772,0.6961602671118531,0.08888888888888889
50,ekman_basic_emotions,0.40117706771142725,0.1445911287101307,0.2999570703707937,0.40569395017793597,0.16666666666666666,0.7307692307692307,0.3135593220338983,0.4897959183673469,0.7017543859649122,0.0
51,ekman_basic_emotions,0.426062021597357,0.13590889058918132,0.3357899738211829,0.40441176470588236,0.21052631578947367,0.7341772151898734,0.36947791164658633,0.4666666666666667,0.7102177554438861,0.08695652173913043
52,ekman_basic_emotions,0.4347651893643244,0.14337464073393621,0.340161011436837,0.39436619718309857,0.2608695652173913,0.7396907216494846,0.34309623430962344,0.49842271293375395,0.7218045112781954,0.0851063829787234
53,ekman_basic_emotions,0.43938941986610885,0.14546179181960117,0.3439607793224122,0.41007194244604317,0.2727272727272727,0.7317073170731707,0.3346938775510204,0.4909090909090909,0.7106164383561644,0.125
54,ekman_basic_emotions,0.41566291908393654,0.14409433806763977,0.31728798288725196,0.39552238805970147,0.15384615384615385,0.747141041931385,0.35344827586206895,0.49165402124430957,0.7235841081994928,0.044444444444444446
55,ekman_basic_emotions,0.42288949534466524,0.1427223609318297,0.32681026734508917,0.38095238095238093,0.19047619047619047,0.7416879795396419,0.3865546218487395,0.5053272450532724,0.7117497886728656,0.043478260869565216
56,ekman_basic_emotions,0.4186046925195564,0.14642034004891588,0.3188739906082562,0.41114982578397213,0.17391304347826086,0.7304785894206549,0.3790322580645161,0.4794952681388013,0.7117194183062446,0.044444444444444446
57,ekman_basic_emotions,0.4209430409020606,0.14302454924992888,0.32430157877787796,0.40418118466898956,0.19047619047619047,0.7330779054916986,0.379746835443038,0.4916030534351145,0.7030716723549488,0.044444444444444446
58,ekman_basic_emotions,0.41846123713625066,0.14636730029568057,0.3187482589816648,0.3971631205673759,0.18181818181818182,0.7251612903225807,0.3548387096774194,0.48522550544323484,0.6999154691462384,0.0851063829787234
