layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2837941374000798,0.13571598460280712,0.17133043092231834,0.36875,0.18181818181818182,0.4652777777777778,0.24225352112676057,0.15767634854771784,0.5707831325301205,0.0
1,ekman_basic_emotions,0.2948892308929845,0.12762124922127152,0.19173779911810243,0.3388704318936877,0.2807017543859649,0.4861878453038674,0.2768361581920904,0.12017167381974249,0.5614567526555387,0.0
2,ekman_basic_emotions,0.30626321784957106,0.12826406840475016,0.2041892997562782,0.33003300330033003,0.16666666666666666,0.5061315496098104,0.3218390804597701,0.18410041841004185,0.5684051398337112,0.06666666666666667
3,ekman_basic_emotions,0.30538748609880295,0.14074397447804274,0.19161170446345965,0.3333333333333333,0.13043478260869565,0.5078651685393258,0.29508196721311475,0.2,0.5940740740740741,0.07692307692307693
4,ekman_basic_emotions,0.28349424206378787,0.1400927986528505,0.1667638591539663,0.30344827586206896,0.12244897959183673,0.49665924276169265,0.2711864406779661,0.19469026548672566,0.5960264900662252,0.0
5,ekman_basic_emotions,0.29513672809532915,0.12988734073478245,0.1899172315227485,0.3177570093457944,0.1702127659574468,0.4988610478359909,0.2655367231638418,0.23333333333333334,0.5802562170308968,0.0
6,ekman_basic_emotions,0.2973021382411033,0.14488686366258238,0.1782398937657995,0.33226837060702874,0.16,0.49496080627099664,0.2962962962962963,0.2196078431372549,0.5779816513761468,0.0
7,ekman_basic_emotions,0.3000897725342693,0.13911061195022473,0.18699168884950523,0.36065573770491804,0.17391304347826086,0.4983089064261556,0.2681564245810056,0.21224489795918366,0.5873493975903614,0.0
8,ekman_basic_emotions,0.2855648161066985,0.134600071739487,0.17444506226231887,0.3384615384615385,0.21739130434782608,0.47362250879249707,0.24615384615384617,0.15079365079365079,0.5725308641975309,0.0
9,ekman_basic_emotions,0.29484800066973277,0.13200542261452966,0.18760782877896465,0.4068965517241379,0.21818181818181817,0.45011600928074247,0.2765957446808511,0.14457831325301204,0.5675675675675675,0.0
10,ekman_basic_emotions,0.3045539705321058,0.13379867298955975,0.19713118904109916,0.3669724770642202,0.10909090909090909,0.5226480836236934,0.266304347826087,0.18930041152263374,0.6034874905231236,0.07407407407407407
11,ekman_basic_emotions,0.3054124069387295,0.1305191930164261,0.20114672171896197,0.3591331269349845,0.13793103448275862,0.5113636363636364,0.26857142857142857,0.23655913978494625,0.5598123534010946,0.06451612903225806
12,ekman_basic_emotions,0.31985332812931233,0.13532025905583922,0.21341204186416793,0.38977635782747605,0.18867924528301888,0.5194508009153318,0.29310344827586204,0.18106995884773663,0.6062874251497006,0.06060606060606061
13,ekman_basic_emotions,0.3205631681088689,0.13703998422807934,0.21266707672038257,0.36538461538461536,0.2,0.5028571428571429,0.28732394366197184,0.2222222222222222,0.6016381236038719,0.06451612903225806
14,ekman_basic_emotions,0.3479138148467033,0.1310935777792045,0.249532321919475,0.380327868852459,0.2413793103448276,0.5340909090909091,0.3342776203966006,0.25663716814159293,0.6197183098591549,0.06896551724137931
15,ekman_basic_emotions,0.3884193884226596,0.12945108676215203,0.29747702595747566,0.38,0.34782608695652173,0.5782312925170068,0.3667621776504298,0.27615062761506276,0.6366322008862629,0.13333333333333333
16,ekman_basic_emotions,0.34355100094798763,0.14311858083632117,0.2339091683272694,0.348993288590604,0.19047619047619047,0.6252771618625277,0.35398230088495575,0.22624434389140272,0.6598837209302325,0.0
17,ekman_basic_emotions,0.3939677181721875,0.13372451986556957,0.30041621201864427,0.45901639344262296,0.25925925925925924,0.6226851851851852,0.41456582633053224,0.21524663677130046,0.6870007262164125,0.1
18,ekman_basic_emotions,0.36304100542415835,0.1354183810129306,0.2632748828015878,0.4234527687296417,0.17857142857142858,0.6174801362088536,0.37423312883435583,0.2702702702702703,0.6772793053545586,0.0
19,ekman_basic_emotions,0.3838371619764748,0.13936764527108544,0.28405801311338497,0.44966442953020136,0.20408163265306123,0.6734926052332195,0.4121212121212121,0.24778761061946902,0.6997126436781609,0.0
20,ekman_basic_emotions,0.41114767835219296,0.13581998951281796,0.3185999276749746,0.46,0.3018867924528302,0.6968325791855203,0.4339622641509434,0.26,0.7253521126760564,0.0
21,ekman_basic_emotions,0.4415447812594085,0.1432699495484108,0.34815497781801236,0.4642857142857143,0.34782608695652173,0.7233560090702947,0.44837758112094395,0.27522935779816515,0.7484053862508859,0.08333333333333333
22,ekman_basic_emotions,0.45681406126470747,0.14583349967900075,0.3640748747098358,0.5107913669064749,0.375,0.7719298245614035,0.4438040345821326,0.3302752293577982,0.7658979734451432,0.0
23,ekman_basic_emotions,0.4643747476979384,0.13251486509758348,0.38255397037747035,0.5140845070422535,0.2608695652173913,0.7494145199063232,0.47477744807121663,0.39090909090909093,0.7696590118302018,0.09090909090909091
24,ekman_basic_emotions,0.4548647895558909,0.13378877709699818,0.3706671120963377,0.5428571428571428,0.22727272727272727,0.7622298065984073,0.49266862170087977,0.39631336405529954,0.7627118644067796,0.0
25,ekman_basic_emotions,0.46573556855650705,0.13384087157039515,0.3831798177638047,0.5405405405405406,0.26666666666666666,0.7825086306098964,0.5043988269794721,0.39069767441860465,0.7753366406803686,0.0
26,ekman_basic_emotions,0.4913141849164621,0.14651448734486042,0.4039900999595782,0.5985915492957746,0.2608695652173913,0.7825086306098964,0.5149700598802395,0.39622641509433965,0.7907949790794979,0.09523809523809523
27,ekman_basic_emotions,0.5241860545158491,0.1393750405226434,0.4471297395637876,0.6068965517241379,0.38461538461538464,0.8064146620847652,0.5426829268292683,0.4343891402714932,0.8033946251768034,0.09090909090909091
28,ekman_basic_emotions,0.5152758438338523,0.13449984974387807,0.43994907912759296,0.624561403508772,0.3111111111111111,0.8197474167623421,0.5444126074498568,0.4074074074074074,0.8087818696883853,0.09090909090909091
29,ekman_basic_emotions,0.5215559771526564,0.1441507683789221,0.44097160437812744,0.6505190311418685,0.43478260869565216,0.814139110604333,0.5502958579881657,0.40594059405940597,0.7952146375791695,0.0
30,ekman_basic_emotions,0.514574692301139,0.14049349470010616,0.43522788401759754,0.6596491228070176,0.37209302325581395,0.8137142857142857,0.5630498533724341,0.4,0.7935165609584214,0.0
31,ekman_basic_emotions,0.5279338142779066,0.13482016575458644,0.4543721813236473,0.6460481099656358,0.3673469387755102,0.8193325661680092,0.5964912280701754,0.4558139534883721,0.8105039034776437,0.0
32,ekman_basic_emotions,0.5309008006040401,0.13199844846552627,0.45956410035595535,0.6319444444444444,0.35294117647058826,0.8281430219146482,0.5714285714285714,0.45794392523364486,0.8093883357041252,0.06451612903225806
33,ekman_basic_emotions,0.5445588460415451,0.13708316037168525,0.4722073633947999,0.6293706293706294,0.43636363636363634,0.8310185185185185,0.5756676557863502,0.4528301886792453,0.8152327221438646,0.07142857142857142
34,ekman_basic_emotions,0.5292641971190434,0.13843556038521468,0.45362670366081076,0.6421404682274248,0.3404255319148936,0.8314087759815243,0.5722713864306784,0.4292682926829268,0.8124118476727785,0.07692307692307693
35,ekman_basic_emotions,0.5340800977689683,0.1395031523063256,0.4585454862736544,0.6289752650176679,0.3829787234042553,0.8346820809248555,0.5654761904761905,0.4507042253521127,0.8112280701754386,0.06451612903225806
36,ekman_basic_emotions,0.5502705037618791,0.14004659671957548,0.4770303896437196,0.6456140350877193,0.43478260869565216,0.8502304147465438,0.5757575757575758,0.4672897196261682,0.8193956430077302,0.058823529411764705
37,ekman_basic_emotions,0.5444152749505597,0.13158594269735777,0.47538306039803196,0.6293706293706294,0.4166666666666667,0.841743119266055,0.5714285714285714,0.4694835680751174,0.815547703180212,0.06666666666666667
38,ekman_basic_emotions,0.544257675863422,0.13441138345087114,0.47348854245160804,0.6521739130434783,0.4166666666666667,0.8390804597701149,0.5756676557863502,0.43601895734597157,0.8235294117647058,0.06666666666666667
39,ekman_basic_emotions,0.5222176960481085,0.13379408444636812,0.44841948620667305,0.6219081272084805,0.4,0.8390804597701149,0.5672514619883041,0.41346153846153844,0.8138222849083215,0.0
40,ekman_basic_emotions,0.5423325388219575,0.13834603448341456,0.4688500494468703,0.6385964912280702,0.4897959183673469,0.8399545970488081,0.5714285714285714,0.3564356435643564,0.8167832167832167,0.08333333333333333
41,ekman_basic_emotions,0.5530646367247672,0.1370125836656372,0.4821067436027729,0.6570397111913358,0.5,0.8460661345496009,0.5730994152046783,0.39805825242718446,0.8231148696264975,0.07407407407407407
42,ekman_basic_emotions,0.5510756410432938,0.13559168131587696,0.48065705841413275,0.6619718309859155,0.3673469387755102,0.8447488584474886,0.6076696165191741,0.39805825242718446,0.8177339901477833,0.16
43,ekman_basic_emotions,0.5673240844605169,0.14265857997443343,0.49532834243960777,0.6689655172413793,0.46808510638297873,0.8460661345496009,0.6069364161849711,0.4077669902912621,0.8196022727272727,0.15384615384615385
44,ekman_basic_emotions,0.5638914811479474,0.1441280778113138,0.4904511907145988,0.6666666666666666,0.39215686274509803,0.8405466970387244,0.6162790697674418,0.46153846153846156,0.8271954674220963,0.14285714285714285
45,ekman_basic_emotions,0.5725196499504258,0.1375290209602348,0.5043539313919747,0.6277372262773723,0.4444444444444444,0.8488241881298992,0.603988603988604,0.45595854922279794,0.8197879858657244,0.20689655172413793
46,ekman_basic_emotions,0.5635234968430721,0.14022512280063784,0.49233629089197156,0.6521739130434783,0.4166666666666667,0.8378995433789954,0.6122448979591837,0.46766169154228854,0.8246844319775596,0.13333333333333333
47,ekman_basic_emotions,0.5586524353054739,0.13821906039350876,0.48786571573971527,0.6353790613718412,0.3673469387755102,0.8398169336384439,0.621301775147929,0.46,0.826722338204593,0.16
