layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2703615550306088,0.14649648472384733,0.14512543661485064,0.24528301886792453,0.0,0.5542986425339367,0.30177514792899407,0.21739130434782608,0.5737827715355805,0.0
1,ekman_basic_emotions,0.27066662825352467,0.13172996252158356,0.1600155017849442,0.2185430463576159,0.02857142857142857,0.5336322869955157,0.2824207492795389,0.20168067226890757,0.5709946848899012,0.058823529411764705
2,ekman_basic_emotions,0.251652345584716,0.134906324359928,0.13495188383894852,0.18354430379746836,0.03571428571428571,0.5073947667804323,0.2774566473988439,0.19327731092436976,0.564179104477612,0.0
3,ekman_basic_emotions,0.27531005010000315,0.1389183091315358,0.15839582052999668,0.1672473867595819,0.09302325581395349,0.5181119648737651,0.2674772036474164,0.21238938053097345,0.6083150984682714,0.06060606060606061
4,ekman_basic_emotions,0.2971569352260168,0.137477850835337,0.18513041612360462,0.2268041237113402,0.1276595744680851,0.5434298440979956,0.29518072289156627,0.18181818181818182,0.6218727662616155,0.08333333333333333
5,ekman_basic_emotions,0.29300934691569347,0.1403091223097355,0.1776222460522303,0.24437299035369775,0.03508771929824561,0.5910112359550562,0.2796352583586626,0.28205128205128205,0.6189069423929099,0.0
6,ekman_basic_emotions,0.2994361260549462,0.134455458205155,0.1906091019968509,0.24422442244224424,0.03278688524590164,0.5801354401805869,0.3181818181818182,0.22727272727272727,0.6134515890613451,0.08
7,ekman_basic_emotions,0.284894204976944,0.1389578820915668,0.1694880190528574,0.2564102564102564,0.03571428571428571,0.5395763656633222,0.27692307692307694,0.2222222222222222,0.6078576723498889,0.05555555555555555
8,ekman_basic_emotions,0.24487657788324993,0.1328861009934383,0.12915313319059618,0.21818181818181817,0.0,0.49252013808975836,0.23497267759562843,0.20920502092050208,0.5592563903950426,0.0
9,ekman_basic_emotions,0.2673914486109049,0.12195454461585119,0.16563710124941586,0.2132564841498559,0.05333333333333334,0.5293440736478712,0.266304347826087,0.25882352941176473,0.5506783719074222,0.0
10,ekman_basic_emotions,0.30744195850519945,0.12804837778733089,0.20573799755385333,0.2694610778443114,0.06557377049180328,0.5408515535097813,0.3132530120481928,0.2857142857142857,0.6105733432613552,0.06666666666666667
11,ekman_basic_emotions,0.2620837266542971,0.12842832251836692,0.1533498708013567,0.23170731707317074,0.03225806451612903,0.5131128848346637,0.23140495867768596,0.20535714285714285,0.5493171471927162,0.07142857142857142
12,ekman_basic_emotions,0.2756315948592899,0.14371502115237883,0.154056858365591,0.25084745762711863,0.0,0.5509518477043673,0.27507163323782235,0.24880382775119617,0.6037463976945245,0.0
13,ekman_basic_emotions,0.2873646830604919,0.14858880889522894,0.1629951257572627,0.2482758620689655,0.05,0.5726872246696035,0.25766871165644173,0.21153846153846154,0.6088825214899714,0.0625
14,ekman_basic_emotions,0.3193980471715143,0.13037399918937495,0.2173624613407832,0.30201342281879195,0.045454545454545456,0.5934314835787089,0.32432432432432434,0.17391304347826086,0.6485013623978202,0.14814814814814814
15,ekman_basic_emotions,0.3678760255627392,0.13722573663889495,0.26733561572096637,0.4,0.05128205128205128,0.6681715575620768,0.391304347826087,0.358974358974359,0.7053998632946001,0.0
16,ekman_basic_emotions,0.3767222097839142,0.14048679605285497,0.2748479169909137,0.4028776978417266,0.17647058823529413,0.7074235807860262,0.3860759493670886,0.2513089005235602,0.7128987517337032,0.0
17,ekman_basic_emotions,0.3674074047297519,0.1331027183568217,0.2702796413536014,0.38620689655172413,0.06666666666666667,0.6968325791855203,0.422360248447205,0.2815533980582524,0.7182320441988951,0.0
18,ekman_basic_emotions,0.3700232762997314,0.14111640609470896,0.26651675713608286,0.44755244755244755,0.058823529411764705,0.6935123042505593,0.38153846153846155,0.2898550724637681,0.7188811188811188,0.0
19,ekman_basic_emotions,0.3783496086606153,0.13386934976981624,0.2822671831620619,0.43902439024390244,0.05405405405405406,0.6980920314253648,0.46296296296296297,0.2616822429906542,0.7326315789473684,0.0
20,ekman_basic_emotions,0.3944898191093743,0.137834195105726,0.29768708355943385,0.391304347826087,0.10810810810810811,0.7111111111111111,0.5046153846153846,0.3062200956937799,0.7400696864111498,0.0
21,ekman_basic_emotions,0.4230123315637688,0.1589673738269238,0.3139532873276514,0.39114391143911437,0.21052631578947367,0.7225368063420159,0.49693251533742333,0.29896907216494845,0.7457396046353102,0.09523809523809523
22,ekman_basic_emotions,0.4408939083806597,0.13815677841325685,0.35126705459263496,0.4492753623188406,0.18181818181818182,0.7704545454545455,0.5565749235474006,0.37037037037037035,0.7577639751552795,0.0
23,ekman_basic_emotions,0.4314159149395369,0.1362890402671807,0.3416963410579517,0.41025641025641024,0.2857142857142857,0.7505668934240363,0.509090909090909,0.3106796116504854,0.7536032944406315,0.0
