layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2851180507567841,0.14080283696401655,0.1679651889012622,0.13580246913580246,0.13636363636363635,0.36329588014981273,0.24615384615384617,0.46562123039806996,0.5807926829268293,0.06779661016949153
1,ekman_basic_emotions,0.28420972687221197,0.13435351994706565,0.17311478805526084,0.12195121951219512,0.09090909090909091,0.3867403314917127,0.2846153846153846,0.4945188794153471,0.6107331821617535,0.0
2,ekman_basic_emotions,0.31903479534378204,0.14123915549448804,0.2070374318843933,0.14012738853503184,0.3111111111111111,0.375,0.27692307692307694,0.4988179669030733,0.631264023934181,0.0
3,ekman_basic_emotions,0.31928787171823975,0.13764273888461154,0.2106379119469408,0.2097902097902098,0.2,0.3760330578512397,0.2530612244897959,0.5086306098964327,0.6409883720930233,0.046511627906976744
4,ekman_basic_emotions,0.3007973529571354,0.1456161976853159,0.18162932730162368,0.15714285714285714,0.15384615384615385,0.3797979797979798,0.2540983606557377,0.5046728971962616,0.6560232220609579,0.0
5,ekman_basic_emotions,0.29787707171482414,0.13704681221847576,0.18637193972225774,0.16455696202531644,0.10810810810810811,0.3836734693877551,0.24489795918367346,0.5152941176470588,0.6686088856518573,0.0
6,ekman_basic_emotions,0.29619241641041316,0.14008915780331585,0.18153423697778243,0.17391304347826086,0.058823529411764705,0.41338582677165353,0.21176470588235294,0.511002444987775,0.6627906976744186,0.041666666666666664
7,ekman_basic_emotions,0.3096059689066185,0.14294935782643298,0.1944536330519834,0.2550335570469799,0.05128205128205128,0.42714570858283435,0.23622047244094488,0.5284848484848484,0.6690751445086706,0.0
8,ekman_basic_emotions,0.32020667686795884,0.1407355000865128,0.2088660439242115,0.17687074829931973,0.09090909090909091,0.4024144869215292,0.2845528455284553,0.5379146919431279,0.6671522214129643,0.08163265306122448
9,ekman_basic_emotions,0.29694885533977244,0.14219797638251505,0.1804039565034468,0.16149068322981366,0.043478260869565216,0.41732283464566927,0.2627118644067797,0.5388235294117647,0.6548148148148148,0.0
10,ekman_basic_emotions,0.32011365494622224,0.1362635622843081,0.21285439010555018,0.2073170731707317,0.08695652173913043,0.4107883817427386,0.24793388429752067,0.5482717520858165,0.6705624543462382,0.06896551724137931
11,ekman_basic_emotions,0.31333435512565266,0.1373541281134494,0.20400054384697386,0.175,0.044444444444444446,0.41935483870967744,0.2594142259414226,0.528169014084507,0.6818515797207936,0.0851063829787234
12,ekman_basic_emotions,0.3234615933612974,0.13978218300841933,0.2135266286337287,0.15384615384615385,0.08695652173913043,0.4024640657084189,0.301255230125523,0.5568445475638051,0.6887905604719764,0.07407407407407407
13,ekman_basic_emotions,0.37575822732005254,0.13847563532352486,0.2754218008513705,0.19736842105263158,0.17777777777777778,0.4959677419354839,0.3132530120481928,0.5622775800711743,0.7134502923976608,0.1702127659574468
14,ekman_basic_emotions,0.37826237862449164,0.14182668990865435,0.2755104195569431,0.15492957746478872,0.2222222222222222,0.5548902195608783,0.3333333333333333,0.5690866510538641,0.7203513909224012,0.09302325581395349
15,ekman_basic_emotions,0.4116781758226873,0.1396064238944104,0.3162177862365718,0.23841059602649006,0.22641509433962265,0.5591836734693878,0.3870967741935484,0.5650644783118406,0.7195301027900147,0.18604651162790697
16,ekman_basic_emotions,0.3937591218144595,0.12647444714931902,0.3059838075633601,0.21052631578947367,0.1702127659574468,0.5428571428571428,0.3813559322033898,0.5836216839677048,0.7282051282051282,0.13953488372093023
17,ekman_basic_emotions,0.42670816404119893,0.144219845514147,0.3300944957023092,0.2894736842105263,0.25,0.5702479338842975,0.40707964601769914,0.6141367323290846,0.7383720930232558,0.11764705882352941
18,ekman_basic_emotions,0.42608255665205813,0.1481128364475042,0.3262987542216025,0.31788079470198677,0.21739130434782608,0.564,0.3835616438356164,0.6041666666666666,0.7323121808898614,0.16326530612244897
