layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.28440516474768784,0.1418025250970286,0.1661652985716161,0.10588235294117647,0.0425531914893617,0.3657142857142857,0.23904382470119523,0.60431654676259,0.601067887109077,0.03225806451612903
1,ekman_basic_emotions,0.289376848794603,0.139381954277396,0.17428741503005113,0.08641975308641975,0.13043478260869565,0.3423076923076923,0.20408163265306123,0.6007067137809188,0.5876132930513596,0.07407407407407407
2,ekman_basic_emotions,0.28081327830105374,0.14009071902649117,0.1636481456686334,0.11042944785276074,0.043478260869565216,0.36007827788649704,0.19834710743801653,0.618096357226792,0.599549211119459,0.03571428571428571
3,ekman_basic_emotions,0.2813270962570319,0.14128914931715664,0.16307927963006133,0.1232876712328767,0.0,0.38415841584158417,0.21862348178137653,0.6314553990610329,0.611764705882353,0.0
4,ekman_basic_emotions,0.2972434007394589,0.13739833410477534,0.18530577084939112,0.14285714285714285,0.0,0.36904761904761907,0.2627118644067797,0.642691415313225,0.6208425720620843,0.0425531914893617
5,ekman_basic_emotions,0.32000664378813753,0.14567831714333823,0.20405466716223816,0.1527777777777778,0.09302325581395349,0.4103585657370518,0.2672413793103448,0.6557759626604434,0.6608695652173913,0.0
6,ekman_basic_emotions,0.36393714112174597,0.13657905457352268,0.26332241272641616,0.18181818181818182,0.08888888888888889,0.46987951807228917,0.36909871244635195,0.6786140979689367,0.7092605886575736,0.05
7,ekman_basic_emotions,0.3603918542485533,0.14742265637078802,0.24979457813317885,0.18791946308724833,0.09523809523809523,0.4869215291750503,0.3644067796610169,0.6784869976359338,0.7097701149425287,0.0
8,ekman_basic_emotions,0.36153865524364065,0.13769299410727776,0.25958928734972037,0.15492957746478872,0.047619047619047616,0.49292929292929294,0.3788546255506608,0.6927639383155397,0.7148936170212766,0.04878048780487805
9,ekman_basic_emotions,0.33655211796217477,0.13285174384544,0.23490835929263212,0.14285714285714285,0.03636363636363636,0.4247422680412371,0.37344398340248963,0.6936829558998808,0.6847748391708363,0.0
10,ekman_basic_emotions,0.33402041883016637,0.14214926192754054,0.22366496686095894,0.12030075187969924,0.03773584905660377,0.4596774193548387,0.36123348017621143,0.669833729216152,0.6893617021276596,0.0
11,ekman_basic_emotions,0.3541146561655453,0.1409910965423215,0.24810401704261728,0.1702127659574468,0.04081632653061224,0.4517453798767967,0.3983050847457627,0.66270783847981,0.6978723404255319,0.05714285714285714
12,ekman_basic_emotions,0.3625680575977776,0.14185611169675486,0.25719689775734794,0.22900763358778625,0.0392156862745098,0.5019762845849802,0.37606837606837606,0.6841477949940405,0.7075606276747504,0.0
13,ekman_basic_emotions,0.41212577641248,0.143169980092427,0.3138963272424389,0.3053435114503817,0.043478260869565216,0.5585215605749486,0.4641350210970464,0.7158145065398336,0.7387640449438202,0.058823529411764705
14,ekman_basic_emotions,0.3877977199735104,0.1536312095572184,0.27667195796974836,0.22388059701492538,0.09090909090909091,0.5368852459016393,0.4051724137931034,0.7174677608440797,0.7402689313517339,0.0
15,ekman_basic_emotions,0.41359097014063334,0.13413920156247575,0.3227444516282963,0.25806451612903225,0.08888888888888889,0.5608247422680412,0.5021645021645021,0.7327188940092166,0.7524752475247525,0.0
16,ekman_basic_emotions,0.3963934505613585,0.14785207066106065,0.29166459407242334,0.2222222222222222,0.05,0.5557809330628803,0.43243243243243246,0.7191539365452408,0.7475455820476858,0.047619047619047616
17,ekman_basic_emotions,0.41206302696049757,0.13650247616806685,0.31912141400195193,0.22764227642276422,0.05263157894736842,0.6004056795131846,0.44635193133047213,0.7105882352941176,0.7515833919774807,0.09523809523809523
18,ekman_basic_emotions,0.4122715065998493,0.13707812894832014,0.3189087991432402,0.2753623188405797,0.10526315789473684,0.5936842105263158,0.41025641025641024,0.7089820359281437,0.7435719249478805,0.04878048780487805
19,ekman_basic_emotions,0.42242035636799347,0.14475788897667888,0.3246594897661011,0.22580645161290322,0.19047619047619047,0.5761316872427984,0.42735042735042733,0.6985981308411215,0.7304714989444053,0.10810810810810811
20,ekman_basic_emotions,0.4057373288128778,0.1332439129016975,0.3143830426659301,0.24390243902439024,0.16326530612244897,0.5784114052953157,0.423963133640553,0.6957547169811321,0.7348643006263048,0.0
21,ekman_basic_emotions,0.4216299333856205,0.1433733526026482,0.32482830370545457,0.22556390977443608,0.22727272727272727,0.5750528541226215,0.42424242424242425,0.7139423076923077,0.7377162629757785,0.047619047619047616
22,ekman_basic_emotions,0.43791759845830275,0.15130249435113066,0.33771173144669636,0.2714285714285714,0.21739130434782608,0.6029106029106029,0.4383561643835616,0.7285546415981199,0.7512263489838823,0.05555555555555555
23,ekman_basic_emotions,0.4267166502649125,0.14846479504290083,0.3267649459496277,0.31496062992125984,0.1702127659574468,0.5987780040733197,0.4380952380952381,0.727906976744186,0.737062937062937,0.0
24,ekman_basic_emotions,0.4199637414900759,0.1356090426017095,0.3289653789811022,0.2833333333333333,0.13043478260869565,0.5975103734439834,0.4473684210526316,0.7260115606936416,0.7550877192982456,0.0
25,ekman_basic_emotions,0.42459981068014435,0.14139263869378663,0.3298447983901629,0.288,0.18604651162790697,0.610655737704918,0.42105263157894735,0.7206572769953051,0.7457865168539326,0.0
26,ekman_basic_emotions,0.40767442104989204,0.14394642190480386,0.30807417420286826,0.21212121212121213,0.14634146341463414,0.5846774193548387,0.46017699115044247,0.7199074074074074,0.7304964539007093,0.0
27,ekman_basic_emotions,0.4058284073144973,0.138309107637881,0.3104585438326687,0.23703703703703705,0.10526315789473684,0.6024590163934426,0.4253393665158371,0.7300115874855156,0.7406886858749122,0.0
28,ekman_basic_emotions,0.4049088137893505,0.13820284950838535,0.30947649818617057,0.23728813559322035,0.0975609756097561,0.5913757700205339,0.4396551724137931,0.7147766323024055,0.7537050105857446,0.0
29,ekman_basic_emotions,0.39965422591665856,0.14169378636190436,0.30054593041024297,0.25396825396825395,0.1,0.5867768595041323,0.4188034188034188,0.698961937716263,0.7390691114245416,0.0
30,ekman_basic_emotions,0.40731570965743646,0.1545217118499569,0.2989952567092029,0.2748091603053435,0.10256410256410256,0.5790554414784395,0.4,0.7037037037037037,0.7304714989444053,0.06060606060606061
31,ekman_basic_emotions,0.4068479668143964,0.13720434519542357,0.31252315669119496,0.24242424242424243,0.044444444444444446,0.5811623246492986,0.4375,0.710128055878929,0.7270135424091233,0.10526315789473684
32,ekman_basic_emotions,0.40038048757870437,0.14097542448027087,0.30197630020245647,0.208,0.04878048780487805,0.5805168986083499,0.42857142857142855,0.6959537572254335,0.7297297297297297,0.1111111111111111
33,ekman_basic_emotions,0.37630723455516213,0.14392545011227453,0.2714504063616475,0.22764227642276422,0.0,0.5515873015873016,0.4230769230769231,0.7053364269141531,0.726507713884993,0.0
34,ekman_basic_emotions,0.38346079474621114,0.13078344558066726,0.2906955095147046,0.1984732824427481,0.04878048780487805,0.5537190082644629,0.416289592760181,0.6845168800931315,0.726890756302521,0.05555555555555555
35,ekman_basic_emotions,0.3553721580336378,0.13849238234231073,0.2517444666142255,0.15384615384615385,0.0,0.5269709543568465,0.39473684210526316,0.6962616822429907,0.7157894736842105,0.0
36,ekman_basic_emotions,0.37484896042387156,0.1381961577521159,0.27460170292868835,0.13740458015267176,0.08888888888888889,0.5243128964059197,0.4090909090909091,0.6987399770904925,0.708362614195362,0.05714285714285714
37,ekman_basic_emotions,0.3930998516214448,0.14612563007260168,0.2892395301311625,0.12698412698412698,0.0975609756097561,0.5432098765432098,0.4336283185840708,0.7119815668202765,0.730225988700565,0.10810810810810811
38,ekman_basic_emotions,0.37172939404541827,0.14906230905265658,0.2616726081845874,0.14814814814814814,0.05,0.5314401622718052,0.4050632911392405,0.6901408450704225,0.7201704545454546,0.05714285714285714
39,ekman_basic_emotions,0.38063068155289137,0.1423551037456887,0.2778254483269828,0.12121212121212122,0.05128205128205128,0.5265306122448979,0.4188034188034188,0.7116704805491991,0.7206303724928367,0.11428571428571428
