layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.24324962118242638,0.12799252523012336,0.13217443575551854,0.14414414414414414,0.0,0.2841726618705036,0.273542600896861,0.3023255813953488,0.573562359970127,0.125
1,ekman_basic_emotions,0.2409800612337743,0.13308525812545388,0.12445837854252824,0.15668202764976957,0.0,0.28623853211009176,0.21171171171171171,0.26666666666666666,0.5903790087463557,0.17518248175182483
2,ekman_basic_emotions,0.25686648105220705,0.13650023599215966,0.13939348923661604,0.10476190476190476,0.06779661016949153,0.331511839708561,0.25287356321839083,0.33649289099526064,0.6102889358703312,0.09433962264150944
3,ekman_basic_emotions,0.26036429068173866,0.13976230267433987,0.1401961206563382,0.15458937198067632,0.07017543859649122,0.30824372759856633,0.24708624708624707,0.3120567375886525,0.6242038216560509,0.10619469026548672
4,ekman_basic_emotions,0.2750279727287919,0.13982711978539306,0.15717869750749086,0.1553398058252427,0.04,0.3386243386243386,0.26004728132387706,0.3492822966507177,0.6390449438202247,0.14285714285714285
5,ekman_basic_emotions,0.25904728868368604,0.1400857965743683,0.13834111779455674,0.16585365853658537,0.0,0.30103806228373703,0.25728155339805825,0.31100478468899523,0.622813156053184,0.1553398058252427
6,ekman_basic_emotions,0.2691108462518123,0.14516862537542582,0.14499025720811848,0.1256544502617801,0.0,0.35135135135135137,0.26405867970660146,0.33415233415233414,0.632088520055325,0.17647058823529413
7,ekman_basic_emotions,0.2680011436848719,0.13196922867737762,0.15671324047674234,0.2,0.046511627906976744,0.3444639718804921,0.25112107623318386,0.30454545454545456,0.6170063246661982,0.11235955056179775
8,ekman_basic_emotions,0.2793451130435257,0.1367052959407022,0.16522725835351112,0.1595744680851064,0.046511627906976744,0.3515358361774744,0.2857142857142857,0.33490566037735847,0.625,0.15217391304347827
9,ekman_basic_emotions,0.2895856579210875,0.14008792684506488,0.1738523457724343,0.14358974358974358,0.05128205128205128,0.35547576301615796,0.3150684931506849,0.35294117647058826,0.6385296119809394,0.1702127659574468
10,ekman_basic_emotions,0.30850013659057873,0.14418464819278132,0.19199876240922023,0.14285714285714285,0.05,0.36764705882352944,0.3501199040767386,0.3443396226415094,0.6843537414965987,0.22018348623853212
11,ekman_basic_emotions,0.3043898897136395,0.14046703425433557,0.19071153986176334,0.14814814814814814,0.05555555555555555,0.36704119850187267,0.34615384615384615,0.36036036036036034,0.671651937457512,0.18181818181818182
12,ekman_basic_emotions,0.3177633097874436,0.1369118074292018,0.20954000288146307,0.1875,0.13953488372093023,0.3743119266055046,0.3443396226415094,0.35266821345707655,0.6721423682409309,0.15384615384615385
13,ekman_basic_emotions,0.33324769881856586,0.1350484230006407,0.22914493838546057,0.19689119170984457,0.17391304347826086,0.3669724770642202,0.33816425120772947,0.3469879518072289,0.6698049764626766,0.24
14,ekman_basic_emotions,0.31349318445720764,0.13903206138138058,0.20263370475297993,0.17647058823529413,0.13043478260869565,0.3371212121212121,0.35180722891566263,0.33573141486810554,0.6693386773547094,0.1935483870967742
15,ekman_basic_emotions,0.32566987777262507,0.1328780465705458,0.2223353133196438,0.17391304347826086,0.13043478260869565,0.3659889094269871,0.32857142857142857,0.3761904761904762,0.6730115567641061,0.23157894736842105
16,ekman_basic_emotions,0.32334781038066346,0.14866147264888094,0.20519021766265763,0.1836734693877551,0.12244897959183673,0.3747680890538033,0.3586206896551724,0.3444976076555024,0.6794258373205742,0.2
17,ekman_basic_emotions,0.3359788607795843,0.1313425701712054,0.2355776668469998,0.2111111111111111,0.12244897959183673,0.3716475095785441,0.3870967741935484,0.3783783783783784,0.681169272603671,0.2
18,ekman_basic_emotions,0.33200609255877855,0.14031368117813023,0.22297948354388983,0.18181818181818182,0.046511627906976744,0.3970037453183521,0.375,0.4176334106728538,0.683853459972863,0.2222222222222222
19,ekman_basic_emotions,0.33195762892244074,0.14285503250508458,0.22061915263881884,0.2,0.0975609756097561,0.40370370370370373,0.3926940639269406,0.372960372960373,0.6652949245541838,0.19148936170212766
20,ekman_basic_emotions,0.3366218006983261,0.1369390898697343,0.23136572226223612,0.2094240837696335,0.10526315789473684,0.3992467043314501,0.36018957345971564,0.40274599542334094,0.6774628879892037,0.20202020202020202
21,ekman_basic_emotions,0.34188085364854814,0.14237484340947573,0.2326261172564078,0.21761658031088082,0.09090909090909091,0.41379310344827586,0.39359267734553777,0.3925233644859813,0.6806495263870095,0.20408163265306123
22,ekman_basic_emotions,0.34634586388627764,0.13903352185438156,0.24079025989306005,0.208955223880597,0.13953488372093023,0.41198501872659177,0.38588235294117645,0.4176334106728538,0.6902173913043478,0.1702127659574468
23,ekman_basic_emotions,0.33187136732145683,0.14395123766732223,0.21952035669330838,0.15819209039548024,0.13953488372093023,0.4015444015444015,0.37327188940092165,0.4080717488789238,0.6935483870967742,0.14893617021276595
24,ekman_basic_emotions,0.35251780985836084,0.13799335750252048,0.24886635645208224,0.17391304347826086,0.2222222222222222,0.4317343173431734,0.3835616438356164,0.39622641509433965,0.6879240162822252,0.17204301075268819
25,ekman_basic_emotions,0.36225986992217196,0.12465280525174681,0.27144322400982857,0.1935483870967742,0.1951219512195122,0.44609665427509293,0.39908256880733944,0.40096618357487923,0.7010033444816054,0.2
26,ekman_basic_emotions,0.3526895500166033,0.1336535912498412,0.25282722540831676,0.1797752808988764,0.20833333333333334,0.43202979515828677,0.40358744394618834,0.4037122969837587,0.6875425459496256,0.15384615384615385
27,ekman_basic_emotions,0.36033415728067864,0.1456613629880781,0.25127365776576116,0.18181818181818182,0.18181818181818182,0.43795620437956206,0.4161073825503356,0.39906103286384975,0.6881868131868132,0.21739130434782608
28,ekman_basic_emotions,0.3628178305211742,0.15118206503677425,0.2493299879361867,0.19540229885057472,0.13636363636363635,0.4338235294117647,0.4017094017094017,0.407673860911271,0.6790378006872853,0.2857142857142857
29,ekman_basic_emotions,0.36795863688093,0.13785037535928688,0.2669006109206821,0.1694915254237288,0.2222222222222222,0.4548736462093863,0.37636761487964987,0.4230769230769231,0.6822558459422283,0.24742268041237114
30,ekman_basic_emotions,0.36769997071613675,0.1464036268433866,0.25925173868112,0.2033898305084746,0.18181818181818182,0.4524236983842011,0.4026548672566372,0.4105011933174224,0.7008898015058179,0.2222222222222222
31,ekman_basic_emotions,0.379792281599885,0.1423465137278532,0.276855130507435,0.23157894736842105,0.23255813953488372,0.4629294755877034,0.39101123595505616,0.4486873508353222,0.6917808219178082,0.2
