layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.24545391452264756,0.13542432635146198,0.1272642656100386,0.12380952380952381,0.034482758620689655,0.2892416225749559,0.23880597014925373,0.3887468030690537,0.5710186513629842,0.07207207207207207
1,ekman_basic_emotions,0.24974760644231117,0.1427513284194211,0.12481358276777771,0.10050251256281408,0.08,0.3161512027491409,0.2314410480349345,0.4082687338501292,0.5910364145658263,0.020833333333333332
2,ekman_basic_emotions,0.2445306717943083,0.13872094042711844,0.1228518564234711,0.09230769230769231,0.0,0.33568904593639576,0.23448275862068965,0.40594059405940597,0.6028905712319339,0.04040404040404041
3,ekman_basic_emotions,0.2816369472035933,0.1453451940335623,0.1594699429741265,0.13978494623655913,0.04,0.3710247349823322,0.30434782608695654,0.441025641025641,0.6336088154269972,0.041666666666666664
4,ekman_basic_emotions,0.269247162707303,0.14460792240744216,0.14571007093103946,0.09836065573770492,0.0,0.35650623885918004,0.3073394495412844,0.4256410256410256,0.6492637215528781,0.047619047619047616
5,ekman_basic_emotions,0.27149283629788984,0.13815121105993639,0.15471580043866204,0.11702127659574468,0.0,0.36082474226804123,0.2923433874709977,0.44050632911392407,0.640973630831643,0.04878048780487805
6,ekman_basic_emotions,0.28645011808853527,0.13838282316297643,0.17184812339641417,0.1368421052631579,0.0,0.386986301369863,0.3187066974595843,0.4723618090452261,0.6442769019876627,0.04597701149425287
7,ekman_basic_emotions,0.29612802321517256,0.13363565776028222,0.18755661738664872,0.1590909090909091,0.0,0.39672131147540984,0.3325740318906606,0.47901234567901235,0.6388308977035491,0.06666666666666667
8,ekman_basic_emotions,0.2873232339822985,0.13384731989119633,0.177192679322799,0.15819209039548024,0.0,0.36769759450171824,0.33853006681514475,0.4466501240694789,0.6320109439124487,0.06818181818181818
9,ekman_basic_emotions,0.2754843826959828,0.13986587845147866,0.15767134548777892,0.13259668508287292,0.0,0.3697478991596639,0.3209302325581395,0.44836272040302266,0.6323628977657414,0.024390243902439025
10,ekman_basic_emotions,0.2873021057696565,0.14125074685639982,0.1700745105496283,0.14054054054054055,0.0,0.40545144804088584,0.3409090909090909,0.4723618090452261,0.6296296296296297,0.022222222222222223
11,ekman_basic_emotions,0.3039448783774899,0.15513112875718435,0.17613827977991206,0.1693121693121693,0.0,0.4075993091537133,0.3485838779956427,0.46938775510204084,0.6418219461697723,0.09090909090909091
