layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.17647724090500633,0.1145710734344257,0.06991658575093537,0.1270718232044199,0.06666666666666667,0.28364688856729375,0.16666666666666666,0.11618257261410789,0.4116140051238258,0.06349206349206349
1,ekman_basic_emotions,0.16204288082956245,0.14739421942997477,0.017181048655093616,0.1282798833819242,0.08,0.2180232558139535,0.1670428893905192,0.08450704225352113,0.4270353302611367,0.029411764705882353
2,ekman_basic_emotions,0.25592524873790606,0.13717124008610734,0.13763334530440313,0.20462046204620463,0.18421052631578946,0.3251088534107402,0.2544529262086514,0.1346153846153846,0.5708215297450425,0.11764705882352941
3,ekman_basic_emotions,0.2671302610151413,0.142276589901824,0.1455640240704476,0.22508038585209003,0.1686746987951807,0.3570391872278665,0.2857142857142857,0.0975609756097561,0.5691756272401434,0.16666666666666666
4,ekman_basic_emotions,0.2935430355315211,0.1352498310015413,0.183050793402345,0.2129032258064516,0.21686746987951808,0.3735294117647059,0.3171355498721228,0.12903225806451613,0.6133333333333333,0.192
5,ekman_basic_emotions,0.29780583401563837,0.1375273677273782,0.18583600254761154,0.24342105263157895,0.20930232558139536,0.39344262295081966,0.32663316582914576,0.11282051282051282,0.6257928118393234,0.1732283464566929
6,ekman_basic_emotions,0.30547024433771924,0.1506054945096551,0.18232370097409878,0.2984126984126984,0.23529411764705882,0.40601503759398494,0.3283582089552239,0.10638297872340426,0.6242937853107344,0.13953488372093023
7,ekman_basic_emotions,0.30930227799271937,0.143230588399941,0.19383475570472494,0.3548387096774194,0.1978021978021978,0.3981762917933131,0.30303030303030304,0.13756613756613756,0.6457023060796646,0.128
8,ekman_basic_emotions,0.3157661361105388,0.13948474986357426,0.20485562134897312,0.34782608695652173,0.21951219512195122,0.4088888888888889,0.314214463840399,0.16216216216216217,0.6466480446927374,0.1111111111111111
9,ekman_basic_emotions,0.33114763813340475,0.1432264714599786,0.21933586929751647,0.37748344370860926,0.23529411764705882,0.43007518796992483,0.3359173126614987,0.16753926701570682,0.6717241379310345,0.1
10,ekman_basic_emotions,0.3642317973853815,0.1453423585114988,0.25611359244697945,0.3713355048859935,0.275,0.4716417910447761,0.35768261964735515,0.2391304347826087,0.6773519163763067,0.15748031496062992
