layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.15740658453563977,0.11083176290224588,0.05238021297905799,0.15432098765432098,0.06926406926406926,0.26912181303116145,0.12010443864229765,0.09523809523809523,0.3207373271889401,0.0730593607305936
1,ekman_basic_emotions,0.17482762483621503,0.12742371308996067,0.05432638092208618,0.1609907120743034,0.07079646017699115,0.2966101694915254,0.1407766990291262,0.102803738317757,0.41752988047808764,0.03428571428571429
2,ekman_basic_emotions,0.31714673285492545,0.14138443577532048,0.20470429887713065,0.3870967741935484,0.18,0.4200913242009132,0.2885085574572127,0.22018348623853212,0.5951147298297558,0.12903225806451613
3,ekman_basic_emotions,0.3122872261648012,0.13633362073470937,0.2037286730783398,0.30405405405405406,0.15384615384615385,0.4371069182389937,0.30656934306569344,0.2079207920792079,0.61212976022567,0.1643835616438356
4,ekman_basic_emotions,0.3111897200413901,0.1439715018150016,0.19534188240337133,0.3044982698961938,0.17391304347826086,0.484472049689441,0.28498727735368956,0.22429906542056074,0.6068675543097407,0.09929078014184398
5,ekman_basic_emotions,0.33657239915096443,0.1465929889225734,0.22261290071725798,0.37748344370860926,0.1875,0.5209302325581395,0.2826086956521739,0.24489795918367346,0.6299104066161269,0.11267605633802817
6,ekman_basic_emotions,0.3558936273794387,0.14347183390006188,0.24800327868563266,0.4126984126984127,0.2222222222222222,0.5007974481658692,0.30933333333333335,0.2727272727272727,0.6444444444444445,0.12903225806451613
7,ekman_basic_emotions,0.3733535455070486,0.1389191822034924,0.27225593516700336,0.42105263157894735,0.20930232558139536,0.5316846986089645,0.32065217391304346,0.2898550724637681,0.6565307532826538,0.18439716312056736
8,ekman_basic_emotions,0.36527843229304924,0.1331087842769311,0.2678186649087992,0.39867109634551495,0.22988505747126436,0.5203761755485894,0.2966751918158568,0.29292929292929293,0.6481994459833795,0.1702127659574468
9,ekman_basic_emotions,0.39645620430877443,0.141592864662353,0.29690263414011947,0.43853820598006643,0.24444444444444444,0.5446009389671361,0.336734693877551,0.336734693877551,0.6643502432244615,0.2097902097902098
10,ekman_basic_emotions,0.40313079131963125,0.1420197301155964,0.3043322444223741,0.445859872611465,0.3132530120481928,0.5421133231240429,0.36507936507936506,0.3229166666666667,0.6820083682008368,0.1506849315068493
11,ekman_basic_emotions,0.40388842808620634,0.13974222882164114,0.3070547086168655,0.49498327759197325,0.2391304347826087,0.5714285714285714,0.3891891891891892,0.30927835051546393,0.7007601935038009,0.12244897959183673
12,ekman_basic_emotions,0.404023878552857,0.1488235555032186,0.29982070662271876,0.4791666666666667,0.21739130434782608,0.5878787878787879,0.3956639566395664,0.297029702970297,0.7028885832187071,0.14814814814814814
13,ekman_basic_emotions,0.4217494196194452,0.13966316048450253,0.3278788564881179,0.46,0.23404255319148937,0.6265432098765432,0.41131105398457585,0.3417085427135678,0.7168758716875872,0.16176470588235295
14,ekman_basic_emotions,0.4110171376386894,0.13858507387604738,0.31626113676539735,0.46153846153846156,0.24242424242424243,0.5953488372093023,0.38605898123324395,0.3645833333333333,0.690179806362379,0.136986301369863
15,ekman_basic_emotions,0.42097509903258007,0.1389491897696993,0.3275368955142714,0.45182724252491696,0.2727272727272727,0.6028257456828885,0.3780821917808219,0.3422459893048128,0.7079407806191117,0.19117647058823528
16,ekman_basic_emotions,0.40895342967952103,0.1367139268416409,0.3153525943513526,0.4028268551236749,0.22727272727272727,0.625,0.3812154696132597,0.3492063492063492,0.7141896435776731,0.16296296296296298
17,ekman_basic_emotions,0.4054431501810468,0.13551890552635276,0.3122384588630497,0.45674740484429066,0.27586206896551724,0.615146831530139,0.3709677419354839,0.3050847457627119,0.7090301003344481,0.10526315789473684
18,ekman_basic_emotions,0.4143364007799623,0.1429039284228417,0.31668850360923106,0.46153846153846156,0.23809523809523808,0.6200317965023847,0.3856041131105398,0.3404255319148936,0.7161981258366801,0.13846153846153847
19,ekman_basic_emotions,0.3936020828484733,0.1345199860223184,0.2993507563917426,0.4028268551236749,0.2465753424657534,0.595879556259905,0.37092731829573933,0.35353535353535354,0.6894701542588867,0.096
20,ekman_basic_emotions,0.42506053017632006,0.14776350046197445,0.32537567901006453,0.49146757679180886,0.2631578947368421,0.5993589743589743,0.4040920716112532,0.42328042328042326,0.7127659574468085,0.08130081300813008
21,ekman_basic_emotions,0.418003919220487,0.12983396946892387,0.33116662756380927,0.49477351916376305,0.2631578947368421,0.6185897435897436,0.3917525773195876,0.37037037037037035,0.7054161162483488,0.08196721311475409
22,ekman_basic_emotions,0.4244660945621021,0.13683156489638892,0.333231056614329,0.4808362369337979,0.2702702702702703,0.6112,0.4151898734177215,0.3829787234042553,0.7107875579086698,0.1
23,ekman_basic_emotions,0.42791309472247335,0.14400546417832014,0.33166990986878997,0.46808510638297873,0.30985915492957744,0.6035313001605136,0.42783505154639173,0.4021164021164021,0.7131681877444589,0.07079646017699115
24,ekman_basic_emotions,0.4226122342603711,0.1478455522647436,0.3224376551995546,0.46099290780141844,0.273972602739726,0.6016260162601627,0.4089775561097257,0.39361702127659576,0.7165354330708661,0.10256410256410256
25,ekman_basic_emotions,0.438856438156462,0.13756162577662737,0.34935227998307844,0.4689655172413793,0.2926829268292683,0.624405705229794,0.45144356955380577,0.3979591836734694,0.7243886318572372,0.11214953271028037
