layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2804248913378013,0.12338609356475044,0.17914248977825267,0.22073578595317725,0.13559322033898305,0.4157160963244613,0.24623115577889448,0.24571428571428572,0.5429553264604811,0.15602836879432624
1,ekman_basic_emotions,0.3142975242897072,0.13434202123954597,0.20788291388227215,0.2535211267605634,0.2028985507246377,0.423841059602649,0.3076923076923077,0.26548672566371684,0.5636363636363636,0.1830065359477124
2,ekman_basic_emotions,0.3174178251366356,0.13678578049905266,0.20925517740198055,0.23272727272727273,0.22950819672131148,0.43342036553524804,0.28940568475452194,0.2932551319648094,0.562962962962963,0.18064516129032257
3,ekman_basic_emotions,0.30621519072134046,0.13958825351115187,0.19365953322947604,0.20512820512820512,0.09836065573770492,0.48854961832061067,0.31738035264483627,0.29673590504451036,0.5866666666666667,0.1506849315068493
4,ekman_basic_emotions,0.305437510894575,0.13864479805073437,0.19363987408026917,0.25806451612903225,0.07272727272727272,0.4901185770750988,0.32142857142857145,0.25705329153605017,0.5958132045088567,0.14285714285714285
5,ekman_basic_emotions,0.32121989764072806,0.13602394252199845,0.21435311026943016,0.26714801444043323,0.1016949152542373,0.465359477124183,0.35324675324675325,0.3284457478005865,0.5916187345932621,0.14102564102564102
6,ekman_basic_emotions,0.35129110090422216,0.15303160599822188,0.23408133799333256,0.2824427480916031,0.1,0.5252263906856404,0.33678756476683935,0.36103151862464183,0.6283839212469237,0.2251655629139073
7,ekman_basic_emotions,0.382042921785065,0.1389530509000445,0.2823189503651573,0.33935018050541516,0.2222222222222222,0.5249679897567221,0.3719676549865229,0.3651685393258427,0.6299342105263158,0.2206896551724138
8,ekman_basic_emotions,0.389402263285,0.13963330915245553,0.2903052347209047,0.3225806451612903,0.23529411764705882,0.5595854922279793,0.3850267379679144,0.3657142857142857,0.6384364820846905,0.2191780821917808
9,ekman_basic_emotions,0.3997000792173889,0.13249387613964209,0.3080165035477708,0.35766423357664234,0.16129032258064516,0.5816326530612245,0.39572192513368987,0.3902439024390244,0.6677577741407529,0.24358974358974358
10,ekman_basic_emotions,0.40176175448798424,0.14117472083989482,0.30342264017069054,0.4157706093189964,0.21052631578947367,0.5790139064475348,0.4322916666666667,0.37037037037037035,0.6557107641741988,0.14864864864864866
11,ekman_basic_emotions,0.41514364266709985,0.14223601006284384,0.3181616806089639,0.41843971631205673,0.21052631578947367,0.58656330749354,0.41081081081081083,0.39375,0.6693548387096774,0.21656050955414013
12,ekman_basic_emotions,0.41508989679274105,0.15253893554877943,0.3098088776668204,0.41198501872659177,0.1509433962264151,0.6280566280566281,0.4297082228116711,0.425531914893617,0.6927374301675978,0.16666666666666666
13,ekman_basic_emotions,0.44245849204454224,0.13513675443128326,0.3553414244250493,0.41379310344827586,0.3,0.647887323943662,0.4573002754820937,0.38769230769230767,0.7026169706582077,0.18791946308724833
14,ekman_basic_emotions,0.45607527216021715,0.13846080120855675,0.36865933830661,0.42424242424242425,0.3870967741935484,0.6531130876747141,0.4668587896253602,0.42073170731707316,0.7128245476003147,0.1276595744680851
15,ekman_basic_emotions,0.4647373759228642,0.1464186262511281,0.37292138683123044,0.44029850746268656,0.3389830508474576,0.6491458607095927,0.48333333333333334,0.4578313253012048,0.710236220472441,0.17333333333333334
16,ekman_basic_emotions,0.482151727835504,0.1399473956144175,0.39788767626086735,0.4925373134328358,0.3448275862068966,0.6700379266750948,0.5277044854881267,0.45180722891566266,0.7281475541299118,0.16
17,ekman_basic_emotions,0.4990517968811422,0.13689336305403252,0.4195987127483781,0.49454545454545457,0.4,0.670076726342711,0.49868766404199477,0.48297213622291024,0.7232,0.22388059701492538
18,ekman_basic_emotions,0.4990920212602506,0.13589012589695862,0.420319112474326,0.5210727969348659,0.32786885245901637,0.6589147286821705,0.5286103542234333,0.4785276073619632,0.734375,0.24427480916030533
19,ekman_basic_emotions,0.4867122805707441,0.14551689117435526,0.3993003324141881,0.5287356321839081,0.2909090909090909,0.6759493670886076,0.4864864864864865,0.4539877300613497,0.7419100236779794,0.22900763358778625
20,ekman_basic_emotions,0.4871451684533673,0.1411970257176364,0.4028259718415781,0.4943820224719101,0.3050847457627119,0.6633039092055486,0.5231607629427792,0.4727272727272727,0.7307692307692307,0.22058823529411764
21,ekman_basic_emotions,0.49223811159081293,0.13414286198956907,0.4135731333509315,0.4866920152091255,0.36363636363636365,0.6683804627249358,0.5013192612137203,0.48615384615384616,0.7205067300079177,0.21897810218978103
22,ekman_basic_emotions,0.4821882796656167,0.14806812464886684,0.39219116537814547,0.45692883895131087,0.3448275862068966,0.649616368286445,0.5013927576601671,0.4658385093167702,0.7231372549019608,0.23357664233576642
23,ekman_basic_emotions,0.4958876769336523,0.14658215588352763,0.4093018718301516,0.46616541353383456,0.3728813559322034,0.6556122448979592,0.5139664804469274,0.47953216374269003,0.7143993635640413,0.26865671641791045
24,ekman_basic_emotions,0.4861513435094733,0.1433573384516291,0.40015985713138347,0.45714285714285713,0.3448275862068966,0.6615776081424937,0.5028248587570622,0.4970414201183432,0.7191726332537789,0.2204724409448819
25,ekman_basic_emotions,0.4891414431287836,0.14255960053005232,0.4042051701937314,0.47619047619047616,0.34615384615384615,0.6675224646983312,0.4793388429752066,0.5058823529411764,0.721259842519685,0.22764227642276422
26,ekman_basic_emotions,0.49560786049934746,0.13907375408535735,0.41412851345379825,0.4468864468864469,0.38596491228070173,0.6725888324873096,0.47956403269754766,0.5076452599388379,0.7385103011093502,0.23809523809523808
27,ekman_basic_emotions,0.5010790924783934,0.1433685230868291,0.4175781290229454,0.4575645756457565,0.4,0.6649484536082474,0.5027624309392266,0.5171339563862928,0.734375,0.23076923076923078
28,ekman_basic_emotions,0.47811933162165393,0.14323685108800588,0.3908693796633483,0.4468864468864469,0.3050847457627119,0.6501950585175552,0.5013623978201635,0.49523809523809526,0.7161845191555903,0.2318840579710145
29,ekman_basic_emotions,0.477861371642863,0.13691081070340447,0.39503514256426736,0.4411764705882353,0.32142857142857145,0.6597671410090556,0.4891304347826087,0.48580441640378547,0.7096273291925466,0.23809523809523808
30,ekman_basic_emotions,0.4754069726372755,0.147024547838139,0.3849846135276851,0.4555984555984556,0.3,0.6562091503267974,0.4986449864498645,0.49404761904761907,0.7045985970381917,0.21875
31,ekman_basic_emotions,0.4654004035006916,0.14364580989207254,0.3757260691023978,0.4090909090909091,0.3157894736842105,0.648936170212766,0.49214659685863876,0.47305389221556887,0.7203125,0.1984732824427481
