layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.29324114751241853,0.14200192185528523,0.17626988860413792,0.17843866171003717,0.11267605633802817,0.37922077922077924,0.24128686327077747,0.5081967213114754,0.5062866722548198,0.12658227848101267
1,ekman_basic_emotions,0.32286916297954044,0.13350831014700282,0.21853741363020254,0.20938628158844766,0.06349206349206349,0.4370179948586118,0.3131868131868132,0.5403899721448467,0.5355371900826447,0.1610738255033557
2,ekman_basic_emotions,0.3196841120183512,0.13794153415697882,0.21082395807532994,0.2188679245283019,0.06557377049180328,0.4312169312169312,0.287292817679558,0.5210084033613446,0.5555555555555556,0.15827338129496402
3,ekman_basic_emotions,0.3524387991393153,0.1455844290106478,0.24210042179959915,0.22727272727272727,0.14285714285714285,0.5303030303030303,0.3076923076923077,0.56047197640118,0.6047244094488189,0.09375
4,ekman_basic_emotions,0.37632552018281895,0.13306875591356623,0.2805952212803162,0.25806451612903225,0.14285714285714285,0.5638998682476943,0.3687150837988827,0.5485714285714286,0.6290936785986291,0.12307692307692308
5,ekman_basic_emotions,0.3907314568540708,0.14166044605205008,0.29017771539994125,0.2723735408560311,0.19230769230769232,0.5676741130091985,0.2981029810298103,0.5845272206303725,0.633693972179289,0.1864406779661017
6,ekman_basic_emotions,0.4211210194045795,0.13852621180873645,0.3280364550489396,0.358974358974359,0.20833333333333334,0.5621761658031088,0.3806818181818182,0.6028985507246377,0.6378132118451025,0.19696969696969696
7,ekman_basic_emotions,0.388930747702056,0.1364545704193303,0.29237162126528304,0.2857142857142857,0.16666666666666666,0.5591939546599496,0.3611111111111111,0.5882352941176471,0.6272655634357762,0.13432835820895522
8,ekman_basic_emotions,0.4325906283333576,0.14267935101514514,0.3381596811665432,0.3779527559055118,0.15384615384615385,0.6229086229086229,0.44931506849315067,0.6153846153846154,0.6635658914728683,0.14516129032258066
9,ekman_basic_emotions,0.43847920524677464,0.143191200547822,0.3446369888915151,0.350597609561753,0.1702127659574468,0.6187419768934531,0.44886363636363635,0.6109510086455331,0.6748654880860876,0.1951219512195122
10,ekman_basic_emotions,0.4305353948795342,0.14484378561442904,0.3340811941247183,0.37398373983739835,0.13636363636363635,0.621656050955414,0.40229885057471265,0.5786516853932584,0.6712856043110085,0.22950819672131148
11,ekman_basic_emotions,0.4406581464965996,0.1434128751343566,0.34701113609297624,0.4274193548387097,0.22727272727272727,0.6230769230769231,0.41798941798941797,0.5641025641025641,0.6682242990654206,0.1565217391304348
12,ekman_basic_emotions,0.43190975520005787,0.1439269540545317,0.33639979965432837,0.40963855421686746,0.13953488372093023,0.6178010471204188,0.3674540682414698,0.5889212827988338,0.6851424172440339,0.21487603305785125
13,ekman_basic_emotions,0.4832931744707149,0.13842641941501296,0.40027545276115134,0.47470817120622566,0.3,0.6402048655569782,0.45604395604395603,0.6144927536231884,0.6976024748646559,0.2
14,ekman_basic_emotions,0.458588176247734,0.1462338058852244,0.3658546947813659,0.49382716049382713,0.14285714285714285,0.6429479034307497,0.42777777777777776,0.5797101449275363,0.7042471042471042,0.21875
15,ekman_basic_emotions,0.43805079593912294,0.13859706414825715,0.34763490966602084,0.39245283018867927,0.13043478260869565,0.6283524904214559,0.4328767123287671,0.592375366568915,0.6761229314420804,0.21374045801526717
16,ekman_basic_emotions,0.4355426874640302,0.13725248748647986,0.34574449146600794,0.41975308641975306,0.20408163265306123,0.6215864759427828,0.4094488188976378,0.5754189944134078,0.6745098039215687,0.144
17,ekman_basic_emotions,0.4485361532759512,0.1458404390215106,0.35437841836914535,0.4163265306122449,0.18867924528301888,0.6127770534550195,0.41237113402061853,0.6011560693641619,0.6714060031595577,0.23703703703703705
18,ekman_basic_emotions,0.439092886204389,0.14138023843063194,0.34673398062677224,0.4,0.18518518518518517,0.6111111111111112,0.43037974683544306,0.6193181818181818,0.6634768740031898,0.16417910447761194
19,ekman_basic_emotions,0.43635651606218184,0.13993550037153984,0.34464975105784873,0.3836734693877551,0.14545454545454545,0.6123521681997371,0.4199475065616798,0.6084507042253521,0.6876475216365067,0.19696969696969696
20,ekman_basic_emotions,0.41665185660386755,0.13899568246037083,0.3224794214004823,0.34782608695652173,0.18518518518518517,0.5691699604743083,0.41798941798941797,0.5770308123249299,0.6488188976377953,0.17054263565891473
21,ekman_basic_emotions,0.4190618533605239,0.14285862184266143,0.3222376594531433,0.3828125,0.16326530612244897,0.5687583444592791,0.43157894736842106,0.580110497237569,0.6530612244897959,0.15384615384615385
22,ekman_basic_emotions,0.41725148683150826,0.13722781342797735,0.32456270352910255,0.3798449612403101,0.16326530612244897,0.5672823218997362,0.4308510638297872,0.5869565217391305,0.6258935663224782,0.16666666666666666
23,ekman_basic_emotions,0.40870763385502257,0.15218952412301714,0.30256539289239226,0.3607843137254902,0.1694915254237288,0.5548387096774193,0.4094488188976378,0.5730027548209367,0.6267206477732794,0.16666666666666666
24,ekman_basic_emotions,0.41108448345125853,0.14091532537341003,0.3144849001005405,0.36981132075471695,0.16129032258064516,0.555984555984556,0.42297650130548303,0.5819209039548022,0.6256077795786061,0.16
25,ekman_basic_emotions,0.40368129569977224,0.1445441461117213,0.3029228783813943,0.3622641509433962,0.09230769230769231,0.5721649484536082,0.42857142857142855,0.5628415300546448,0.632436837815811,0.17518248175182483
26,ekman_basic_emotions,0.4116865160526958,0.1380251553117052,0.317481841178267,0.32950191570881227,0.16666666666666666,0.5538057742782152,0.4148936170212766,0.5971830985915493,0.6366559485530546,0.18309859154929578
27,ekman_basic_emotions,0.41521555965957957,0.14480155690857896,0.31620029822960427,0.32941176470588235,0.1724137931034483,0.5545335085413929,0.39790575916230364,0.6114285714285714,0.6364359586316627,0.20437956204379562
28,ekman_basic_emotions,0.41104596063919185,0.1436456237670896,0.3122543006650964,0.3985239852398524,0.10909090909090909,0.5578947368421052,0.4092071611253197,0.5955056179775281,0.6338709677419355,0.1732283464566929
29,ekman_basic_emotions,0.40398287167024066,0.14140471700258317,0.30582296440178264,0.37777777777777777,0.10344827586206896,0.5391527599486521,0.43902439024390244,0.56353591160221,0.6289409862570736,0.176
