layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2314233924622225,0.14195529906359072,0.10426973478303941,0.1095890410958904,0.0,0.20134228187919462,0.20100502512562815,0.5807308970099668,0.43707093821510296,0.09022556390977443
1,ekman_basic_emotions,0.21399433581098262,0.1421623195655961,0.08373614016233376,0.10606060606060606,0.0,0.22695035460992907,0.12307692307692308,0.5650752125572269,0.42761692650334077,0.04918032786885246
2,ekman_basic_emotions,0.22533036501796705,0.13563820583542965,0.10376691772827298,0.13793103448275862,0.0,0.17985611510791366,0.1694915254237288,0.5812619502868069,0.43859649122807015,0.07017543859649122
3,ekman_basic_emotions,0.23750024719182683,0.1360090946490429,0.11746784823106182,0.12389380530973451,0.0,0.2097902097902098,0.2111111111111111,0.5945945945945946,0.4497175141242938,0.07339449541284404
4,ekman_basic_emotions,0.25747028117387655,0.14129540184981634,0.13529085505577057,0.15126050420168066,0.06060606060606061,0.19607843137254902,0.25773195876288657,0.6191369606003753,0.46033519553072627,0.05714285714285714
5,ekman_basic_emotions,0.27179931134771373,0.14025970529806056,0.15299923344322974,0.14285714285714285,0.10526315789473684,0.25296442687747034,0.21739130434782608,0.6174829510229386,0.5072302558398221,0.0594059405940594
6,ekman_basic_emotions,0.29479371589331194,0.14280646201471195,0.17730797905432708,0.15789473684210525,0.10810810810810811,0.2773722627737226,0.26229508196721313,0.6332288401253918,0.5175141242937853,0.10714285714285714
7,ekman_basic_emotions,0.2786489108721152,0.1441381799494137,0.15716407458712336,0.10084033613445378,0.058823529411764705,0.2825278810408922,0.25609756097560976,0.6463642013673089,0.5470653377630121,0.058823529411764705
8,ekman_basic_emotions,0.3224252912239754,0.14435997864396025,0.20810774173210456,0.10714285714285714,0.21052631578947367,0.30943396226415093,0.2732919254658385,0.6531862745098039,0.5495495495495496,0.15384615384615385
9,ekman_basic_emotions,0.28153846569058094,0.142589321998197,0.16205669844957513,0.11290322580645161,0.12121212121212122,0.25396825396825395,0.2545454545454545,0.6395631067961165,0.5260770975056689,0.0625
10,ekman_basic_emotions,0.2468643489155926,0.1537701596504499,0.11001052530443564,0.0761904761904762,0.0,0.2509505703422053,0.21333333333333335,0.6348039215686274,0.5097613882863341,0.043010752688172046
11,ekman_basic_emotions,0.2705589321683792,0.13972917552958444,0.15207973223936053,0.13592233009708737,0.0,0.26294820717131473,0.25,0.6285018270401949,0.5340659340659341,0.08247422680412371
12,ekman_basic_emotions,0.3055855332778911,0.13534136008897654,0.19689177362112906,0.17886178861788618,0.11764705882352941,0.29850746268656714,0.21951219512195122,0.656155245603396,0.5420991926182238,0.12631578947368421
13,ekman_basic_emotions,0.3422897450648307,0.1474814833807588,0.22850912664818837,0.16,0.12903225806451613,0.37209302325581395,0.31788079470198677,0.6767554479418886,0.5959367945823928,0.14432989690721648
14,ekman_basic_emotions,0.33744404468996386,0.1438380414180744,0.22613245231376794,0.15126050420168066,0.05714285714285714,0.37453183520599254,0.2857142857142857,0.683252427184466,0.6006825938566553,0.20952380952380953
15,ekman_basic_emotions,0.33326099656790253,0.1434994242338545,0.22155451812079058,0.1694915254237288,0.06451612903225806,0.3722627737226277,0.32432432432432434,0.6852731591448931,0.6058479532163743,0.1111111111111111
16,ekman_basic_emotions,0.33766909089051433,0.1361021411326785,0.23332266388773715,0.18803418803418803,0.06896551724137931,0.3178294573643411,0.28378378378378377,0.6928104575163399,0.602957906712173,0.20930232558139536
17,ekman_basic_emotions,0.35764597009918436,0.14707153045676666,0.24688405553537932,0.19469026548672566,0.16216216216216217,0.384,0.2857142857142857,0.6934131736526946,0.6279863481228669,0.15555555555555556
18,ekman_basic_emotions,0.3375631553747228,0.14076066223406994,0.2290426944980781,0.1864406779661017,0.06666666666666667,0.3870967741935484,0.25806451612903225,0.6941950927588271,0.6104783599088838,0.16
19,ekman_basic_emotions,0.3440562031774778,0.13635083144221646,0.24049739095113198,0.1565217391304348,0.18181818181818182,0.33725490196078434,0.3018867924528302,0.6843054720384847,0.5927601809954751,0.15384615384615385
20,ekman_basic_emotions,0.3587104556821878,0.13724819757298531,0.2566928953219281,0.2184873949579832,0.21621621621621623,0.3595505617977528,0.35,0.6866387058118634,0.5813148788927336,0.09876543209876543
21,ekman_basic_emotions,0.3735512764778367,0.13933244937908587,0.27213623533242026,0.20869565217391303,0.1875,0.41379310344827586,0.34146341463414637,0.7049576783555018,0.6121076233183856,0.14634146341463414
22,ekman_basic_emotions,0.37674514322570923,0.13682489642913853,0.2779508419601617,0.20689655172413793,0.2222222222222222,0.4048582995951417,0.31137724550898205,0.7055990367248646,0.6289592760180995,0.15730337078651685
23,ekman_basic_emotions,0.3846232080105743,0.13899086034511823,0.28528425117985723,0.23529411764705882,0.30303030303030304,0.3938223938223938,0.325,0.6880678376741369,0.5966101694915255,0.15053763440860216
24,ekman_basic_emotions,0.3715883520518695,0.1507485718196159,0.2600405167471163,0.19696969696969696,0.17647058823529413,0.4112903225806452,0.3291139240506329,0.6896551724137931,0.6061293984108967,0.19148936170212766
25,ekman_basic_emotions,0.3744527839068632,0.14089700706167727,0.27186004328348734,0.21666666666666667,0.2,0.3902439024390244,0.36585365853658536,0.6953919808497906,0.6181818181818182,0.1348314606741573
26,ekman_basic_emotions,0.35665086548154473,0.1447093162667468,0.24780060539148577,0.15789473684210525,0.17647058823529413,0.3562753036437247,0.32926829268292684,0.6878048780487804,0.6238938053097345,0.16494845360824742
27,ekman_basic_emotions,0.3929271750815014,0.15006752169682488,0.2857399376824935,0.23423423423423423,0.2777777777777778,0.4235294117647059,0.3176470588235294,0.6980676328502415,0.6155606407322655,0.1836734693877551
28,ekman_basic_emotions,0.3653341380748175,0.1484367012935376,0.2547050079668187,0.23140495867768596,0.14814814814814814,0.3875968992248062,0.34285714285714286,0.6843373493975904,0.6039035591274398,0.1590909090909091
29,ekman_basic_emotions,0.35910427521928673,0.14378823016543188,0.25147522218184043,0.15873015873015872,0.25,0.3673469387755102,0.32,0.6751980499695308,0.6076233183856502,0.1348314606741573
30,ekman_basic_emotions,0.3648734250869463,0.14299001721402058,0.2589041111885584,0.19642857142857142,0.2,0.4108527131782946,0.3431952662721893,0.688622754491018,0.6039035591274398,0.1111111111111111
31,ekman_basic_emotions,0.34756988524698035,0.14058420017526382,0.24084463552325647,0.1834862385321101,0.1111111111111111,0.4312267657992565,0.2839506172839506,0.6771463119709794,0.6032110091743119,0.14285714285714285
32,ekman_basic_emotions,0.35652375028323924,0.13765840480774885,0.253803535276176,0.17699115044247787,0.11428571428571428,0.421455938697318,0.3057324840764331,0.6807738814993954,0.5984072810011376,0.19801980198019803
33,ekman_basic_emotions,0.3332505065084116,0.13522755944771545,0.22898850353536862,0.17857142857142858,0.06666666666666667,0.4015748031496063,0.2875,0.6719319562575942,0.5850945494994438,0.1414141414141414
34,ekman_basic_emotions,0.33629888079368664,0.14000541429069543,0.2282496538522887,0.1896551724137931,0.0625,0.4108527131782946,0.25766871165644173,0.6589665653495441,0.5829596412556054,0.19148936170212766
35,ekman_basic_emotions,0.32438683342989677,0.13298305415700126,0.22076128983476098,0.16363636363636364,0.06060606060606061,0.3875968992248062,0.27450980392156865,0.6674655482324745,0.5931818181818181,0.12371134020618557
36,ekman_basic_emotions,0.33828002603866386,0.14468019342889327,0.22634788896786262,0.1111111111111111,0.11764705882352941,0.45849802371541504,0.27710843373493976,0.6754491017964072,0.6018306636155606,0.12631578947368421
37,ekman_basic_emotions,0.3524800906720506,0.13378308383617074,0.2524737196364303,0.1834862385321101,0.12903225806451613,0.4153846153846154,0.2641509433962264,0.6841477949940405,0.6006825938566553,0.19047619047619047
38,ekman_basic_emotions,0.34402900990526153,0.14882499282225034,0.22933476128516897,0.1651376146788991,0.0625,0.4046692607003891,0.2807017543859649,0.6754807692307693,0.5974914481185861,0.2222222222222222
39,ekman_basic_emotions,0.3632898835760888,0.1483994807424274,0.25233709700060236,0.2018348623853211,0.17647058823529413,0.4075471698113208,0.2331288343558282,0.6851628468033776,0.6073059360730594,0.23157894736842105
