layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2847382730241282,0.12896335818529014,0.17883853257228996,0.17872340425531916,0.2608695652173913,0.3644251626898048,0.19801980198019803,0.48756218905472637,0.5035677879714577,0.0
1,ekman_basic_emotions,0.26090475746853864,0.1359880418984639,0.1445775308996301,0.16113744075829384,0.14035087719298245,0.3311546840958606,0.1711229946524064,0.48963317384370014,0.5329341317365269,0.0
2,ekman_basic_emotions,0.2744980011855367,0.1349094802569315,0.16135712707851996,0.1836734693877551,0.13793103448275862,0.3294663573085847,0.1744186046511628,0.505800464037123,0.5235294117647059,0.06666666666666667
3,ekman_basic_emotions,0.2913395029458864,0.13906115581557346,0.1768747549944355,0.24731182795698925,0.18518518518518517,0.3640552995391705,0.18274111675126903,0.5030959752321982,0.5569871159563925,0.0
4,ekman_basic_emotions,0.29260377146989053,0.13809267172332568,0.17926648802893858,0.2127659574468085,0.19607843137254902,0.37188208616780044,0.17989417989417988,0.5272867025365103,0.5603190428713859,0.0
5,ekman_basic_emotions,0.2843330952034619,0.1450333422141773,0.16293004144751164,0.1956521739130435,0.1568627450980392,0.35377358490566035,0.19101123595505617,0.525056095736724,0.56797583081571,0.0
6,ekman_basic_emotions,0.2968656878765911,0.14287867760773673,0.17965602563598568,0.17679558011049723,0.20833333333333334,0.37587006960556846,0.23030303030303031,0.543301258327165,0.5434565434565435,0.0
7,ekman_basic_emotions,0.29447337294865444,0.1401664687110572,0.17946137086126637,0.1797752808988764,0.12,0.3744075829383886,0.25609756097560976,0.5615615615615616,0.5694716242661448,0.0
8,ekman_basic_emotions,0.3173682999116053,0.13600996046608557,0.20990790535427328,0.23809523809523808,0.17391304347826086,0.3931203931203931,0.2682926829268293,0.5731080088170463,0.5750487329434698,0.0
9,ekman_basic_emotions,0.32174711959743046,0.1332444768982958,0.2174807516940575,0.23404255319148937,0.08333333333333333,0.44819277108433736,0.33532934131736525,0.5852568875651526,0.5660749506903353,0.0
