layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.21674950176068244,0.13668839192125154,0.09273720993698024,0.15454545454545454,0.0,0.2211764705882353,0.14207650273224043,0.5118858954041204,0.48756218905472637,0.0
1,ekman_basic_emotions,0.20975247765127575,0.1322936235739489,0.08926850854360198,0.15,0.03076923076923077,0.21962616822429906,0.10650887573964497,0.5235521235521235,0.43781094527363185,0.0
2,ekman_basic_emotions,0.2241335366437104,0.14042137134200605,0.09738744369715066,0.13541666666666666,0.07547169811320754,0.2386634844868735,0.11627906976744186,0.54477050413845,0.4583333333333333,0.0
3,ekman_basic_emotions,0.25396987036065305,0.13614561240578257,0.13639365574446402,0.19101123595505617,0.08163265306122448,0.24757281553398058,0.17142857142857143,0.5832083958020989,0.50293542074364,0.0
4,ekman_basic_emotions,0.2548726950619706,0.1388472432373846,0.1347327183399698,0.1694915254237288,0.07407407407407407,0.31784841075794623,0.1411764705882353,0.576194086429113,0.505324298160697,0.0
5,ekman_basic_emotions,0.2501977315475898,0.14320957736140486,0.12487085681548737,0.17435897435897435,0.13636363636363635,0.2793017456359102,0.09580838323353294,0.5574018126888217,0.5081495685522531,0.0
6,ekman_basic_emotions,0.24621956262564743,0.14544760040601232,0.11792367825251392,0.12435233160621761,0.043478260869565216,0.3137254901960784,0.17721518987341772,0.5686567164179105,0.4961089494163424,0.0
7,ekman_basic_emotions,0.27559922372561213,0.14418265321822146,0.15355679690481905,0.1839080459770115,0.07407407407407407,0.3619047619047619,0.1910828025477707,0.5848915482423336,0.5333333333333333,0.0
8,ekman_basic_emotions,0.2707461402006152,0.13772461136502726,0.154268033842608,0.16666666666666666,0.1276595744680851,0.3308641975308642,0.19444444444444445,0.5583145221971407,0.5172735760971056,0.0
9,ekman_basic_emotions,0.2759723560295824,0.14492383264971445,0.15325947369807044,0.19767441860465115,0.12,0.3411214953271028,0.14925373134328357,0.5969275786393563,0.526829268292683,0.0
10,ekman_basic_emotions,0.30011585113653944,0.14266796449238192,0.1836486683376227,0.22485207100591717,0.15384615384615385,0.3691588785046729,0.22818791946308725,0.5872781065088757,0.5374878286270691,0.0
11,ekman_basic_emotions,0.3146345881182849,0.13590651254574704,0.20683881798380074,0.28735632183908044,0.16,0.3657957244655582,0.21768707482993196,0.6070096942580164,0.5645933014354066,0.0
12,ekman_basic_emotions,0.30539900702488565,0.135897284203882,0.1961592293629557,0.24050632911392406,0.11764705882352941,0.3640776699029126,0.24836601307189543,0.6035767511177347,0.5636192271442035,0.0
13,ekman_basic_emotions,0.2915795250870254,0.14594654327471954,0.1705197498652019,0.18292682926829268,0.11764705882352941,0.37073170731707317,0.18791946308724833,0.6109467455621301,0.570884871550904,0.0
14,ekman_basic_emotions,0.2925745024574949,0.13934248142828706,0.17804064650884707,0.25149700598802394,0.13636363636363635,0.3160493827160494,0.16326530612244897,0.607275426874536,0.5735707591377694,0.0
15,ekman_basic_emotions,0.2976233720653993,0.14508122460572379,0.1784288190294163,0.22346368715083798,0.14634146341463414,0.375,0.1875,0.5953971789161099,0.5556612749762131,0.0
16,ekman_basic_emotions,0.3049429691517699,0.13739307079337684,0.19423667105537387,0.25301204819277107,0.1951219512195122,0.35805626598465473,0.1527777777777778,0.6125995655322231,0.5630331753554503,0.0
17,ekman_basic_emotions,0.3309950054642034,0.14294156514049275,0.2194172913711971,0.2822085889570552,0.15789473684210525,0.4358353510895884,0.2191780821917808,0.6154960173787111,0.6063522617901829,0.0
18,ekman_basic_emotions,0.3332965451899014,0.14455978474164058,0.2206311523374649,0.3508771929824561,0.19047619047619047,0.43099273607748184,0.1702127659574468,0.6123919308357348,0.578125,0.0
19,ekman_basic_emotions,0.34468674570299335,0.1491671666670945,0.22979787729865128,0.29411764705882354,0.2564102564102564,0.4292237442922374,0.23225806451612904,0.6061493411420205,0.5946481665014867,0.0
20,ekman_basic_emotions,0.34849284577532325,0.14209089545815268,0.2405872011667206,0.2909090909090909,0.14285714285714285,0.4523809523809524,0.23943661971830985,0.608,0.6106280193236715,0.09523809523809523
21,ekman_basic_emotions,0.34193849858277875,0.13485045598182435,0.23936675923001324,0.3176470588235294,0.12121212121212122,0.4547563805104408,0.2896551724137931,0.6168498168498169,0.5934489402697495,0.0
