layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.28166132374798175,0.13220310609610453,0.172227186685954,0.205761316872428,0.15555555555555556,0.28992628992628994,0.3510848126232742,0.23255813953488372,0.6136662286465178,0.12307692307692308
1,ekman_basic_emotions,0.2654462120681181,0.1318964587681393,0.1538408115585709,0.1968503937007874,0.12048192771084337,0.28780487804878047,0.3076923076923077,0.2059800664451827,0.6254927726675427,0.11382113821138211
2,ekman_basic_emotions,0.28475344352960513,0.13801477836037232,0.17023338856101666,0.1917808219178082,0.21333333333333335,0.25059101654846333,0.3300589390962672,0.2222222222222222,0.6314416177429876,0.15384615384615385
3,ekman_basic_emotions,0.27679338010187565,0.13165892309546898,0.16713991871003397,0.2100456621004566,0.21428571428571427,0.2893401015228426,0.3048327137546468,0.21548821548821548,0.6294871794871795,0.07407407407407407
4,ekman_basic_emotions,0.2837451140259133,0.14080411284957142,0.1663660211996751,0.20253164556962025,0.1686746987951807,0.27979274611398963,0.3520309477756286,0.26,0.6517571884984026,0.07142857142857142
5,ekman_basic_emotions,0.26465332953580994,0.13225977208638803,0.1525728013875166,0.18340611353711792,0.18823529411764706,0.23209876543209876,0.3128491620111732,0.21428571428571427,0.6095487246566383,0.11214953271028037
6,ekman_basic_emotions,0.2720200379280234,0.1312830412361959,0.16200558222334938,0.15833333333333333,0.21428571428571427,0.23132530120481928,0.3110236220472441,0.22570532915360503,0.6228419654714475,0.140625
7,ekman_basic_emotions,0.26620728917742065,0.13053670768784634,0.15603945869731556,0.18487394957983194,0.17721518987341772,0.23389021479713604,0.30952380952380953,0.22784810126582278,0.6248366013071895,0.10526315789473684
8,ekman_basic_emotions,0.2573908516605908,0.12686796671546063,0.1494881415060795,0.16470588235294117,0.11363636363636363,0.24330900243309003,0.3319838056680162,0.24924012158054712,0.6207357859531772,0.078125
9,ekman_basic_emotions,0.2556869593370334,0.12757389705386415,0.1468468926486018,0.16877637130801687,0.16494845360824742,0.25943396226415094,0.3319838056680162,0.20121951219512196,0.5989304812834224,0.06451612903225806
10,ekman_basic_emotions,0.2759101455837306,0.12924884259879635,0.1684307873016805,0.19753086419753085,0.15555555555555556,0.29545454545454547,0.34296724470134876,0.25308641975308643,0.6327223353699932,0.05405405405405406
11,ekman_basic_emotions,0.28480970231773567,0.12682704994840724,0.18092939360981553,0.21940928270042195,0.1518987341772152,0.2898550724637681,0.33530571992110453,0.26666666666666666,0.6279683377308707,0.10256410256410256
12,ekman_basic_emotions,0.3001257427435867,0.12908934795705382,0.196387992712367,0.2445414847161572,0.17582417582417584,0.3018867924528302,0.3253012048192771,0.25806451612903225,0.6484730344379467,0.14678899082568808
13,ekman_basic_emotions,0.2781641924236245,0.14049792382900392,0.16016979180307667,0.2445414847161572,0.11494252873563218,0.2817551963048499,0.3203285420944558,0.2564102564102564,0.640675763482781,0.08849557522123894
14,ekman_basic_emotions,0.3039827685911293,0.12423858037315726,0.2052433279083704,0.18584070796460178,0.18181818181818182,0.2892768079800499,0.38877755511022044,0.27303754266211605,0.668777707409753,0.14035087719298245
15,ekman_basic_emotions,0.3299732195569369,0.14005993271456238,0.220844793802749,0.22624434389140272,0.22916666666666666,0.350253807106599,0.36472945891783565,0.2608695652173913,0.6785486950986632,0.2
16,ekman_basic_emotions,0.3480116616626259,0.1405674459613873,0.24137346755882666,0.22727272727272727,0.17391304347826086,0.375,0.4268292682926829,0.31543624161073824,0.6918238993710691,0.22580645161290322
17,ekman_basic_emotions,0.35501685262848703,0.1341129608488848,0.25511860299487626,0.20535714285714285,0.36363636363636365,0.370757180156658,0.42209072978303747,0.26332288401253917,0.667953667953668,0.192
18,ekman_basic_emotions,0.36099032616748933,0.1448465002698155,0.2527544189035897,0.24,0.3023255813953488,0.3856041131105398,0.453125,0.2903225806451613,0.6675208199871877,0.18803418803418803
19,ekman_basic_emotions,0.37367958826193093,0.13154112263472698,0.2788139679817686,0.23628691983122363,0.3023255813953488,0.4158415841584158,0.4574898785425101,0.27906976744186046,0.6986564299424184,0.22608695652173913
20,ekman_basic_emotions,0.3729524872652093,0.13283174716313811,0.2769021344087933,0.23853211009174313,0.19148936170212766,0.4772117962466488,0.4817813765182186,0.3194888178913738,0.7157232704402515,0.1864406779661017
21,ekman_basic_emotions,0.3963383909700631,0.14284498288550926,0.2957381139037242,0.2643171806167401,0.28205128205128205,0.4444444444444444,0.4701195219123506,0.35570469798657717,0.7191994996873046,0.23853211009174313
22,ekman_basic_emotions,0.42016050796742116,0.12713295318166065,0.3357069737640642,0.26785714285714285,0.35,0.44021739130434784,0.5070993914807302,0.410958904109589,0.7487745098039216,0.21621621621621623
23,ekman_basic_emotions,0.41557052547497086,0.13645593991567398,0.323219854621015,0.29535864978902954,0.38461538461538464,0.42377260981912146,0.502970297029703,0.3959731543624161,0.7277321541377132,0.17857142857142858
24,ekman_basic_emotions,0.4159676350222095,0.13418605118294613,0.3254528114547664,0.28695652173913044,0.29333333333333333,0.46113989637305697,0.4879032258064516,0.4158415841584158,0.7252195734002509,0.2413793103448276
25,ekman_basic_emotions,0.4363632682893108,0.13892531152143367,0.3454264313510604,0.30303030303030304,0.3950617283950617,0.4869109947643979,0.499001996007984,0.4280701754385965,0.740787008119925,0.20168067226890757
26,ekman_basic_emotions,0.4214804669390301,0.13188476208052166,0.33359131623187765,0.3445378151260504,0.2962962962962963,0.48205128205128206,0.484472049689441,0.44755244755244755,0.727386150966937,0.16806722689075632
27,ekman_basic_emotions,0.451832882907779,0.127967470179975,0.3713914351275923,0.33620689655172414,0.3950617283950617,0.46437994722955145,0.4722792607802875,0.4676258992805755,0.7438118811881188,0.28346456692913385
28,ekman_basic_emotions,0.4575523557168798,0.12916022276777067,0.37709822350195177,0.3744292237442922,0.3764705882352941,0.43010752688172044,0.5191146881287726,0.5352112676056338,0.7361282367447596,0.23140495867768596
29,ekman_basic_emotions,0.47359442821401004,0.12710839067251134,0.3969405065176943,0.34977578475336324,0.40963855421686746,0.4756756756756757,0.532258064516129,0.5313653136531366,0.7643467643467643,0.25210084033613445
30,ekman_basic_emotions,0.4550640086465294,0.13512833894666432,0.3699227112034314,0.3568075117370892,0.39473684210526316,0.4864864864864865,0.5183752417794971,0.4928571428571429,0.7558569667077681,0.18032786885245902
