layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.24358361604499473,0.13620229216114518,0.12431304564642583,0.1935483870967742,0.05128205128205128,0.20100502512562815,0.26136363636363635,0.3321554770318021,0.5424430641821946,0.1232876712328767
1,ekman_basic_emotions,0.23121465410845365,0.13699800061635023,0.10917315783670528,0.1865671641791045,0.07142857142857142,0.1625615763546798,0.26666666666666666,0.35,0.550744248985115,0.030534351145038167
2,ekman_basic_emotions,0.23242594078319317,0.13560323173236652,0.11201188228048596,0.17886178861788618,0.08,0.14215686274509803,0.2692307692307692,0.3819444444444444,0.5747877204441542,0.0
3,ekman_basic_emotions,0.23734614254744285,0.14007513024587964,0.11311571013102116,0.12121212121212122,0.08791208791208792,0.18004866180048662,0.2737642585551331,0.375886524822695,0.58656330749354,0.036036036036036036
4,ekman_basic_emotions,0.23066755227445782,0.13446326532431682,0.11114986007634761,0.13452914798206278,0.023529411764705882,0.18229166666666666,0.2813102119460501,0.37992831541218636,0.6130841121495327,0.0
5,ekman_basic_emotions,0.244952208295194,0.12265165642219662,0.1393979401320335,0.16194331983805668,0.023529411764705882,0.20772946859903382,0.3087719298245614,0.36101083032490977,0.5770536320434487,0.07462686567164178
6,ekman_basic_emotions,0.2484388900044027,0.13582240424329767,0.13031636820264278,0.14516129032258066,0.04,0.17258883248730963,0.31343283582089554,0.4014084507042254,0.5986842105263158,0.06779661016949153
7,ekman_basic_emotions,0.22057615217529164,0.13443917805739047,0.09951579592590713,0.17959183673469387,0.02197802197802198,0.16822429906542055,0.21818181818181817,0.3392226148409894,0.5706806282722513,0.046153846153846156
8,ekman_basic_emotions,0.21483928845274253,0.12738383331353892,0.10022213486061524,0.13127413127413126,0.1111111111111111,0.15920398009950248,0.20113851992409867,0.3389830508474576,0.5229485396383866,0.0392156862745098
9,ekman_basic_emotions,0.2172912287653663,0.12531401757162572,0.10515455036604791,0.16494845360824742,0.08,0.14691943127962084,0.23018867924528302,0.32867132867132864,0.5294943820224719,0.04081632653061224
