layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.20261693328655914,0.13774955100265204,0.07523032589816211,0.0,0.0,0.5671863400148478,0.05194805194805195,0.6119500984898227,0.18723404255319148,0.0
1,ekman_basic_emotions,0.24217835616831787,0.1403445959692606,0.11845881468502456,0.0,0.25,0.5689655172413793,0.05,0.6110363391655451,0.21524663677130046,0.0
2,ekman_basic_emotions,0.26205199322683664,0.1449349677619318,0.13696855917304895,0.0,0.3333333333333333,0.5678650036683786,0.058823529411764705,0.6177049180327869,0.25663716814159293,0.0
3,ekman_basic_emotions,0.2531772967612772,0.15531105155675087,0.11586069095007406,0.0,0.2857142857142857,0.5738636363636364,0.11594202898550725,0.6098052384150436,0.18691588785046728,0.0
4,ekman_basic_emotions,0.2163358827985126,0.14218398839846688,0.08644265599753138,0.0,0.0,0.591467823571945,0.08108108108108109,0.6121372031662269,0.22966507177033493,0.0
5,ekman_basic_emotions,0.2129162191858925,0.145848787701576,0.07851938921194722,0.0,0.0,0.612274368231047,0.02857142857142857,0.636604774535809,0.21296296296296297,0.0
6,ekman_basic_emotions,0.23157011242706038,0.14138686252119084,0.10503362453861276,0.0,0.0,0.6096866096866097,0.136986301369863,0.6379542395693136,0.23636363636363636,0.0
7,ekman_basic_emotions,0.24117730901330356,0.15917030684988223,0.09753104919045738,0.0,0.0,0.631503920171062,0.13333333333333333,0.6502331778814124,0.2731707317073171,0.0
8,ekman_basic_emotions,0.24379072499266155,0.14894887004185928,0.11144084252078616,0.0,0.0,0.631578947368421,0.12048192771084337,0.6544741998693664,0.3,0.0
9,ekman_basic_emotions,0.23687070486400538,0.14151701941786923,0.11107230731758659,0.0,0.0,0.6226415094339622,0.11904761904761904,0.6515656229180546,0.2648401826484018,0.0
10,ekman_basic_emotions,0.2309746625394586,0.13698994891670088,0.10890338241690553,0.0,0.0,0.6256335988414192,0.09302325581395349,0.6447721179624665,0.25339366515837103,0.0
11,ekman_basic_emotions,0.237413039383854,0.13798610218533688,0.11534261506755238,0.0,0.0,0.6468085106382979,0.0821917808219178,0.6720214190093708,0.2608695652173913,0.0
12,ekman_basic_emotions,0.285355077379111,0.13716909241693664,0.17174394618902628,0.0,0.2857142857142857,0.6539589442815249,0.09523809523809523,0.6714944042132982,0.29107981220657275,0.0
13,ekman_basic_emotions,0.25813360521792045,0.14122391276163485,0.13613524432456128,0.0,0.0,0.674435542607429,0.09523809523809523,0.6877470355731226,0.34951456310679613,0.0
14,ekman_basic_emotions,0.32566139434236924,0.13877795989598093,0.2169979700285148,0.0,0.3333333333333333,0.6939970717423133,0.18666666666666668,0.7037279267495095,0.3619047619047619,0.0
15,ekman_basic_emotions,0.31934684290236487,0.14346369232136646,0.20534231766271901,0.0,0.3333333333333333,0.6881878209831255,0.12195121951219512,0.6919555264879006,0.4,0.0
16,ekman_basic_emotions,0.27382659823380273,0.137449299399753,0.15810931315590504,0.0,0.0,0.6815240833932422,0.16216216216216217,0.6926121372031663,0.3804878048780488,0.0
17,ekman_basic_emotions,0.28410612370884525,0.14487119736743706,0.1628233383237303,0.0,0.0,0.6961566352429297,0.15625,0.713259307642064,0.4230769230769231,0.0
18,ekman_basic_emotions,0.3371240125066025,0.1384944941860555,0.2305609389377996,0.0,0.0,0.7048710601719198,0.16393442622950818,0.7143795141168746,0.4433497536945813,0.3333333333333333
19,ekman_basic_emotions,0.2936915197876946,0.1410307891390237,0.1777254978623197,0.0,0.0,0.7079136690647482,0.17073170731707318,0.7192513368983957,0.45794392523364486,0.0
20,ekman_basic_emotions,0.3589581059955651,0.13793576638597838,0.2563873212591101,0.0,0.4,0.7180966113914924,0.17647058823529413,0.7205785667324129,0.4975609756097561,0.0
21,ekman_basic_emotions,0.35294908941845066,0.14309686452803178,0.24489608708787802,0.0,0.4,0.7155172413793104,0.17142857142857143,0.7170311464546058,0.4666666666666667,0.0
22,ekman_basic_emotions,0.3507879437884446,0.14593320548480382,0.23985798255969526,0.0,0.4,0.7175018155410312,0.11764705882352941,0.7203667321545514,0.5,0.0
23,ekman_basic_emotions,0.3558300022098836,0.13397601356989963,0.256175339385811,0.0,0.4,0.7139722019019751,0.15151515151515152,0.7229072031148605,0.5024154589371981,0.0
24,ekman_basic_emotions,0.3182054754119072,0.1413542542834731,0.20596529128651822,0.16666666666666666,0.0,0.7316363636363636,0.09523809523809523,0.7338972023422251,0.5,0.0
25,ekman_basic_emotions,0.2907463986059283,0.1473941922956928,0.16813421280371058,0.0,0.0,0.7084233261339092,0.12903225806451613,0.7173770491803279,0.4803921568627451,0.0
26,ekman_basic_emotions,0.28883030798339254,0.140244361482032,0.17282346267305723,0.0,0.0,0.7098632109431245,0.13114754098360656,0.7177472167648985,0.4630541871921182,0.0
27,ekman_basic_emotions,0.322556957633979,0.14039158953779482,0.21191668890051368,0.18181818181818182,0.0,0.7258410880458125,0.17543859649122806,0.7314510833880499,0.4433497536945813,0.0
28,ekman_basic_emotions,0.3811077368494268,0.14128661298959252,0.27927959140682135,0.2,0.4,0.727662616154396,0.16393442622950818,0.7229551451187335,0.45320197044334976,0.0
29,ekman_basic_emotions,0.3812400879920716,0.14040595251245247,0.280171944167759,0.2,0.4,0.7272727272727273,0.16393442622950818,0.718936877076412,0.4585365853658537,0.0
30,ekman_basic_emotions,0.37555833018597706,0.14540702839649555,0.2693110163984149,0.2222222222222222,0.3333333333333333,0.7201704545454546,0.15873015873015872,0.726790450928382,0.46766169154228854,0.0
31,ekman_basic_emotions,0.37179856648493953,0.1426533995829364,0.2672724972496928,0.2222222222222222,0.3333333333333333,0.7160142348754448,0.15625,0.7184594953519257,0.4563106796116505,0.0
32,ekman_basic_emotions,0.31272864459413585,0.1627888919828951,0.17909431823756614,0.2222222222222222,0.0,0.7161198288159771,0.09090909090909091,0.7284768211920529,0.43137254901960786,0.0
33,ekman_basic_emotions,0.2795870495260715,0.1419460100054894,0.16041069807444477,0.0,0.0,0.7196531791907514,0.09375,0.7278645833333334,0.4158415841584158,0.0
34,ekman_basic_emotions,0.3161010848953323,0.13862127262707816,0.2060415548100908,0.2,0.0,0.718772826880935,0.12307692307692308,0.7275080906148867,0.4433497536945813,0.0
35,ekman_basic_emotions,0.31015368788259773,0.15134111410785853,0.18713357794844696,0.2222222222222222,0.0,0.7110460863204097,0.1095890410958904,0.7282184655396619,0.4,0.0
36,ekman_basic_emotions,0.350872510556385,0.13578550778582024,0.24888150419636726,0.0,0.4,0.7259475218658892,0.17721518987341772,0.743421052631579,0.4095238095238095,0.0
37,ekman_basic_emotions,0.2772356517652318,0.14278356317394095,0.15684730578559009,0.0,0.0,0.7106227106227107,0.0821917808219178,0.7192636423405654,0.42857142857142855,0.0
38,ekman_basic_emotions,0.3075923250802082,0.14599876934253145,0.189219347627018,0.2222222222222222,0.0,0.7012987012987013,0.10256410256410256,0.7173051519154557,0.4097560975609756,0.0
39,ekman_basic_emotions,0.35498396787588155,0.1380067088649695,0.2517157166330228,0.18181818181818182,0.4,0.684287812041116,0.08450704225352113,0.7007772020725389,0.43349753694581283,0.0
