layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2746518221348105,0.13179786630870852,0.16453997321883668,0.0,0.0,0.734785875281743,0.075,0.7736464448793215,0.3391304347826087,0.0
1,ekman_basic_emotions,0.2780594517986384,0.1394735241633758,0.16104783702387085,0.0,0.0,0.7366071428571429,0.1282051282051282,0.7712590639419907,0.3103448275862069,0.0
2,ekman_basic_emotions,0.28040185029670306,0.1541972014904773,0.14921285319535965,0.0,0.0,0.7503692762186115,0.1038961038961039,0.7752142386288727,0.3333333333333333,0.0
3,ekman_basic_emotions,0.292144166880467,0.14450889494169492,0.17257370774031622,0.0,0.0,0.7725258493353028,0.08333333333333333,0.8002610966057441,0.3888888888888889,0.0
4,ekman_basic_emotions,0.29818350272037036,0.13241001654131432,0.1910735362782691,0.0,0.0,0.7799113737075333,0.08450704225352113,0.8018134715025906,0.42105263157894735,0.0
5,ekman_basic_emotions,0.2925600313464018,0.13922133852737106,0.17813951446786253,0.0,0.0,0.7772795216741405,0.057971014492753624,0.8054298642533937,0.4072398190045249,0.0
6,ekman_basic_emotions,0.3039418786288052,0.13843399039783347,0.1921012277485227,0.0,0.0,0.7847533632286996,0.11267605633802817,0.8131021194605009,0.41706161137440756,0.0
7,ekman_basic_emotions,0.30049910322578466,0.13515570911793,0.19118284742241637,0.0,0.0,0.774869109947644,0.0967741935483871,0.8136686009026435,0.41818181818181815,0.0
8,ekman_basic_emotions,0.3422807590931862,0.1385587544848813,0.2364897265703648,0.0,0.0,0.8062130177514792,0.0625,0.8306503541532517,0.44660194174757284,0.25
9,ekman_basic_emotions,0.30058104708332617,0.16038125364932573,0.16698030390979948,0.0,0.0,0.7896296296296297,0.05970149253731343,0.8154838709677419,0.4392523364485981,0.0
10,ekman_basic_emotions,0.31021252933402826,0.14162047816134074,0.19640735465305756,0.0,0.0,0.7870579382994732,0.10810810810810811,0.8140575079872204,0.46226415094339623,0.0
11,ekman_basic_emotions,0.311780241256942,0.13928430159478689,0.2004098914214835,0.0,0.0,0.7835051546391752,0.12307692307692308,0.8105330764290302,0.46534653465346537,0.0
12,ekman_basic_emotions,0.35521107175694594,0.13277912470838715,0.2564882296840047,0.0,0.0,0.7947214076246334,0.0967741935483871,0.8217054263565892,0.48756218905472637,0.2857142857142857
13,ekman_basic_emotions,0.31461201244724396,0.13749071145646144,0.2053558185905167,0.0,0.0,0.8011695906432749,0.14285714285714285,0.8126614987080103,0.44559585492227977,0.0
14,ekman_basic_emotions,0.3154619733428051,0.14664721112402054,0.19782528916457198,0.0,0.0,0.807720861172977,0.11940298507462686,0.8298279158699808,0.4512820512820513,0.0
15,ekman_basic_emotions,0.38073833900759385,0.14255193214906728,0.2777852278045313,0.0,0.0,0.8044280442804428,0.2318840579710145,0.8310679611650486,0.46445497630331756,0.3333333333333333
16,ekman_basic_emotions,0.37946756095410883,0.1349134379225741,0.2826932399045252,0.0,0.0,0.8069120961682945,0.22535211267605634,0.82555910543131,0.46511627906976744,0.3333333333333333
17,ekman_basic_emotions,0.41527377307941826,0.1376057213802622,0.32197343904410386,0.0,0.0,0.8143712574850299,0.273972602739726,0.8378033205619413,0.4807692307692308,0.5
18,ekman_basic_emotions,0.409909725676114,0.134330373804593,0.31834240630884125,0.0,0.0,0.8029739776951673,0.2535211267605634,0.8324808184143222,0.4803921568627451,0.5
19,ekman_basic_emotions,0.4035219446163142,0.1399039693554541,0.30649830468733574,0.0,0.0,0.7943786982248521,0.25,0.8266666666666667,0.4536082474226804,0.5
20,ekman_basic_emotions,0.4486510819703038,0.1387102566553793,0.3598566309536447,0.25,0.0,0.8044444444444444,0.2711864406779661,0.8377693282636248,0.47715736040609136,0.5
21,ekman_basic_emotions,0.42118712676555836,0.14799868232546778,0.3206432182355493,0.2222222222222222,0.0,0.8018018018018018,0.2318840579710145,0.8218135700697526,0.47058823529411764,0.4
22,ekman_basic_emotions,0.42294495275514005,0.13834574969537392,0.3302939699527392,0.2857142857142857,0.0,0.8150887573964497,0.26865671641791045,0.828334396936822,0.5128205128205128,0.25
23,ekman_basic_emotions,0.42438941069610897,0.14213413191526947,0.32902029242753533,0.2857142857142857,0.0,0.8042168674698795,0.26229508196721313,0.8377358490566038,0.49504950495049505,0.2857142857142857
24,ekman_basic_emotions,0.4393922341907643,0.13698799747375234,0.3504055978732632,0.2,0.0,0.8186606471030851,0.29850746268656714,0.8381795195954488,0.5870646766169154,0.3333333333333333
25,ekman_basic_emotions,0.44801645897975806,0.14400672283271435,0.35515435022234587,0.2857142857142857,0.0,0.8133333333333334,0.29411764705882354,0.8396166134185303,0.57,0.3333333333333333
26,ekman_basic_emotions,0.4489281462687567,0.1489686779616162,0.3524658382592545,0.2857142857142857,0.0,0.8210838901262064,0.3055555555555556,0.8402061855670103,0.5566037735849056,0.3333333333333333
27,ekman_basic_emotions,0.42122603597796715,0.1426812457351367,0.3249022476846176,0.2222222222222222,0.0,0.8325859491778774,0.21052631578947367,0.8458093410108766,0.5517241379310345,0.2857142857142857
28,ekman_basic_emotions,0.416722947020986,0.13842189532390167,0.32301314319229224,0.2857142857142857,0.0,0.8125,0.18461538461538463,0.8362014021669854,0.5123152709359606,0.2857142857142857
29,ekman_basic_emotions,0.4248553707197165,0.13576567362826053,0.33450383567281233,0.25,0.0,0.8133333333333334,0.23333333333333334,0.8341836734693877,0.5098039215686274,0.3333333333333333
30,ekman_basic_emotions,0.42340239152945375,0.15345470503213424,0.3188815626310539,0.2857142857142857,0.0,0.8152011922503726,0.25,0.8319488817891374,0.49523809523809526,0.2857142857142857
31,ekman_basic_emotions,0.4236696681494338,0.13883902970184775,0.3307519131399692,0.2857142857142857,0.0,0.8144796380090498,0.09375,0.8358585858585859,0.5358851674641149,0.4
32,ekman_basic_emotions,0.42719761892504876,0.15052382164267433,0.32569930073541586,0.2857142857142857,0.0,0.8073115003808073,0.15625,0.8336448598130841,0.5074626865671642,0.4
33,ekman_basic_emotions,0.4386824837901474,0.14363876007186638,0.3445318517020239,0.2857142857142857,0.0,0.8117913832199547,0.15151515151515152,0.8291457286432161,0.49261083743842365,0.5
34,ekman_basic_emotions,0.39593372136582883,0.14273969300572828,0.2953525624531131,0.2222222222222222,0.0,0.8045112781954887,0.13114754098360656,0.830379746835443,0.4975609756097561,0.2857142857142857
35,ekman_basic_emotions,0.40085425970315514,0.1419498432862093,0.3017357603062654,0.2222222222222222,0.0,0.8042328042328042,0.13559322033898305,0.83617963314358,0.4744186046511628,0.3333333333333333
36,ekman_basic_emotions,0.4287580702689428,0.13876657104851195,0.33671649226793504,0.2222222222222222,0.0,0.7924528301886793,0.2545454545454545,0.8297604035308953,0.5023255813953489,0.4
37,ekman_basic_emotions,0.42373562980852925,0.14278710021095625,0.32774650225948904,0.2,0.0,0.7930250189537529,0.24561403508771928,0.8344870988042794,0.4930232558139535,0.4
38,ekman_basic_emotions,0.4317852656073523,0.13833453148449318,0.3405622539666368,0.2222222222222222,0.0,0.7899543378995434,0.25396825396825395,0.8320802005012531,0.5242718446601942,0.4
39,ekman_basic_emotions,0.45047893558040614,0.1499549088967367,0.3535389237924107,0.25,0.0,0.8111361926260346,0.2727272727272727,0.8414403032217309,0.47804878048780486,0.5
