layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.21398171843864686,0.13667249845468893,0.0895479639483029,0.0,0.0,0.4897959183673469,0.08571428571428572,0.7524271844660194,0.16993464052287582,0.0
1,ekman_basic_emotions,0.21057484600131757,0.14896102857879176,0.07239835012447512,0.0,0.0,0.4955357142857143,0.0392156862745098,0.7673975214489991,0.171875,0.0
2,ekman_basic_emotions,0.23218586953632617,0.13763923238517503,0.10963698802376474,0.0,0.0,0.5251141552511416,0.1276595744680851,0.7923471768548763,0.18018018018018017,0.0
3,ekman_basic_emotions,0.22317518091585456,0.14999418826969735,0.08609469680823396,0.0,0.0,0.4988399071925754,0.10909090909090909,0.7754336615096109,0.17886178861788618,0.0
4,ekman_basic_emotions,0.2248964650878944,0.14725400456417548,0.09104992687070566,0.0,0.0,0.5005820721769499,0.07407407407407407,0.7735321528424977,0.22608695652173913,0.0
5,ekman_basic_emotions,0.2205749726819051,0.147302199852558,0.0859305287484937,0.0,0.0,0.49942196531791905,0.041666666666666664,0.7807139545665276,0.2222222222222222,0.0
6,ekman_basic_emotions,0.20667147100863867,0.1385178991464707,0.07911199988327507,0.0,0.0,0.4704519119351101,0.044444444444444446,0.7619926199261993,0.16981132075471697,0.0
7,ekman_basic_emotions,0.22719304212807673,0.13845027481969618,0.10300365111231229,0.0,0.0,0.48936170212765956,0.10256410256410256,0.7848332571950662,0.21359223300970873,0.0
8,ekman_basic_emotions,0.24009134058699294,0.1551763430567271,0.10051209720795924,0.0,0.0,0.4975845410628019,0.11428571428571428,0.7969244685662596,0.27184466019417475,0.0
9,ekman_basic_emotions,0.22964412355522895,0.15057839366503947,0.09308184451692736,0.0,0.0,0.4856815578465063,0.125,0.7790055248618785,0.21782178217821782,0.0
10,ekman_basic_emotions,0.2386934284117697,0.13979949670922542,0.11496614024778713,0.0,0.0,0.5230414746543779,0.15384615384615385,0.7959465684016582,0.19801980198019803,0.0
11,ekman_basic_emotions,0.2513111545018235,0.17951291227238106,0.08750685209232405,0.0,0.0,0.5494761350407451,0.1875,0.8138686131386861,0.20833333333333334,0.0
12,ekman_basic_emotions,0.2435121882343636,0.15861299358459569,0.10090385756189349,0.0,0.0,0.5416666666666666,0.11428571428571428,0.8110091743119267,0.2376237623762376,0.0
13,ekman_basic_emotions,0.23944476641294812,0.1599782337109649,0.09460056380805773,0.0,0.0,0.5366430260047281,0.0625,0.8143440762596459,0.26262626262626265,0.0
14,ekman_basic_emotions,0.2674754625331764,0.16515413528925027,0.12256313598603921,0.0,0.0,0.5605700712589073,0.1875,0.8279618701770313,0.2962962962962963,0.0
15,ekman_basic_emotions,0.2639849704192569,0.1457660572126758,0.13839173004626634,0.0,0.0,0.5581947743467933,0.23529411764705882,0.8213961922030825,0.23300970873786409,0.0
16,ekman_basic_emotions,0.25398283535217275,0.14765587276781592,0.12474651867389787,0.0,0.0,0.5501165501165501,0.15789473684210525,0.8124428179322964,0.25742574257425743,0.0
17,ekman_basic_emotions,0.2671390923107692,0.15483544570509186,0.13287784731976654,0.0,0.0,0.5677867902665121,0.10810810810810811,0.8167202572347267,0.37735849056603776,0.0
18,ekman_basic_emotions,0.2615095892025226,0.14971557578797512,0.13147837386078096,0.0,0.0,0.5651162790697675,0.13953488372093023,0.8182236539346526,0.3076923076923077,0.0
19,ekman_basic_emotions,0.2657509293256205,0.14398988033497906,0.14224253451383229,0.0,0.0,0.5793742757821553,0.15,0.8217913204062789,0.3090909090909091,0.0
20,ekman_basic_emotions,0.2672104621066886,0.1392114049598164,0.14869975959764767,0.0,0.0,0.5691428571428572,0.16216216216216217,0.8205841446453408,0.3185840707964602,0.0
21,ekman_basic_emotions,0.26437489506905915,0.1629469387242216,0.12117267236350353,0.0,0.0,0.5664335664335665,0.14634146341463414,0.816420664206642,0.32142857142857145,0.0
22,ekman_basic_emotions,0.2600614210710629,0.14056535362550715,0.1390403190628251,0.0,0.0,0.5636147443519619,0.15,0.8211009174311926,0.2857142857142857,0.0
23,ekman_basic_emotions,0.2603668708204627,0.15381087891778028,0.12592455899977112,0.0,0.0,0.5683453237410072,0.15789473684210525,0.8204659661946094,0.27586206896551724,0.0
24,ekman_basic_emotions,0.2687759498587834,0.1374566970533623,0.1522465624123515,0.0,0.0,0.5806451612903226,0.2,0.8305162174508908,0.2702702702702703,0.0
25,ekman_basic_emotions,0.27292218307511423,0.15017053846735298,0.1444426795775962,0.0,0.0,0.6004672897196262,0.20512820512820512,0.8356290174471993,0.2692307692307692,0.0
26,ekman_basic_emotions,0.2620189611530881,0.1474099201609008,0.1344245537243599,0.0,0.0,0.5921521997621879,0.16216216216216217,0.8368277119416591,0.24299065420560748,0.0
27,ekman_basic_emotions,0.2921397028707437,0.14867605288462654,0.16851828316615486,0.1,0.0,0.5820721769499418,0.21621621621621623,0.831874712114233,0.3148148148148148,0.0
28,ekman_basic_emotions,0.27981297998323557,0.15052888553151386,0.15219363230804467,0.1111111111111111,0.0,0.6073546856465006,0.15384615384615385,0.8410958904109589,0.24528301886792453,0.0
29,ekman_basic_emotions,0.2749476555686504,0.13591004234735118,0.16090641025270458,0.1111111111111111,0.0,0.5786314525810324,0.14634146341463414,0.836297309621523,0.25225225225225223,0.0
30,ekman_basic_emotions,0.29519765765094974,0.16323051705788075,0.15771026941502045,0.1111111111111111,0.0,0.6171967020023557,0.13953488372093023,0.8421052631578947,0.3564356435643564,0.0
31,ekman_basic_emotions,0.29890244160507107,0.14363196895377559,0.18131278495018271,0.11764705882352941,0.0,0.5973715651135006,0.21621621621621623,0.8372727272727273,0.3238095238095238,0.0
32,ekman_basic_emotions,0.341474932474568,0.13916774148491293,0.23501348722529247,0.2,0.0,0.611957796014068,0.29411764705882354,0.8461538461538461,0.4380952380952381,0.0
33,ekman_basic_emotions,0.32540617234201047,0.1535585341110748,0.20302365273476153,0.2727272727272727,0.0,0.6123399301513388,0.21052631578947367,0.839392544868845,0.34285714285714286,0.0
