layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.1394762047902128,0.11270034391761925,0.030176796180463712,0.03076923076923077,0.0,0.29818956336528224,0.09266409266409266,0.4744429882044561,0.0802675585284281,0.0
1,ekman_basic_emotions,0.1464887273575046,0.13591411801718098,0.012237914726783922,0.0,0.0,0.34029227557411273,0.08849557522123894,0.5106117353308365,0.08602150537634409,0.0
2,ekman_basic_emotions,0.1949584014876992,0.14365977246586248,0.05990449516724557,0.0,0.0,0.4620253164556962,0.125,0.6044551475015051,0.1732283464566929,0.0
3,ekman_basic_emotions,0.21217025966368747,0.14704932700403386,0.07634782962409548,0.0,0.0,0.4867162592986185,0.15311004784688995,0.648552864737153,0.16740088105726872,0.029411764705882353
4,ekman_basic_emotions,0.24566280323262477,0.14660181695497423,0.11607827183811102,0.10714285714285714,0.0,0.5203761755485894,0.16037735849056603,0.6289156626506024,0.2145922746781116,0.08823529411764706
5,ekman_basic_emotions,0.2625223104017878,0.14579301582334547,0.13665223621527087,0.07692307692307693,0.0,0.5336134453781513,0.1895734597156398,0.6452762923351159,0.22325581395348837,0.16901408450704225
6,ekman_basic_emotions,0.2684002343056822,0.13326734713878527,0.1559106914004024,0.13559322033898305,0.0,0.5377258235919234,0.19230769230769232,0.6587254318046456,0.22624434389140272,0.1282051282051282
7,ekman_basic_emotions,0.26673739290954274,0.13796167738397838,0.14938514001879824,0.13559322033898305,0.0,0.5671641791044776,0.16,0.6607142857142857,0.24242424242424243,0.10126582278481013
8,ekman_basic_emotions,0.27593805410493843,0.14469628235780174,0.15344464082177584,0.125,0.0,0.5732217573221757,0.15873015873015872,0.6519138755980861,0.2857142857142857,0.136986301369863
9,ekman_basic_emotions,0.2785233517977855,0.13623381766780815,0.16473154082716202,0.125,0.0,0.5835095137420718,0.16494845360824742,0.6591044776119404,0.270042194092827,0.14705882352941177
10,ekman_basic_emotions,0.27576425490570045,0.13638380846514472,0.16139165500457198,0.037037037037037035,0.0,0.605543710021322,0.19895287958115182,0.6761061946902654,0.26778242677824265,0.14492753623188406
11,ekman_basic_emotions,0.28808121569528466,0.14580967022981187,0.16655719516720544,0.038461538461538464,0.0,0.6152219873150105,0.2222222222222222,0.6796690307328606,0.2966101694915254,0.1643835616438356
12,ekman_basic_emotions,0.29575411511257055,0.13966356110016312,0.1814296674589416,0.11764705882352941,0.0,0.6023329798515377,0.20512820512820512,0.687905604719764,0.2905982905982906,0.16666666666666666
13,ekman_basic_emotions,0.3108060895397898,0.14367351863759822,0.19517389049593128,0.11538461538461539,0.16666666666666666,0.617989417989418,0.21875,0.6844286560094731,0.23728813559322035,0.13513513513513514
14,ekman_basic_emotions,0.2902026520443724,0.14141551940520097,0.1732935267314599,0.14545454545454545,0.0,0.6119402985074627,0.18947368421052632,0.6843033509700176,0.2553191489361702,0.14492753623188406
15,ekman_basic_emotions,0.2862897322008416,0.1387945901105129,0.17126592610380348,0.15151515151515152,0.0,0.6144200626959248,0.2127659574468085,0.6818181818181818,0.23684210526315788,0.10666666666666667
16,ekman_basic_emotions,0.282552377179525,0.15219928412681835,0.15375440314231295,0.0392156862745098,0.0,0.6288117770767613,0.2127659574468085,0.6950354609929078,0.28936170212765955,0.11267605633802817
