layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.176239666789473,0.07967874282468572,0.10492088845275162,0.023121387283236993,0.027777777777777776,0.30402010050251255,0.17194570135746606,0.5129310344827587,0.11295681063122924,0.08092485549132948
1,ekman_basic_emotions,0.19113456046078728,0.11914424603748269,0.08172769956880814,0.0,0.0,0.4016393442622951,0.1346153846153846,0.5932415519399249,0.11320754716981132,0.09523809523809523
2,ekman_basic_emotions,0.29985900313532704,0.12777276241735883,0.19729519247174793,0.0,0.0,0.6328042328042328,0.18497109826589594,0.7753408417308832,0.3319838056680162,0.17391304347826086
3,ekman_basic_emotions,0.3065825388231026,0.1379709039851501,0.19559854257523562,0.0,0.0,0.6394849785407726,0.19318181818181818,0.7856301531213192,0.336,0.1917808219178082
4,ekman_basic_emotions,0.32970123925809575,0.12660441367676004,0.23253704136096978,0.038461538461538464,0.0,0.6508108108108108,0.23728813559322035,0.7965014577259475,0.3562753036437247,0.22857142857142856
5,ekman_basic_emotions,0.35986285242638044,0.13773154008586033,0.257612707256669,0.11764705882352941,0.0,0.6852846401718582,0.3076923076923077,0.8046109510086455,0.3948497854077253,0.208955223880597
6,ekman_basic_emotions,0.3623390064521382,0.13926112995102147,0.2591702132476287,0.1276595744680851,0.0,0.6907894736842105,0.3258426966292135,0.8068965517241379,0.3598326359832636,0.22535211267605634
7,ekman_basic_emotions,0.394442434832413,0.13186504287703124,0.3024614891969941,0.12244897959183673,0.15384615384615385,0.7125683060109289,0.2994011976047904,0.8154897494305239,0.38461538461538464,0.2727272727272727
8,ekman_basic_emotions,0.38250614401443395,0.13253032920178612,0.28816663363299977,0.08,0.15384615384615385,0.7213114754098361,0.24561403508771928,0.8180778032036613,0.4051724137931034,0.2535211267605634
9,ekman_basic_emotions,0.4159713912067168,0.13589628346256813,0.3241220959752881,0.17391304347826086,0.15384615384615385,0.7117516629711752,0.3050847457627119,0.8276255707762558,0.4152542372881356,0.32432432432432434
10,ekman_basic_emotions,0.4415287600248582,0.14191207606895354,0.3491678132274718,0.1702127659574468,0.15384615384615385,0.7286652078774617,0.3583815028901734,0.831899024670109,0.4641350210970464,0.3835616438356164
11,ekman_basic_emotions,0.45853299256931795,0.13573985901658123,0.37349070985205796,0.1702127659574468,0.18181818181818182,0.7330415754923414,0.4065934065934066,0.8275862068965517,0.45569620253164556,0.43478260869565216
12,ekman_basic_emotions,0.42973380097864833,0.1431176540993559,0.33448716530393513,0.1568627450980392,0.0,0.7209554831704669,0.3953488372093023,0.815242494226328,0.4274193548387097,0.49230769230769234
13,ekman_basic_emotions,0.4289403502763952,0.13768897710362746,0.33775675532303684,0.21818181818181817,0.0,0.7169398907103826,0.3815028901734104,0.8155002891844997,0.44621513944223107,0.42424242424242425
14,ekman_basic_emotions,0.41970251689570853,0.13725226792521697,0.3273845163188545,0.17857142857142858,0.0,0.717391304347826,0.3867403314917127,0.816917728852839,0.48535564853556484,0.35294117647058826
15,ekman_basic_emotions,0.45316006407737597,0.1406678339212712,0.36364544758292616,0.3,0.0,0.7330415754923414,0.43575418994413406,0.8214904679376083,0.4691358024691358,0.4126984126984127
16,ekman_basic_emotions,0.43522567586319966,0.13510867801617774,0.3469996636787109,0.24561403508771928,0.0,0.7128927410617552,0.3905325443786982,0.8220930232558139,0.5118110236220472,0.36363636363636365
17,ekman_basic_emotions,0.42719036541603544,0.13346584820502505,0.33896473278355754,0.25,0.0,0.7276641550053822,0.4024390243902439,0.815242494226328,0.49361702127659574,0.3013698630136986
18,ekman_basic_emotions,0.4173722599704055,0.13597861847795822,0.32567902543887306,0.14814814814814814,0.0,0.7233115468409586,0.40236686390532544,0.8179207352096496,0.5063291139240507,0.3235294117647059
19,ekman_basic_emotions,0.42857254182037685,0.1349193961686875,0.33945177403255083,0.25,0.0,0.7152173913043478,0.3687150837988827,0.8190148911798396,0.4978540772532189,0.3492063492063492
20,ekman_basic_emotions,0.4486297449336837,0.14283212589899472,0.356753476505881,0.24489795918367346,0.0,0.7408993576017131,0.4482758620689655,0.8238702201622248,0.5188284518828452,0.36363636363636365
21,ekman_basic_emotions,0.45483714304483985,0.13974070464909502,0.36628077150531124,0.32558139534883723,0.0,0.7351351351351352,0.3930635838150289,0.8231917336394948,0.5188284518828452,0.3880597014925373
22,ekman_basic_emotions,0.44496888619972197,0.1480185943821033,0.34854081305008816,0.2916666666666667,0.0,0.7276688453159041,0.4088397790055249,0.8119266055045872,0.5217391304347826,0.35294117647058826
23,ekman_basic_emotions,0.42783838482537967,0.1401298583357192,0.33459532148982396,0.24489795918367346,0.0,0.7183406113537117,0.38202247191011235,0.8043602983362019,0.4890829694323144,0.3561643835616438
24,ekman_basic_emotions,0.4301825836633844,0.14268583356461573,0.33534585261100697,0.24,0.0,0.7252985884907709,0.36666666666666664,0.8175014392630973,0.5126050420168067,0.3492063492063492
25,ekman_basic_emotions,0.446253427471723,0.13761162854100326,0.35789188391832866,0.2692307692307692,0.0,0.7310195227765727,0.4069767441860465,0.8211009174311926,0.5240174672489083,0.37142857142857144
26,ekman_basic_emotions,0.4358851674134246,0.14198374814995265,0.34253595853197905,0.2857142857142857,0.0,0.7467532467532467,0.38636363636363635,0.8225806451612904,0.502092050209205,0.3076923076923077
27,ekman_basic_emotions,0.43038960616889393,0.14823702351241086,0.33125715773652703,0.22641509433962265,0.0,0.7445414847161572,0.36470588235294116,0.8227920227920228,0.49361702127659574,0.36065573770491804
28,ekman_basic_emotions,0.4264603557083916,0.13377547160316217,0.3378857034294734,0.27450980392156865,0.0,0.7339847991313789,0.3448275862068966,0.8189605939463164,0.4845814977973568,0.3283582089552239
29,ekman_basic_emotions,0.4335986779720656,0.1455025856432779,0.3371526788593861,0.2608695652173913,0.0,0.7365010799136069,0.35502958579881655,0.8225898459783229,0.5217391304347826,0.3384615384615385
30,ekman_basic_emotions,0.43303613514152145,0.13947076479046502,0.3411451445685917,0.2553191489361702,0.0,0.7356076759061834,0.3522727272727273,0.8200692041522492,0.5043478260869565,0.36363636363636365
31,ekman_basic_emotions,0.4609585555956327,0.14322857154030524,0.3708456812414287,0.2553191489361702,0.0,0.737406216505895,0.4,0.8306636155606407,0.5110132158590308,0.49230769230769234
32,ekman_basic_emotions,0.4435612197196405,0.14443303990249587,0.3496256795412655,0.20408163265306123,0.0,0.740343347639485,0.3563218390804598,0.8206896551724138,0.49777777777777776,0.4857142857142857
33,ekman_basic_emotions,0.446130625124067,0.13960048077086698,0.35626489497324787,0.20408163265306123,0.0,0.7407407407407407,0.3793103448275862,0.8309618668184405,0.5132743362831859,0.45454545454545453
34,ekman_basic_emotions,0.44257046415248846,0.1458908903785697,0.3473555900901432,0.17391304347826086,0.0,0.752453653217012,0.4444444444444444,0.8375778155065082,0.49523809523809526,0.39436619718309857
35,ekman_basic_emotions,0.45465182330998083,0.14697900192649907,0.3606861051232539,0.3181818181818182,0.0,0.7655913978494624,0.39106145251396646,0.8246716162193033,0.5116279069767442,0.37142857142857144
36,ekman_basic_emotions,0.43882874276922174,0.14868734516744245,0.34081649785747214,0.2222222222222222,0.0,0.7733050847457628,0.3391812865497076,0.8288800454803866,0.463768115942029,0.4444444444444444
37,ekman_basic_emotions,0.4516837158317121,0.1396460301670047,0.3626852395709611,0.32,0.0,0.751863684771033,0.40236686390532544,0.8319088319088319,0.5277777777777778,0.32786885245901637
38,ekman_basic_emotions,0.4602138076074917,0.14293557335958226,0.3701918133408002,0.3333333333333333,0.0,0.7626373626373626,0.42045454545454547,0.8372881355932204,0.5164319248826291,0.35135135135135137
39,ekman_basic_emotions,0.45049304164014964,0.13993826570686077,0.3610842844770034,0.2608695652173913,0.0,0.751101321585903,0.44047619047619047,0.836424957841484,0.4931506849315068,0.37142857142857144
40,ekman_basic_emotions,0.4357911765849743,0.140557070821083,0.3435179879203243,0.2,0.0,0.747014115092291,0.4470588235294118,0.8373663477771525,0.49074074074074076,0.3283582089552239
41,ekman_basic_emotions,0.4433492477830057,0.1392569823609947,0.3532904237273139,0.1702127659574468,0.0,0.753528773072747,0.4342857142857143,0.8302101078932425,0.543778801843318,0.37142857142857144
42,ekman_basic_emotions,0.42924081332656916,0.14289763157918908,0.3340828263897579,0.17777777777777778,0.0,0.7592190889370932,0.4,0.8286038592508513,0.5155555555555555,0.3235294117647059
43,ekman_basic_emotions,0.48323282116902716,0.13287740968709139,0.40404369047230915,0.2857142857142857,0.18181818181818182,0.7615894039735099,0.45714285714285713,0.8461971830985916,0.5398230088495575,0.3103448275862069
44,ekman_basic_emotions,0.49437131074407237,0.14017569390267445,0.4119395257027145,0.3404255319148936,0.2,0.7648970747562297,0.4970414201183432,0.8407932011331445,0.5462555066079295,0.2711864406779661
45,ekman_basic_emotions,0.47847863347018155,0.1379500688769575,0.3950218569701615,0.32558139534883723,0.2,0.7565217391304347,0.4171779141104294,0.8372615039281706,0.5714285714285714,0.2413793103448276
46,ekman_basic_emotions,0.46085525612154343,0.137739598312246,0.3747309480718861,0.2127659574468085,0.18181818181818182,0.756578947368421,0.4161849710982659,0.8348314606741573,0.547945205479452,0.27586206896551724
47,ekman_basic_emotions,0.43442845439936606,0.13010996839642539,0.3498355825988179,0.24489795918367346,0.125,0.7363834422657952,0.3668639053254438,0.8244620611551529,0.49777777777777776,0.24561403508771928
48,ekman_basic_emotions,0.4604236079373125,0.14678279675978445,0.3675978519730167,0.26666666666666666,0.18181818181818182,0.75,0.37777777777777777,0.8264086511098463,0.5045045045045045,0.3157894736842105
49,ekman_basic_emotions,0.4360236933114802,0.14888905056824317,0.33736452683982293,0.23076923076923078,0.16666666666666666,0.740343347639485,0.37209302325581395,0.819634703196347,0.4931506849315068,0.22950819672131148
50,ekman_basic_emotions,0.42627151557497195,0.15089981548992681,0.3243100226670346,0.21428571428571427,0.2,0.7262931034482759,0.37209302325581395,0.82212086659065,0.4672897196261682,0.18181818181818182
51,ekman_basic_emotions,0.42544402212734067,0.14577468380660155,0.32739528203987506,0.23529411764705882,0.18181818181818182,0.7388949079089924,0.3956043956043956,0.8244711263579189,0.5067873303167421,0.09523809523809523
52,ekman_basic_emotions,0.4323547736278591,0.13195079495304116,0.34606791519216584,0.25,0.18181818181818182,0.743421052631579,0.37777777777777777,0.8302101078932425,0.5201793721973094,0.12307692307692308
53,ekman_basic_emotions,0.4241788828023915,0.144353477707607,0.32703388350728557,0.18181818181818182,0.18181818181818182,0.7361563517915309,0.37209302325581395,0.8306997742663657,0.5,0.16666666666666666
54,ekman_basic_emotions,0.42254448695248215,0.13456077961948668,0.33276017604838365,0.2127659574468085,0.2,0.7294372294372294,0.3333333333333333,0.828798185941043,0.5244444444444445,0.12903225806451613
55,ekman_basic_emotions,0.4254418497765676,0.1418554376586345,0.330464614661421,0.23076923076923078,0.18181818181818182,0.7429193899782135,0.3764705882352941,0.8349404424276801,0.48214285714285715,0.12903225806451613
56,ekman_basic_emotions,0.4259203175779741,0.1418865769583081,0.33099789957005027,0.26666666666666666,0.2,0.7223427331887202,0.3780487804878049,0.8253968253968254,0.4778761061946903,0.1111111111111111
57,ekman_basic_emotions,0.41457972175937946,0.14065120996572897,0.3187628992678586,0.2545454545454545,0.16666666666666666,0.7262813522355507,0.35294117647058826,0.8246606334841629,0.5067873303167421,0.07017543859649122
58,ekman_basic_emotions,0.42747336854148255,0.1378680988869918,0.33591758903783947,0.2909090909090909,0.16666666666666666,0.7264864864864865,0.3583815028901734,0.819578827546955,0.48214285714285715,0.14814814814814814
59,ekman_basic_emotions,0.4316668625780175,0.14336931163593905,0.33654824051733523,0.28,0.18181818181818182,0.7193932827735645,0.35365853658536583,0.822863610639502,0.5,0.16393442622950818
60,ekman_basic_emotions,0.44523204473168515,0.15127239634722014,0.34635334955445357,0.25,0.2222222222222222,0.7290533188248096,0.36470588235294116,0.828328611898017,0.5164319248826291,0.20588235294117646
