layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.23779309997318349,0.1417939430076238,0.11186026500674359,0.07017543859649122,0.0,0.5116731517509727,0.1895424836601307,0.571830985915493,0.32132963988919666,0.0
1,ekman_basic_emotions,0.23488449832250033,0.15106414502175972,0.09873579117810859,0.041666666666666664,0.0,0.5423406279733587,0.19310344827586207,0.5714285714285714,0.2956521739130435,0.0
2,ekman_basic_emotions,0.25548424255435054,0.14703030799843472,0.1271486379561969,0.08333333333333333,0.0,0.508637236084453,0.1824561403508772,0.5655737704918032,0.33727810650887574,0.1111111111111111
3,ekman_basic_emotions,0.25467986043700697,0.13632906954317184,0.1370322731960365,0.09302325581395349,0.0,0.5483870967741935,0.1811320754716981,0.5792642140468227,0.38095238095238093,0.0
4,ekman_basic_emotions,0.2670421282462256,0.14237847911749182,0.1453597491355541,0.05405405405405406,0.0,0.5548011639185257,0.21908127208480566,0.600926538716082,0.3227848101265823,0.11764705882352941
5,ekman_basic_emotions,0.2969237182244088,0.13993114110941743,0.18253489298228834,0.1702127659574468,0.0,0.5808325266214908,0.2446043165467626,0.6174318030605456,0.36538461538461536,0.1
6,ekman_basic_emotions,0.29846024692948436,0.14169762143649653,0.18264265532544996,0.10810810810810811,0.0,0.5700293829578844,0.25517241379310346,0.6225784903139613,0.3333333333333333,0.2
7,ekman_basic_emotions,0.2914964329014834,0.13310311039372028,0.18271298975325767,0.15789473684210525,0.0,0.5518590998043053,0.22614840989399293,0.6014350945857795,0.3920265780730897,0.1111111111111111
8,ekman_basic_emotions,0.30979320524773263,0.13591648557351446,0.20122675270529217,0.14285714285714285,0.0,0.6005830903790087,0.26356589147286824,0.6451195862960569,0.4053156146179402,0.1111111111111111
9,ekman_basic_emotions,0.3277702566011545,0.13703278633441457,0.22102516439361966,0.23255813953488372,0.0,0.5955056179775281,0.3173431734317343,0.6378737541528239,0.4,0.1111111111111111
10,ekman_basic_emotions,0.3362718705509109,0.1271421642393169,0.23959194469433898,0.3076923076923077,0.0,0.5868945868945868,0.3035019455252918,0.6486486486486487,0.3821656050955414,0.125
11,ekman_basic_emotions,0.3309445853363102,0.14157021977090198,0.22060554040292957,0.17777777777777778,0.0,0.5901639344262295,0.3284671532846715,0.6684141546526867,0.4406779661016949,0.1111111111111111
12,ekman_basic_emotions,0.3302902164106527,0.13558344958003146,0.22524645870792825,0.18604651162790697,0.0,0.602502406159769,0.38461538461538464,0.6830848995463383,0.4557823129251701,0.0
13,ekman_basic_emotions,0.3347463512398388,0.13681512026611212,0.22930340373286787,0.20512820512820512,0.0,0.629126213592233,0.37174721189591076,0.7086513994910941,0.42857142857142855,0.0
14,ekman_basic_emotions,0.372023692165106,0.14550204546674675,0.2650932579728534,0.21621621621621623,0.0,0.6475095785440613,0.416,0.7159235668789808,0.4835164835164835,0.125
15,ekman_basic_emotions,0.35372678211436,0.1422451710534766,0.24655251585190222,0.1951219512195122,0.0,0.6692233940556088,0.390625,0.7177157689811811,0.5034013605442177,0.0
16,ekman_basic_emotions,0.34153597619723514,0.14543073760013922,0.2294784603489945,0.16666666666666666,0.0,0.6378482228626321,0.4076923076923077,0.7054263565891473,0.4731182795698925,0.0
17,ekman_basic_emotions,0.3606795138313096,0.13910010598251266,0.25738115359123975,0.2631578947368421,0.0,0.6507177033492823,0.38095238095238093,0.7099286177806619,0.52,0.0
18,ekman_basic_emotions,0.37825840535083616,0.1477799983197214,0.2704447285638594,0.2608695652173913,0.0,0.6450999048525214,0.39357429718875503,0.6984334203655352,0.5387205387205387,0.1111111111111111
19,ekman_basic_emotions,0.3383100989312276,0.14389613602495888,0.22709156106780132,0.2,0.0,0.6264591439688716,0.3488372093023256,0.6878238341968912,0.5050505050505051,0.0
20,ekman_basic_emotions,0.3605397411120713,0.15206752589372122,0.24585945412466942,0.2608695652173913,0.0,0.6295928500496525,0.41044776119402987,0.7159235668789808,0.5069444444444444,0.0
21,ekman_basic_emotions,0.3574678788562923,0.14600498383320926,0.24761607622986753,0.24489795918367346,0.0,0.6149369544131911,0.41245136186770426,0.6851612903225807,0.5448275862068965,0.0
22,ekman_basic_emotions,0.3605894717509139,0.13772534628371877,0.2584607172513797,0.25,0.0,0.6343355965082444,0.3923076923076923,0.6950354609929078,0.5524475524475524,0.0
23,ekman_basic_emotions,0.36256668181388957,0.14236094769409624,0.2567580540178691,0.24,0.0,0.6185365853658537,0.42231075697211157,0.7019354838709677,0.5551839464882943,0.0
24,ekman_basic_emotions,0.359692573175347,0.1467778217092468,0.2495419796665729,0.2608695652173913,0.0,0.6342412451361867,0.3904382470119522,0.6985151710781149,0.5337837837837838,0.0
25,ekman_basic_emotions,0.36243315310479357,0.13662652725270058,0.2615399163626889,0.30434782608695654,0.0,0.6317829457364341,0.392,0.6938511326860841,0.5150501672240803,0.0
26,ekman_basic_emotions,0.375446152575764,0.1394652811902566,0.2742258577456428,0.34146341463414637,0.0,0.6180758017492711,0.4409448818897638,0.6894329896907216,0.5382059800664452,0.0
27,ekman_basic_emotions,0.36740584292004985,0.15093579773729818,0.25495132712682134,0.3181818181818182,0.0,0.6077457795431976,0.4126984126984127,0.6865482233502538,0.5466666666666666,0.0
28,ekman_basic_emotions,0.35695704446311705,0.14349412355342764,0.24922528470591868,0.25,0.0,0.6376811594202898,0.3779527559055118,0.7001934235976789,0.532871972318339,0.0
29,ekman_basic_emotions,0.3537535147435166,0.1428022699481289,0.24609403105001515,0.21739130434782608,0.0,0.6403940886699507,0.373015873015873,0.7093908629441624,0.5360824742268041,0.0
30,ekman_basic_emotions,0.3613933266728366,0.14619049240287707,0.25205017320034895,0.22727272727272727,0.0,0.634858812074002,0.421455938697318,0.6975546975546976,0.5486111111111112,0.0
31,ekman_basic_emotions,0.3580060019215864,0.14027372341214553,0.2532576756564809,0.2978723404255319,0.0,0.6223091976516634,0.40601503759398494,0.6917098445595855,0.488135593220339,0.0
