layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2943961092635862,0.12988446120018424,0.189068739411687,0.12121212121212122,0.0,0.5972495088408645,0.29285714285714287,0.6936257710760795,0.3558282208588957,0.0
1,ekman_basic_emotions,0.2792673271274881,0.12994511358681096,0.17162390082798065,0.03278688524590164,0.0,0.5850340136054422,0.26148409893992935,0.703326544467074,0.3722397476340694,0.0
2,ekman_basic_emotions,0.30928067528825703,0.1401008260133787,0.1967438211279297,0.12244897959183673,0.0,0.6504381694255112,0.2690909090909091,0.7242524916943521,0.3987341772151899,0.0
3,ekman_basic_emotions,0.35609268409834177,0.1368018876702101,0.2540445736567486,0.0,0.2222222222222222,0.6530214424951267,0.3181818181818182,0.7353135313531353,0.42105263157894735,0.14285714285714285
4,ekman_basic_emotions,0.3628756752075214,0.1321384295336165,0.2658687209181392,0.11764705882352941,0.0,0.6660268714011516,0.33755274261603374,0.752449379490529,0.46645367412140576,0.2
5,ekman_basic_emotions,0.361960392140264,0.13907840937575466,0.25888766781060735,0.15,0.0,0.6711930164888458,0.3548387096774194,0.751754945756222,0.4726027397260274,0.13333333333333333
6,ekman_basic_emotions,0.39765836134951377,0.1470249527417933,0.29383439693031305,0.1,0.0,0.683495145631068,0.41732283464566927,0.7522349936143039,0.4305555555555556,0.4
7,ekman_basic_emotions,0.4067394406722397,0.1479031685834456,0.3037639180731326,0.3076923076923077,0.0,0.6961538461538461,0.38009049773755654,0.7613636363636364,0.4913494809688581,0.21052631578947367
8,ekman_basic_emotions,0.4251354536659289,0.1359971126940972,0.33464973927738906,0.2702702702702703,0.0,0.6843137254901961,0.38596491228070173,0.7625628140703518,0.5570469798657718,0.3157894736842105
9,ekman_basic_emotions,0.3945588771716288,0.14651685314534185,0.29062322430196347,0.13636363636363635,0.0,0.6841085271317829,0.40869565217391307,0.7593177511054959,0.5734265734265734,0.2
10,ekman_basic_emotions,0.40683299195802836,0.14306122187766998,0.3078070182076698,0.23809523809523808,0.0,0.6980392156862745,0.3944954128440367,0.7620841180163214,0.5328947368421053,0.2222222222222222
11,ekman_basic_emotions,0.4016690032140961,0.14044817180444247,0.3039035260480221,0.21052631578947367,0.0,0.6796494644595911,0.3629032258064516,0.736235595390525,0.5723684210526315,0.25
12,ekman_basic_emotions,0.36465133152457485,0.1380827317554961,0.2628658319266984,0.20512820512820512,0.0,0.6770126091173618,0.36607142857142855,0.7701005025125628,0.5342465753424658,0.0
13,ekman_basic_emotions,0.3758182897228045,0.13844565358963262,0.27551672987569004,0.25,0.0,0.6823529411764706,0.38961038961038963,0.7650753768844221,0.5436893203883495,0.0
14,ekman_basic_emotions,0.38808773886428966,0.13798588804906378,0.29013660837777683,0.2702702702702703,0.0,0.6974874371859296,0.4298245614035088,0.7777777777777778,0.5412541254125413,0.0
15,ekman_basic_emotions,0.3537715214385334,0.14016149513793916,0.24843040302651082,0.13953488372093023,0.0,0.6592741935483871,0.3817427385892116,0.7664370695053225,0.5294117647058824,0.0
16,ekman_basic_emotions,0.38590478749862306,0.1348158592206831,0.29021443695416205,0.15789473684210525,0.0,0.6867469879518072,0.43373493975903615,0.7702957835116425,0.5098039215686274,0.14285714285714285
17,ekman_basic_emotions,0.3986113449101597,0.12997341695340092,0.3087697930057045,0.1951219512195122,0.0,0.6781029263370333,0.4444444444444444,0.77561282212445,0.554140127388535,0.14285714285714285
18,ekman_basic_emotions,0.39061137724174494,0.14155261607663128,0.2901269965164766,0.2127659574468085,0.0,0.6560951437066402,0.44176706827309237,0.7507966857871256,0.5478547854785478,0.125
19,ekman_basic_emotions,0.39623254124289925,0.13995897787732972,0.29797830193385405,0.17777777777777778,0.0,0.6792079207920793,0.48091603053435117,0.7658755612572161,0.5448504983388704,0.125
20,ekman_basic_emotions,0.38775264397376813,0.14239583713325224,0.28609563416804307,0.17391304347826086,0.0,0.6745329400196657,0.44787644787644787,0.7572815533980582,0.5273311897106109,0.13333333333333333
21,ekman_basic_emotions,0.38361305240533594,0.13562598101338083,0.28689787747518364,0.18604651162790697,0.0,0.6799601196410767,0.40625,0.7610506085842409,0.526984126984127,0.125
22,ekman_basic_emotions,0.38169122704891956,0.14394260421893976,0.2777250964733034,0.2222222222222222,0.0,0.66798810703667,0.3950617283950617,0.7593307593307593,0.49390243902439024,0.13333333333333333
23,ekman_basic_emotions,0.3876474842704017,0.13445572477500514,0.292523175004052,0.2222222222222222,0.0,0.6666666666666666,0.3951612903225806,0.7603092783505154,0.5263157894736842,0.14285714285714285
24,ekman_basic_emotions,0.367553109345912,0.1361663440762606,0.26786032667622595,0.16326530612244897,0.0,0.6471774193548387,0.3709677419354839,0.7634271099744245,0.5169230769230769,0.1111111111111111
25,ekman_basic_emotions,0.36922142522375756,0.14292242752959097,0.26403560770105167,0.1702127659574468,0.0,0.6588003933136677,0.3828125,0.7477243172951885,0.5,0.125
26,ekman_basic_emotions,0.38841998020197716,0.13506216495641887,0.29292025967715063,0.27906976744186046,0.0,0.669260700389105,0.3828125,0.7542262678803641,0.5159235668789809,0.11764705882352941
27,ekman_basic_emotions,0.371628753573728,0.14097050667322242,0.26851027664630184,0.17777777777777778,0.0,0.6706231454005934,0.37751004016064255,0.7613488975356679,0.503030303030303,0.1111111111111111
28,ekman_basic_emotions,0.3664241388368486,0.1400086385728796,0.26327648208958954,0.17391304347826086,0.0,0.6633663366336634,0.3515625,0.7504860661049902,0.49230769230769234,0.13333333333333333
