layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.20911851192114164,0.14687167995568992,0.07296303557502197,0.0,0.0,0.3721590909090909,0.1925925925925926,0.6697201017811705,0.22935779816513763,0.0
1,ekman_basic_emotions,0.22204012127215272,0.1354316062863359,0.10017543506743162,0.0,0.0,0.4045261669024045,0.22058823529411764,0.6870611835506519,0.24210526315789474,0.0
2,ekman_basic_emotions,0.2191231965723491,0.15038905836494093,0.08090072154100407,0.0,0.0,0.4167832167832168,0.20161290322580644,0.6907471548738249,0.2247191011235955,0.0
3,ekman_basic_emotions,0.2275727240048562,0.14392820120509123,0.09770736860799674,0.0,0.0,0.4180790960451977,0.226890756302521,0.7127450980392157,0.23529411764705882,0.0
4,ekman_basic_emotions,0.2277914746944922,0.1452593839756214,0.09655805418812209,0.0,0.0,0.3988684582743989,0.25862068965517243,0.7135874877810362,0.22346368715083798,0.0
5,ekman_basic_emotions,0.22477213377662317,0.14648802053702967,0.0917199935364116,0.0,0.0,0.4027972027972028,0.2288135593220339,0.6990196078431372,0.24277456647398843,0.0
6,ekman_basic_emotions,0.22991715350694922,0.13994337165019458,0.10461378808205658,0.0,0.0,0.4177396280400572,0.2145922746781116,0.717201166180758,0.2598870056497175,0.0
7,ekman_basic_emotions,0.23594003521806567,0.13868522185429621,0.1129143674663822,0.0,0.0,0.42151162790697677,0.2578125,0.7237354085603113,0.2485207100591716,0.0
8,ekman_basic_emotions,0.22724130243573665,0.15649876476060084,0.08386773453278695,0.0,0.0,0.42754662840746055,0.22641509433962265,0.7028092656481025,0.23391812865497075,0.0
9,ekman_basic_emotions,0.23067593636584238,0.13150788666936805,0.11418416836989906,0.0,0.0,0.42776203966005666,0.24124513618677043,0.6983016983016983,0.24742268041237114,0.0
10,ekman_basic_emotions,0.22981887727946296,0.1347778764479197,0.10984578207658656,0.0,0.0,0.4214992927864215,0.232,0.7094227923038974,0.24581005586592178,0.0
11,ekman_basic_emotions,0.23557800829758843,0.15736987454128812,0.0928143100909492,0.0,0.0,0.43440233236151604,0.22950819672131148,0.7191780821917808,0.26595744680851063,0.0
12,ekman_basic_emotions,0.23577372395433488,0.13640292221615172,0.11506616255949735,0.0,0.0,0.44600280504908835,0.24166666666666667,0.7167572911517548,0.24598930481283424,0.0
13,ekman_basic_emotions,0.2623168674639984,0.1399195503220577,0.14230914932175528,0.0,0.0,0.5014245014245015,0.24,0.7425208435507602,0.3522727272727273,0.0
14,ekman_basic_emotions,0.2697501281193857,0.1401264680301716,0.15074735443044476,0.0,0.0,0.49271137026239065,0.2903225806451613,0.7468354430379747,0.3583815028901734,0.0
15,ekman_basic_emotions,0.27379820590403436,0.131766440208023,0.16358704877756766,0.0,0.0,0.48255813953488375,0.3025210084033613,0.7473275024295433,0.384180790960452,0.0
16,ekman_basic_emotions,0.2766925012241866,0.14910127100962992,0.14994878458209646,0.0,0.0,0.5066666666666667,0.30701754385964913,0.7564966313763234,0.36666666666666664,0.0
17,ekman_basic_emotions,0.27279954270118584,0.14509340352758823,0.14938022434327858,0.0,0.0,0.5179856115107914,0.2597402597402597,0.7561803199224431,0.3756906077348066,0.0
18,ekman_basic_emotions,0.27571701156159983,0.15122172798557706,0.14667586068214913,0.0,0.0,0.5276967930029155,0.27530364372469635,0.7601547388781431,0.3668639053254438,0.0
19,ekman_basic_emotions,0.27194802074821656,0.13830050276538597,0.1550975930840569,0.0,0.0,0.502127659574468,0.28346456692913385,0.7402661409561361,0.37777777777777777,0.0
20,ekman_basic_emotions,0.3133869350774247,0.13506002111091223,0.2061725880627603,0.18181818181818182,0.0,0.5,0.3017241379310345,0.7581888246628131,0.4519774011299435,0.0
21,ekman_basic_emotions,0.3271814948554156,0.13805333624146385,0.21941979308702758,0.18181818181818182,0.0,0.5112781954887218,0.3659574468085106,0.7687888942077549,0.4624277456647399,0.0
22,ekman_basic_emotions,0.312103830432514,0.14929969578888763,0.19137660329697545,0.16666666666666666,0.0,0.5052005943536404,0.33472803347280333,0.7634973721930244,0.4146341463414634,0.0
23,ekman_basic_emotions,0.30896535408939263,0.14910615129009974,0.18787208656128684,0.13333333333333333,0.0,0.503725782414307,0.3504273504273504,0.7656324582338903,0.40963855421686746,0.0
24,ekman_basic_emotions,0.32883073291179116,0.13485834291201626,0.22420881992051409,0.14285714285714285,0.0,0.5117647058823529,0.3305785123966942,0.7628667628667629,0.4484848484848485,0.10526315789473684
25,ekman_basic_emotions,0.2907609238911869,0.14611111944931157,0.16940120399341427,0.0,0.0,0.4935437589670014,0.3445378151260504,0.758220502901354,0.43902439024390244,0.0
26,ekman_basic_emotions,0.3130288677817303,0.13788776709527598,0.20315348048867082,0.15384615384615385,0.0,0.5130434782608696,0.3445378151260504,0.7580878802510864,0.42168674698795183,0.0
27,ekman_basic_emotions,0.32312742237394243,0.13949398375334227,0.21340169057918937,0.16666666666666666,0.0,0.5029761904761905,0.34854771784232363,0.7609427609427609,0.4827586206896552,0.0
28,ekman_basic_emotions,0.2944462902174406,0.14822997074211508,0.17166173315902922,0.0,0.0,0.5089820359281437,0.30962343096234307,0.765774378585086,0.47674418604651164,0.0
29,ekman_basic_emotions,0.29122030595816567,0.16568765793033105,0.15046241281344014,0.0,0.0,0.5022156573116692,0.31020408163265306,0.7555341674687199,0.47058823529411764,0.0
30,ekman_basic_emotions,0.29145107959606953,0.14037174357746127,0.1757496160576965,0.0,0.0,0.4985507246376812,0.36752136752136755,0.759884281581485,0.41420118343195267,0.0
31,ekman_basic_emotions,0.2998381886376401,0.1460428909712809,0.18009721570358983,0.0,0.0,0.521865889212828,0.37554585152838427,0.7712230215827338,0.43023255813953487,0.0
32,ekman_basic_emotions,0.30114541866106215,0.15233922540580963,0.17554922643022153,0.0,0.0,0.5073746312684366,0.3162393162393162,0.7629558541266794,0.4161849710982659,0.10526315789473684
33,ekman_basic_emotions,0.3195297768230099,0.1479433983205117,0.2013790846339133,0.0,0.0,0.5535714285714286,0.30357142857142855,0.7819047619047619,0.39766081871345027,0.2
34,ekman_basic_emotions,0.2745200322053042,0.1408191815942553,0.1556143337314465,0.0,0.0,0.5214723926380368,0.29535864978902954,0.7622677465459743,0.3425414364640884,0.0
35,ekman_basic_emotions,0.2860568602141966,0.14958516157637702,0.16047661972925026,0.0,0.0,0.5508100147275405,0.28225806451612906,0.7627365356622998,0.4065934065934066,0.0
36,ekman_basic_emotions,0.27742570813056683,0.1509600691784316,0.14895134417266043,0.0,0.0,0.5174418604651163,0.2916666666666667,0.7524366471734892,0.3804347826086957,0.0
37,ekman_basic_emotions,0.2650064007388961,0.1376051508517299,0.14772960438364388,0.0,0.0,0.5226277372262774,0.2288135593220339,0.7449078564500485,0.358695652173913,0.0
38,ekman_basic_emotions,0.2540775638352171,0.14817386546081582,0.12432548624689997,0.0,0.0,0.4852941176470588,0.20080321285140562,0.7248780487804878,0.3675675675675676,0.0
39,ekman_basic_emotions,0.25292542225827735,0.1410734934114999,0.1302229329154516,0.0,0.0,0.4434389140271493,0.225,0.7384026781444285,0.36363636363636365,0.0
