layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.24333730112715318,0.13744418931996394,0.12276667839464611,0.0,0.0,0.5432835820895522,0.14339622641509434,0.7343283582089553,0.21568627450980393,0.06666666666666667
1,ekman_basic_emotions,0.24363025806177654,0.1379396428343037,0.12260233793253769,0.0,0.0,0.5540334855403348,0.1423487544483986,0.7405566600397614,0.19704433497536947,0.07142857142857142
2,ekman_basic_emotions,0.24921981263527432,0.14108359816930952,0.1258984159989072,0.0,0.0,0.5563480741797432,0.15625,0.7513702042850025,0.21390374331550802,0.06666666666666667
3,ekman_basic_emotions,0.2512582145445767,0.14015690833578787,0.12921114013227003,0.0,0.0,0.5847076461769115,0.1825726141078838,0.7693050193050193,0.2222222222222222,0.0
4,ekman_basic_emotions,0.2621254772676563,0.14458976676690763,0.13740274073705303,0.0,0.0,0.5997001499250375,0.1888412017167382,0.7804410354745925,0.2658959537572254,0.0
5,ekman_basic_emotions,0.26877305062704687,0.14213093198470914,0.1476240645152629,0.0,0.0,0.6242424242424243,0.2062780269058296,0.7939076630176106,0.2569832402234637,0.0
6,ekman_basic_emotions,0.2701604019327003,0.14127577997295626,0.1500884905234012,0.0,0.0,0.6319018404907976,0.168141592920354,0.7939365229748934,0.29714285714285715,0.0
7,ekman_basic_emotions,0.2787886066905913,0.13697456227564486,0.16432197501487894,0.0,0.0,0.6242603550295858,0.19130434782608696,0.7965616045845272,0.3393939393939394,0.0
8,ekman_basic_emotions,0.3082027476341578,0.15405739441986613,0.182217271239792,0.0,0.0,0.6503067484662577,0.270042194092827,0.8147100424328148,0.422360248447205,0.0
9,ekman_basic_emotions,0.28843881569057583,0.14012049075330024,0.1724873349606974,0.0,0.0,0.6298507462686567,0.20853080568720378,0.8064211520302171,0.3742690058479532,0.0
10,ekman_basic_emotions,0.2721250372483141,0.14155083252342746,0.15210476015570262,0.0,0.0,0.6189735614307932,0.1908713692946058,0.8126773888363292,0.2823529411764706,0.0
11,ekman_basic_emotions,0.29060635951717284,0.14957513476066117,0.16583619614276052,0.0,0.0,0.6172839506172839,0.21551724137931033,0.8037825059101655,0.39766081871345027,0.0
12,ekman_basic_emotions,0.300451548514132,0.14227929182920962,0.18440997772135748,0.0,0.0,0.6597325408618128,0.2100456621004566,0.8130004710315591,0.42038216560509556,0.0
13,ekman_basic_emotions,0.3102067776929195,0.13895813266258017,0.19888538702524142,0.0,0.0,0.6785714285714286,0.21800947867298578,0.8232536333802156,0.45161290322580644,0.0
14,ekman_basic_emotions,0.29342068923554937,0.14515675077908607,0.17343991262911407,0.0,0.0,0.6784140969162996,0.16901408450704225,0.817627754336615,0.3888888888888889,0.0
15,ekman_basic_emotions,0.3032361626143939,0.1419861257172771,0.1879340669542408,0.0,0.0,0.6676783004552352,0.20853080568720378,0.8246753246753247,0.4217687074829932,0.0
16,ekman_basic_emotions,0.2996109709874057,0.15111289460352786,0.17493265646263045,0.0,0.0,0.6524390243902439,0.21,0.8152573529411765,0.4195804195804196,0.0
17,ekman_basic_emotions,0.3397972626580571,0.12928912571589976,0.2417658296908689,0.0,0.0,0.691131498470948,0.2931937172774869,0.8370812299219825,0.423841059602649,0.13333333333333333
18,ekman_basic_emotions,0.33899687493611974,0.1446782469826203,0.22718775392767426,0.0,0.0,0.6836248012718601,0.26666666666666666,0.8408051235132662,0.43902439024390244,0.14285714285714285
19,ekman_basic_emotions,0.3135357440528768,0.13967724449440974,0.202085204007297,0.0,0.0,0.6904024767801857,0.23414634146341465,0.8314917127071824,0.43870967741935485,0.0
20,ekman_basic_emotions,0.3099962091727614,0.14900887624656783,0.18917627744004334,0.0,0.0,0.6984615384615385,0.21052631578947367,0.828886844526219,0.43209876543209874,0.0
21,ekman_basic_emotions,0.32150991151109504,0.15068540118172138,0.20113219596961582,0.0,0.0,0.6955177743431221,0.25380710659898476,0.830656264341441,0.47058823529411764,0.0
22,ekman_basic_emotions,0.3291919721191593,0.15780704016832445,0.20349841440741634,0.0,0.0,0.7206106870229008,0.2376237623762376,0.8428835489833642,0.5032258064516129,0.0
23,ekman_basic_emotions,0.33300137440842503,0.15678011225258928,0.20898613127661833,0.0,0.0,0.7134146341463414,0.27884615384615385,0.8328664799253035,0.5058823529411764,0.0
24,ekman_basic_emotions,0.3449176841670002,0.14289414631066535,0.23570430301781603,0.0,0.0,0.7065868263473054,0.2561576354679803,0.827328029948526,0.49101796407185627,0.13333333333333333
25,ekman_basic_emotions,0.32415431258155664,0.1550360247743759,0.20014851847621362,0.0,0.0,0.71850699844479,0.2535211267605634,0.8374247336729967,0.45962732919254656,0.0
26,ekman_basic_emotions,0.35029716324524884,0.13854537353185054,0.24580724649602587,0.0,0.0,0.6990881458966566,0.28717948717948716,0.8449791763072652,0.4875,0.13333333333333333
27,ekman_basic_emotions,0.3437164656507376,0.13756750401178017,0.23903199682050627,0.0,0.0,0.6996904024767802,0.26540284360189575,0.8289290681502086,0.4691358024691358,0.14285714285714285
28,ekman_basic_emotions,0.34561667685146696,0.13537364854982503,0.2431605605693333,0.0,0.0,0.7027863777089783,0.25925925925925924,0.8306976744186046,0.4727272727272727,0.15384615384615385
29,ekman_basic_emotions,0.3439180703610621,0.15563382792707423,0.2229888508817786,0.0,0.0,0.694006309148265,0.2727272727272727,0.8354080221300139,0.4624277456647399,0.14285714285714285
