layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.21766806580003492,0.12692922337787066,0.10393068334417133,0.18181818181818182,0.03773584905660377,0.3247058823529412,0.0,0.7858681602757432,0.1935483870967742,0.0
1,ekman_basic_emotions,0.2403609054801259,0.14801445395455623,0.10838969270570704,0.18055555555555555,0.05,0.345,0.03571428571428571,0.8109014675052411,0.2603550295857988,0.0
2,ekman_basic_emotions,0.25398506905078927,0.13804294404068498,0.13451032648148173,0.176,0.06666666666666667,0.34096692111959287,0.08333333333333333,0.8290493676050592,0.28187919463087246,0.0
3,ekman_basic_emotions,0.2522328350726239,0.13302375253189072,0.1374998252707242,0.2191780821917808,0.0,0.3404255319148936,0.037037037037037035,0.8223225276979893,0.3466666666666667,0.0
4,ekman_basic_emotions,0.2717887144420294,0.13732479386685115,0.1558685350166706,0.2556390977443609,0.0,0.35170603674540685,0.08163265306122448,0.8351648351648352,0.3783783783783784,0.0
5,ekman_basic_emotions,0.27555819488741723,0.14110052722338176,0.15654645499940256,0.25196850393700787,0.0,0.35844155844155845,0.08163265306122448,0.8398058252427184,0.39705882352941174,0.0
6,ekman_basic_emotions,0.27155065994039035,0.14402611919008038,0.14898181312453912,0.19672131147540983,0.0,0.41225626740947074,0.05405405405405406,0.8537170263788969,0.3841059602649007,0.0
7,ekman_basic_emotions,0.27354985434220025,0.1437999419489164,0.15154158327041664,0.2706766917293233,0.0,0.4147727272727273,0.07547169811320754,0.8451043338683788,0.3088235294117647,0.0
8,ekman_basic_emotions,0.27065970129227096,0.13450485381536437,0.15731439751813553,0.19834710743801653,0.0,0.43956043956043955,0.0,0.8539325842696629,0.4027777777777778,0.0
9,ekman_basic_emotions,0.27064330008457615,0.14261064365572945,0.14932848825503417,0.24390243902439024,0.0,0.42048517520215634,0.047619047619047616,0.8565705128205128,0.32592592592592595,0.0
10,ekman_basic_emotions,0.27107214688186093,0.14704734829565383,0.14540642829163403,0.2677165354330709,0.0,0.39892183288409705,0.046511627906976744,0.8562300319488818,0.328125,0.0
11,ekman_basic_emotions,0.27510375623192485,0.1410127276452603,0.1561036267965661,0.23333333333333334,0.0,0.42245989304812837,0.043478260869565216,0.8540410132689988,0.3724137931034483,0.0
12,ekman_basic_emotions,0.290195613100098,0.14428369624727613,0.17051435880434737,0.2698412698412698,0.0,0.45776566757493187,0.046511627906976744,0.8659463785514205,0.391304347826087,0.0
13,ekman_basic_emotions,0.3073459301267846,0.14970060986599357,0.18539978046549727,0.28346456692913385,0.14814814814814814,0.4403183023872679,0.05,0.8580619219943707,0.37142857142857144,0.0
14,ekman_basic_emotions,0.2957043818238964,0.14009931095247652,0.1809570254488076,0.31343283582089554,0.0,0.4603174603174603,0.045454545454545456,0.8626661296818365,0.3880597014925373,0.0
15,ekman_basic_emotions,0.2894142484306075,0.1599117018714508,0.1541534941596584,0.34108527131782945,0.0,0.4456824512534819,0.0,0.860344137655062,0.3787878787878788,0.0
