layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.19971533596393012,0.14527128982454107,0.06369745802526366,0.14705882352941177,0.0,0.32,0.0,0.8051623646960866,0.12578616352201258,0.0
1,ekman_basic_emotions,0.19593993597553666,0.1375788730274846,0.06767118884590126,0.06504065040650407,0.0,0.3423913043478261,0.03571428571428571,0.8203252032520325,0.10810810810810811,0.0
2,ekman_basic_emotions,0.2038716828753879,0.1389485666623224,0.07539981201982934,0.10218978102189781,0.0,0.37988826815642457,0.0,0.8184414524683803,0.12658227848101267,0.0
3,ekman_basic_emotions,0.222422365305435,0.13051245727224414,0.1057058365032478,0.13432835820895522,0.0,0.39325842696629215,0.0,0.830694275274056,0.1986754966887417,0.0
4,ekman_basic_emotions,0.23118234806627558,0.13759006916437025,0.10852412009126489,0.13793103448275862,0.0,0.4032697547683924,0.03773584905660377,0.8342115930279692,0.20512820512820512,0.0
5,ekman_basic_emotions,0.220056977937952,0.14504386918093556,0.0877391319308424,0.12903225806451613,0.0,0.3956043956043956,0.0,0.8405797101449275,0.17518248175182483,0.0
6,ekman_basic_emotions,0.22781950592788425,0.13958546718367074,0.10254828966614936,0.13793103448275862,0.0,0.3867403314917127,0.0,0.8461845785057931,0.22388059701492538,0.0
7,ekman_basic_emotions,0.24461740171958854,0.13838205856690766,0.12329750582489515,0.1724137931034483,0.0,0.4034090909090909,0.0851063829787234,0.8544228480761602,0.19696969696969696,0.0
8,ekman_basic_emotions,0.24290548527924744,0.13875377078982595,0.12093140260821374,0.17857142857142858,0.0,0.41595441595441596,0.04,0.8530465949820788,0.2127659574468085,0.0
9,ekman_basic_emotions,0.24717844467637637,0.14187113321585523,0.12271736278393991,0.21621621621621623,0.0,0.4011299435028249,0.0425531914893617,0.8497615262321144,0.22058823529411764,0.0
