layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.2685146183736591,0.13130887681429249,0.15794537079669796,0.0963855421686747,0.09090909090909091,0.4844559585492228,0.12149532710280374,0.6425061425061425,0.35294117647058826,0.09090909090909091
1,ekman_basic_emotions,0.2282249568684463,0.13244083799176756,0.11040644035728576,0.041237113402061855,0.0,0.4921052631578947,0.06060606060606061,0.6546329723225031,0.348993288590604,0.0
2,ekman_basic_emotions,0.2248900060257343,0.13252095997719004,0.10647985920918096,0.0,0.0,0.47361647361647363,0.09482758620689655,0.6355828220858896,0.37020316027088035,0.0
3,ekman_basic_emotions,0.234959313538934,0.14086432257138087,0.10952285353714807,0.05263157894736842,0.0,0.45721583652618136,0.14285714285714285,0.6384752829064919,0.35353535353535354,0.0
4,ekman_basic_emotions,0.243502633507295,0.1309843497680966,0.1294778565946103,0.08108108108108109,0.0,0.46511627906976744,0.14847161572052403,0.6574685062987402,0.3523809523809524,0.0
5,ekman_basic_emotions,0.24681866833571656,0.1276226952292547,0.1366335098983183,0.11494252873563218,0.0,0.4968632371392723,0.16194331983805668,0.6274509803921569,0.32653061224489793,0.0
6,ekman_basic_emotions,0.24187166996707415,0.13371841164671028,0.1248476936072852,0.0898876404494382,0.0,0.472400513478819,0.15267175572519084,0.6480446927374302,0.3300970873786408,0.0
7,ekman_basic_emotions,0.23211992422345729,0.1403878494945522,0.10671332958121527,0.07228915662650602,0.0,0.45382585751978893,0.1349206349206349,0.6513038204972711,0.3125,0.0
8,ekman_basic_emotions,0.23006467925637838,0.13093356709473242,0.11406620760883966,0.10526315789473684,0.0,0.4541935483870968,0.14007782101167315,0.6381909547738693,0.2727272727272727,0.0
9,ekman_basic_emotions,0.23676263573962503,0.12819915770512694,0.12452784256175126,0.08163265306122448,0.0,0.467005076142132,0.15702479338842976,0.6373902132998746,0.3142857142857143,0.0
10,ekman_basic_emotions,0.24978292317780995,0.12546393680135184,0.1421542136544453,0.08791208791208792,0.0,0.47680412371134023,0.19327731092436976,0.6428571428571429,0.3476297968397291,0.0
11,ekman_basic_emotions,0.24832940965688463,0.13846165514855596,0.12752508946920207,0.04081632653061224,0.0,0.5143603133159269,0.1862348178137652,0.6353383458646616,0.36155606407322655,0.0
