layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,0.0,0.0,0.0,0.0,,0.0
0,plutchik_wheel,0.0,0.0,0.0,0.0,,0.0
0,go_emotions,0.0,0.0,0.0,0.0,0.0,0.0
1,ekman_basic_emotions,-0.007271183304510582,0.015477664539602518,-0.0002314400041842566,-0.00067627953940989,,0.8310039902690601
1,plutchik_wheel,0.00573912810861703,0.008565041817018533,0.0010652783537170416,0.013891002058168131,,0.8310039902690601
1,go_emotions,0.013832071634867686,0.003354964447829876,-0.0008455410735585215,0.020372778473553836,0.013076047141994401,0.8310039902690601
2,ekman_basic_emotions,-0.008106082896635539,0.012689991108865088,0.0030201997871169965,-0.0020076464757247917,,0.9324008691999605
2,plutchik_wheel,0.005162056205459389,0.00769701321053613,-0.0016451953481297675,0.01002944470536229,,0.9324008691999605
2,go_emotions,0.012454366673190507,0.0030263854579223883,-0.0008579051104447498,0.01574499645051315,0.011778717417522627,0.9324008691999605
3,ekman_basic_emotions,-0.01620625166075051,0.012807865189566238,0.0011519983992374818,-0.013352512856645906,,0.978774486504193
3,plutchik_wheel,0.002501767903956029,0.007340751195460672,0.0010180646716682403,0.003697849530561342,,0.978774486504193
3,go_emotions,0.015296193848163511,0.00387547261651136,-0.00029430655659420013,0.009305501849321478,0.017403164298613355,0.978774486504193
4,ekman_basic_emotions,-0.022869301833238653,0.014080663699015615,6.58222929149888e-05,-0.018518399143596126,,0.9958989153161508
4,plutchik_wheel,-0.0012455661777728492,0.0085229593383387,-0.0005579405601726904,0.0054932172713695925,,0.9958989153161508
4,go_emotions,0.011439020383908018,0.002881299794070726,0.00018009144602655638,0.01420619920586641,0.012667544223448896,0.9958989153161508
5,ekman_basic_emotions,-0.020647610395334307,0.014307273474341551,0.001072623642576492,-0.014812431840773148,,0.9987037774282633
5,plutchik_wheel,-0.001178439131249258,0.006718884564806177,-0.0015284350588774846,0.003259384047192922,,0.9987037774282633
5,go_emotions,0.01697726668011159,0.003410897959982912,0.0001908141124053121,0.01357008890667251,0.014115377255007193,0.9987037774282633
