slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.2804248913378013,0.12338609356475044,0.17914248977825267
last_token_activation,ekman_basic_emotions,1,0.3142975242897072,0.13434202123954597,0.20788291388227215
last_token_activation,ekman_basic_emotions,2,0.3174178251366356,0.13678578049905266,0.20925517740198055
last_token_activation,ekman_basic_emotions,3,0.30621519072134046,0.13958825351115187,0.19365953322947604
last_token_activation,ekman_basic_emotions,4,0.305437510894575,0.13864479805073437,0.19363987408026917
last_token_activation,ekman_basic_emotions,5,0.32121989764072806,0.13602394252199845,0.21435311026943016
last_token_activation,ekman_basic_emotions,6,0.35129110090422216,0.15303160599822188,0.23408133799333256
last_token_activation,ekman_basic_emotions,7,0.382042921785065,0.1389530509000445,0.2823189503651573
last_token_activation,ekman_basic_emotions,8,0.389402263285,0.13963330915245553,0.2903052347209047
last_token_activation,ekman_basic_emotions,9,0.3997000792173889,0.13249387613964209,0.3080165035477708
last_token_activation,ekman_basic_emotions,10,0.40176175448798424,0.14117472083989482,0.30342264017069054
last_token_activation,ekman_basic_emotions,11,0.41514364266709985,0.14223601006284384,0.3181616806089639
last_token_activation,ekman_basic_emotions,12,0.41508989679274105,0.15253893554877943,0.3098088776668204
last_token_activation,ekman_basic_emotions,13,0.44245849204454224,0.13513675443128326,0.3553414244250493
last_token_activation,ekman_basic_emotions,14,0.45607527216021715,0.13846080120855675,0.36865933830661
last_token_activation,ekman_basic_emotions,15,0.4647373759228642,0.1464186262511281,0.37292138683123044
last_token_activation,ekman_basic_emotions,16,0.482151727835504,0.1399473956144175,0.39788767626086735
last_token_activation,ekman_basic_emotions,17,0.4990517968811422,0.13689336305403252,0.4195987127483781
last_token_activation,ekman_basic_emotions,18,0.4990920212602506,0.13589012589695862,0.420319112474326
last_token_activation,ekman_basic_emotions,19,0.4867122805707441,0.14551689117435526,0.3993003324141881
last_token_activation,ekman_basic_emotions,20,0.4871451684533673,0.1411970257176364,0.4028259718415781
last_token_activation,ekman_basic_emotions,21,0.49223811159081293,0.13414286198956907,0.4135731333509315
last_token_activation,ekman_basic_emotions,22,0.4821882796656167,0.14806812464886684,0.39219116537814547
last_token_activation,ekman_basic_emotions,23,0.4958876769336523,0.14658215588352763,0.4093018718301516
last_token_activation,ekman_basic_emotions,24,0.4861513435094733,0.1433573384516291,0.40015985713138347
last_token_activation,ekman_basic_emotions,25,0.4891414431287836,0.14255960053005232,0.4042051701937314
last_token_activation,ekman_basic_emotions,26,0.49560786049934746,0.13907375408535735,0.41412851345379825
last_token_activation,ekman_basic_emotions,27,0.5010790924783934,0.1433685230868291,0.4175781290229454
last_token_activation,ekman_basic_emotions,28,0.47811933162165393,0.14323685108800588,0.3908693796633483
last_token_activation,ekman_basic_emotions,29,0.477861371642863,0.13691081070340447,0.39503514256426736
last_token_activation,ekman_basic_emotions,30,0.4754069726372755,0.147024547838139,0.3849846135276851
last_token_activation,ekman_basic_emotions,31,0.4654004035006916,0.14364580989207254,0.3757260691023978
last_token_activation,go_emotions,0,0.14531498377094954,0.03229525971471707,0.11679153707866909
last_token_activation,go_emotions,1,0.15498325821047568,0.03920112689169747,0.1205061064905382
last_token_activation,go_emotions,2,0.1587884866787382,0.03161006194632995,0.1313297667962343
last_token_activation,go_emotions,3,0.1626815648880456,0.03415274336698556,0.13307365179988925
last_token_activation,go_emotions,4,0.1851243140456999,0.032449382307268154,0.15779529147788443
last_token_activation,go_emotions,5,0.19381229122717966,0.03251019383260794,0.166722270732291
last_token_activation,go_emotions,6,0.1989555617746035,0.03487091370027332,0.17001316238786807
last_token_activation,go_emotions,7,0.23059106281275774,0.030145599915051946,0.2066758297741899
last_token_activation,go_emotions,8,0.23936127071301944,0.03287090798846825,0.21350858373526113
last_token_activation,go_emotions,9,0.24162856071261937,0.035990496808136825,0.2133153907960544
last_token_activation,go_emotions,10,0.28644480903433867,0.03524459946915298,0.2603770960255473
last_token_activation,go_emotions,11,0.282883895235949,0.03462127025065257,0.25716603995382803
last_token_activation,go_emotions,12,0.3162452814761603,0.03685818319247038,0.29007887873642346
last_token_activation,go_emotions,13,0.30941865778265015,0.033206528937772824,0.2856992078581167
last_token_activation,go_emotions,14,0.31395009815501157,0.030897431640540225,0.29207709870549164
